"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","4,360.0","4,380.0","4,390.0","4,330.0","86.80K","0.00%"
"12/26/2023","4,360.0","4,350.0","4,380.0","4,310.0","112.60K","0.23%"
"12/25/2023","4,350.0","4,390.0","4,390.0","4,340.0","74.90K","0.00%"
"12/22/2023","4,350.0","4,350.0","4,390.0","4,320.0","164.50K","-0.46%"
"12/21/2023","4,370.0","4,360.0","4,380.0","4,300.0","134.80K","0.23%"
"12/20/2023","4,360.0","4,290.0","4,380.0","4,280.0","135.40K","1.63%"
"12/19/2023","4,290.0","4,320.0","4,340.0","4,220.0","153.80K","-1.15%"
"12/18/2023","4,340.0","4,260.0","4,400.0","4,250.0","94.60K","0.46%"
"12/15/2023","4,320.0","4,380.0","4,410.0","4,320.0","142.30K","-0.92%"
"12/14/2023","4,360.0","4,440.0","4,440.0","4,320.0","583.00K","0.46%"
"12/13/2023","4,340.0","4,400.0","4,470.0","4,300.0","153.90K","-1.36%"
"12/12/2023","4,400.0","4,390.0","4,480.0","4,360.0","120.30K","0.23%"
"12/11/2023","4,390.0","4,410.0","4,500.0","4,270.0","115.60K","-0.23%"
"12/08/2023","4,400.0","4,530.0","4,530.0","4,400.0","138.20K","-2.87%"
"12/07/2023","4,530.0","4,530.0","4,660.0","4,400.0","609.30K","1.57%"
"12/06/2023","4,460.0","4,280.0","4,510.0","4,230.0","772.70K","5.69%"
"12/05/2023","4,220.0","4,260.0","4,260.0","4,190.0","266.20K","0.00%"
"12/04/2023","4,220.0","4,170.0","4,260.0","4,170.0","322.30K","1.20%"
"12/01/2023","4,170.0","4,150.0","4,200.0","4,150.0","162.30K","0.48%"
"11/30/2023","4,150.0","4,190.0","4,220.0","4,130.0","158.40K","-0.48%"
"11/29/2023","4,170.0","4,040.0","4,250.0","4,040.0","483.80K","2.46%"
"11/28/2023","4,070.0","4,040.0","4,100.0","4,030.0","392.60K","0.49%"
"11/27/2023","4,050.0","4,110.0","4,110.0","4,040.0","120.30K","-0.25%"
"11/24/2023","4,060.0","4,070.0","4,090.0","4,020.0","288.90K","-0.25%"
"11/23/2023","4,070.0","4,060.0","4,290.0","4,060.0","686.40K","0.25%"
"11/22/2023","4,060.0","4,070.0","4,070.0","4,000.0","385.00K","-0.25%"
"11/21/2023","4,070.0","4,070.0","4,100.0","4,050.0","284.50K","-0.25%"
"11/20/2023","4,080.0","4,000.0","4,090.0","4,000.0","161.40K","0.49%"
"11/17/2023","4,060.0","4,060.0","4,160.0","4,040.0","639.20K","0.25%"
"11/16/2023","4,050.0","4,040.0","4,080.0","4,020.0","254.90K","0.25%"
"11/15/2023","4,040.0","4,100.0","4,140.0","4,040.0","269.80K","-0.49%"
"11/14/2023","4,060.0","4,060.0","4,090.0","4,010.0","332.40K","0.00%"
"11/13/2023","4,060.0","4,050.0","4,130.0","4,000.0","386.20K","0.25%"
"11/10/2023","4,050.0","4,100.0","4,170.0","4,000.0","525.70K","-1.22%"
"11/09/2023","4,100.0","4,020.0","4,200.0","4,020.0","570.00K","2.24%"
"11/08/2023","4,010.0","3,940.0","4,080.0","3,910.0","408.70K","1.78%"
"11/07/2023","3,940.0","3,970.0","4,000.0","3,930.0","76.20K","-1.50%"
"11/06/2023","4,000.0","3,970.0","4,080.0","3,970.0","118.40K","0.76%"
"11/03/2023","3,970.0","4,190.0","4,190.0","3,940.0","134.10K","-0.50%"
"11/02/2023","3,990.0","3,750.0","3,990.0","3,750.0","425.80K","6.97%"
"11/01/2023","3,730.0","3,630.0","3,770.0","3,630.0","211.90K","1.08%"
"10/31/2023","3,690.0","3,730.0","3,800.0","3,690.0","164.30K","-1.60%"
"10/30/2023","3,750.0","3,810.0","3,820.0","3,740.0","126.80K","-1.32%"
"10/27/2023","3,800.0","3,980.0","4,000.0","3,690.0","291.70K","-1.55%"
"10/26/2023","3,860.0","4,110.0","4,110.0","3,860.0","1.14M","-6.76%"
"10/25/2023","4,140.0","4,120.0","4,180.0","4,120.0","252.00K","0.73%"
"10/24/2023","4,110.0","4,100.0","4,170.0","4,100.0","184.10K","-0.24%"
"10/23/2023","4,120.0","4,140.0","4,190.0","4,080.0","177.30K","-0.24%"
"10/20/2023","4,130.0","4,110.0","4,220.0","4,040.0","360.80K","1.23%"
"10/19/2023","4,080.0","4,350.0","4,360.0","4,050.0","901.00K","-6.21%"
"10/18/2023","4,350.0","4,630.0","4,630.0","4,350.0","898.10K","-6.05%"
"10/17/2023","4,630.0","4,640.0","4,670.0","4,630.0","309.20K","0.00%"
"10/16/2023","4,630.0","4,650.0","4,700.0","4,620.0","296.70K","-1.07%"
"10/13/2023","4,680.0","4,690.0","4,740.0","4,660.0","268.90K","-1.06%"
"10/12/2023","4,730.0","4,740.0","4,790.0","4,700.0","329.10K","0.64%"
"10/11/2023","4,700.0","4,740.0","4,740.0","4,650.0","304.10K","0.00%"
"10/10/2023","4,700.0","4,690.0","4,730.0","4,660.0","420.30K","0.86%"
"10/09/2023","4,660.0","4,700.0","4,700.0","4,630.0","263.10K","-0.43%"
"10/06/2023","4,680.0","4,660.0","4,700.0","4,580.0","271.00K","0.43%"
"10/05/2023","4,660.0","4,700.0","4,700.0","4,600.0","228.20K","-0.21%"
"10/04/2023","4,670.0","4,330.0","4,740.0","4,330.0","354.80K","1.52%"
"10/03/2023","4,600.0","4,780.0","4,790.0","4,480.0","594.50K","-4.17%"
"10/02/2023","4,800.0","4,780.0","4,890.0","4,760.0","248.60K","0.42%"
"09/29/2023","4,780.0","4,800.0","4,880.0","4,710.0","371.40K","0.42%"
"09/28/2023","4,760.0","4,870.0","4,880.0","4,750.0","432.50K","-2.46%"
"09/27/2023","4,880.0","4,880.0","4,950.0","4,700.0","787.30K","-0.20%"
"09/26/2023","4,890.0","4,700.0","4,980.0","4,640.0","1.41M","-1.81%"
"09/25/2023","4,980.0","5,190.0","5,210.0","4,790.0","1.40M","-3.30%"
"09/22/2023","5,150.0","5,000.0","5,150.0","4,930.0","1.66M","0.19%"
"09/21/2023","5,140.0","5,030.0","5,250.0","4,950.0","1.18M","2.39%"
"09/20/2023","5,020.0","5,000.0","5,060.0","4,960.0","635.90K","1.41%"
"09/19/2023","4,950.0","5,010.0","5,010.0","4,900.0","1.24M","-1.00%"
"09/18/2023","5,000.0","5,020.0","5,050.0","4,970.0","975.70K","-0.20%"
"09/15/2023","5,010.0","5,000.0","5,050.0","4,960.0","923.80K","1.21%"
"09/14/2023","4,950.0","4,880.0","5,060.0","4,870.0","1.66M","0.41%"
"09/13/2023","4,930.0","4,900.0","4,940.0","4,880.0","931.20K","-0.20%"
"09/12/2023","4,940.0","4,840.0","4,960.0","4,800.0","813.60K","2.07%"
"09/11/2023","4,840.0","4,880.0","4,900.0","4,800.0","1.39M","-1.22%"
"09/08/2023","4,900.0","4,880.0","4,960.0","4,860.0","899.60K","-0.41%"
"09/07/2023","4,920.0","4,850.0","4,930.0","4,830.0","1.29M","1.86%"
"09/06/2023","4,830.0","4,820.0","4,830.0","4,750.0","1.00M","0.63%"
"09/05/2023","4,800.0","4,990.0","4,990.0","4,790.0","642.30K","0.63%"
"08/31/2023","4,770.0","4,740.0","4,840.0","4,740.0","911.50K","0.00%"
"08/30/2023","4,770.0","4,740.0","4,900.0","4,740.0","633.50K","0.63%"
"08/29/2023","4,740.0","4,660.0","4,780.0","4,650.0","657.60K","1.94%"
"08/28/2023","4,650.0","4,650.0","4,700.0","4,570.0","794.00K","0.87%"
"08/25/2023","4,610.0","4,680.0","4,750.0","4,610.0","908.00K","-2.12%"
"08/24/2023","4,710.0","4,660.0","4,730.0","4,650.0","855.20K","1.29%"
"08/23/2023","4,650.0","4,760.0","4,760.0","4,650.0","775.00K","-1.48%"
"08/22/2023","4,720.0","4,680.0","4,750.0","4,520.0","927.80K","0.85%"
"08/21/2023","4,680.0","4,680.0","4,770.0","4,460.0","1.75M","-1.68%"
"08/18/2023","4,760.0","5,090.0","5,090.0","4,760.0","4.14M","-6.85%"
"08/17/2023","5,110.0","5,240.0","5,250.0","5,100.0","2.22M","-2.85%"
"08/16/2023","5,260.0","5,400.0","5,420.0","5,260.0","1.45M","-2.59%"
"08/15/2023","5,400.0","5,320.0","5,440.0","5,320.0","2.04M","1.12%"
"08/14/2023","5,340.0","5,310.0","5,460.0","5,290.0","1.74M","0.75%"
"08/11/2023","5,300.0","5,380.0","5,390.0","5,070.0","2.82M","0.00%"
"08/10/2023","5,300.0","5,540.0","5,620.0","5,280.0","3.25M","-3.64%"
"08/09/2023","5,500.0","5,530.0","5,700.0","5,390.0","2.11M","1.85%"
"08/08/2023","5,400.0","5,400.0","5,540.0","5,400.0","3.83M","0.93%"
"08/07/2023","5,350.0","5,400.0","5,470.0","5,260.0","2.99M","0.00%"
"08/04/2023","5,350.0","5,400.0","5,450.0","5,300.0","2.14M","0.94%"
"08/03/2023","5,300.0","4,930.0","5,300.0","4,900.0","6.27M","6.85%"
"08/02/2023","4,960.0","4,950.0","4,970.0","4,890.0","1.20M","0.20%"
"08/01/2023","4,950.0","5,090.0","5,090.0","4,910.0","2.09M","-1.39%"
"07/31/2023","5,020.0","5,120.0","5,120.0","4,940.0","2.34M","1.41%"
"07/28/2023","4,950.0","4,900.0","5,020.0","4,860.0","2.76M","1.02%"
"07/27/2023","4,900.0","4,810.0","4,920.0","4,810.0","2.28M","2.08%"
"07/26/2023","4,800.0","4,850.0","4,850.0","4,790.0","1.56M","-0.21%"
"07/25/2023","4,810.0","4,940.0","4,940.0","4,780.0","1.30M","-1.43%"
"07/24/2023","4,880.0","4,790.0","4,920.0","4,770.0","2.08M","1.67%"
"07/21/2023","4,800.0","4,770.0","4,820.0","4,720.0","1.27M","0.00%"
"07/20/2023","4,800.0","4,710.0","4,830.0","4,710.0","1.17M","2.13%"
"07/19/2023","4,700.0","5,000.0","5,050.0","4,700.0","2.65M","-5.81%"
"07/18/2023","4,990.0","5,060.0","5,070.0","4,960.0","1.77M","-1.19%"
"07/17/2023","5,050.0","4,910.0","5,070.0","4,910.0","2.97M","3.48%"
"07/14/2023","4,880.0","4,770.0","4,890.0","4,770.0","2.57M","2.95%"
"07/13/2023","4,740.0","4,720.0","4,800.0","4,710.0","1.26M","0.64%"
"07/12/2023","4,710.0","4,750.0","4,780.0","4,690.0","964.00K","-1.05%"
"07/11/2023","4,760.0","4,860.0","4,860.0","4,750.0","1.19M","-0.42%"
"07/10/2023","4,780.0","4,680.0","4,780.0","4,680.0","1.32M","2.36%"
"07/07/2023","4,670.0","4,640.0","4,700.0","4,620.0","849.80K","0.86%"
"07/06/2023","4,630.0","4,700.0","4,730.0","4,610.0","961.10K","-1.49%"
"07/05/2023","4,700.0","4,730.0","4,740.0","4,680.0","798.70K","0.00%"
"07/04/2023","4,700.0","4,700.0","4,700.0","4,660.0","578.60K","0.86%"
"07/03/2023","4,660.0","4,650.0","4,710.0","4,650.0","384.90K","0.87%"
"06/30/2023","4,620.0","4,630.0","4,680.0","4,590.0","1.03M","-0.43%"
"06/29/2023","4,640.0","4,770.0","4,770.0","4,640.0","1.79M","-2.32%"
"06/28/2023","4,750.0","4,840.0","4,890.0","4,710.0","1.22M","-1.86%"
"06/27/2023","4,840.0","4,900.0","4,930.0","4,810.0","988.90K","-0.82%"
"06/26/2023","4,880.0","4,800.0","4,900.0","4,710.0","2.62M","2.74%"
"06/23/2023","4,750.0","4,800.0","4,820.0","4,680.0","3.20M","-0.84%"
"06/22/2023","4,790.0","4,720.0","4,830.0","4,700.0","1.35M","1.70%"
"06/21/2023","4,710.0","4,790.0","4,790.0","4,700.0","904.90K","0.21%"
"06/20/2023","4,700.0","4,510.0","4,700.0","4,510.0","1.05M","3.52%"
"06/19/2023","4,540.0","4,790.0","4,790.0","4,540.0","2.16M","-3.40%"
"06/16/2023","4,700.0","4,840.0","4,860.0","4,700.0","1.82M","-2.49%"
"06/15/2023","4,820.0","4,850.0","4,900.0","4,700.0","2.18M","-1.63%"
"06/14/2023","4,900.0","5,100.0","5,180.0","4,850.0","4.31M","-3.16%"
"06/13/2023","5,060.0","5,000.0","5,200.0","5,000.0","3.09M","2.22%"
"06/12/2023","4,950.0","4,850.0","4,980.0","4,770.0","2.35M","3.13%"
"06/09/2023","4,800.0","4,900.0","4,900.0","4,700.0","2.56M","-0.41%"
"06/08/2023","4,820.0","4,780.0","4,970.0","4,780.0","4.41M","1.05%"
"06/07/2023","4,770.0","4,800.0","4,880.0","4,720.0","2.50M","1.49%"
"06/06/2023","4,700.0","4,520.0","4,830.0","4,520.0","2.66M","2.84%"
"06/05/2023","4,570.0","4,750.0","4,850.0","4,570.0","2.82M","-3.18%"
"06/02/2023","4,720.0","4,950.0","5,040.0","4,660.0","4.63M","-4.07%"
"06/01/2023","4,920.0","5,000.0","5,060.0","4,820.0","5.37M","3.80%"
"05/31/2023","4,740.0","4,500.0","4,740.0","4,450.0","5.40M","7.00%"
