"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","27,250","27,000","27,400","26,600","14.94M","1.49%"
"12/26/2023","26,850","26,350","26,850","26,300","13.21M","2.09%"
"12/25/2023","26,300","26,150","26,500","26,000","8.39M","0.38%"
"12/22/2023","26,200","26,250","26,500","25,850","7.29M","-0.95%"
"12/21/2023","26,450","25,800","26,750","25,550","16.05M","2.92%"
"12/20/2023","25,700","25,300","25,850","25,150","7.25M","1.58%"
"12/19/2023","25,300","25,200","25,400","24,650","4.87M","0.40%"
"12/18/2023","25,200","25,300","25,450","25,050","4.49M","-0.79%"
"12/15/2023","25,400","24,800","25,600","24,800","7.00M","1.60%"
"12/14/2023","25,000","25,400","25,700","24,900","7.13M","-2.34%"
"12/13/2023","25,600","26,150","26,200","25,300","8.38M","-2.10%"
"12/12/2023","26,150","25,800","26,250","25,700","11.92M","1.75%"
"12/11/2023","25,700","25,550","25,750","25,100","8.23M","0.98%"
"12/08/2023","25,450","25,550","25,550","24,850","7.39M","0.99%"
"12/07/2023","25,200","25,850","26,200","24,550","12.79M","-2.51%"
"12/06/2023","25,850","25,650","25,900","25,300","9.63M","0.78%"
"12/05/2023","25,650","25,800","25,850","25,250","8.71M","0.00%"
"12/04/2023","25,650","25,450","25,700","25,100","11.05M","2.19%"
"12/01/2023","25,100","24,700","25,150","24,500","10.83M","1.62%"
"11/30/2023","24,700","24,350","24,700","23,950","12.17M","2.07%"
"11/29/2023","24,200","23,800","24,200","23,700","6.41M","2.54%"
"11/28/2023","23,600","23,300","23,600","22,500","6.16M","1.72%"
"11/27/2023","23,200","24,100","24,100","23,200","5.37M","-3.33%"
"11/24/2023","24,000","24,000","24,150","22,850","8.68M","0.00%"
"11/23/2023","24,000","24,300","24,950","24,000","12.45M","0.00%"
"11/22/2023","24,000","23,950","24,100","23,650","5.32M","0.21%"
"11/21/2023","23,950","24,250","24,250","23,650","4.30M","0.00%"
"11/20/2023","23,950","23,600","24,200","23,450","6.60M","-0.21%"
"11/17/2023","24,000","24,000","24,350","23,500","12.23M","0.84%"
"11/16/2023","23,800","22,900","23,800","22,600","8.91M","3.93%"
"11/15/2023","22,900","23,500","23,600","22,650","7.27M","-0.87%"
"11/14/2023","23,100","23,400","23,400","22,600","5.76M","0.43%"
"11/13/2023","23,000","21,900","23,350","21,900","11.40M","5.26%"
