"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","101,000.0","100,800.0","101,500.0","100,800.0","18.30K","0.20%"
"12/26/2023","100,800.0","101,300.0","101,300.0","100,500.0","6.10K","0.90%"
"12/25/2023","99,900.0","99,500.0","100,200.0","99,500.0","6.90K","0.40%"
"12/22/2023","99,500.0","98,400.0","99,500.0","98,400.0","12.70K","0.61%"
"12/21/2023","98,900.0","98,400.0","99,500.0","98,400.0","12.60K","-0.90%"
"12/20/2023","99,800.0","99,900.0","100,100.0","98,700.0","15.40K","-0.10%"
"12/19/2023","99,900.0","100,000.0","100,000.0","98,500.0","12.90K","-0.10%"
"12/18/2023","100,000.0","100,300.0","100,400.0","100,000.0","5.80K","-0.30%"
"12/15/2023","100,300.0","100,000.0","100,500.0","99,900.0","6.40K","0.10%"
"12/14/2023","100,200.0","100,400.0","100,800.0","100,000.0","5.10K","-0.20%"
"12/13/2023","100,400.0","101,000.0","101,400.0","99,900.0","11.20K","-0.89%"
"12/12/2023","101,300.0","100,200.0","101,500.0","100,200.0","15.70K","0.80%"
"12/11/2023","100,500.0","102,200.0","102,200.0","100,000.0","24.00K","-1.57%"
"12/08/2023","102,100.0","103,000.0","103,000.0","95,000.0","45.20K","0.00%"
"12/07/2023","102,100.0","103,300.0","103,300.0","101,800.0","40.70K","-1.45%"
"12/06/2023","103,600.0","104,000.0","104,000.0","102,800.0","25.60K","-0.29%"
"12/05/2023","103,900.0","104,400.0","104,400.0","102,800.0","28.20K","0.00%"
"12/04/2023","103,900.0","103,400.0","104,000.0","102,800.0","29.00K","0.48%"
"12/01/2023","103,400.0","103,700.0","103,700.0","103,000.0","3.60K","-0.29%"
"11/30/2023","103,700.0","103,800.0","104,700.0","103,100.0","14.20K","-0.10%"
"11/29/2023","103,800.0","102,000.0","103,800.0","101,700.0","14.10K","1.76%"
"11/28/2023","102,000.0","103,500.0","103,500.0","99,900.0","28.40K","-1.45%"
"11/27/2023","103,500.0","104,400.0","104,500.0","102,600.0","4.10K","0.78%"
"11/24/2023","102,700.0","103,100.0","103,100.0","102,300.0","6.60K","-0.29%"
"11/23/2023","103,000.0","103,000.0","103,200.0","102,700.0","35.20K","-1.44%"
"11/22/2023","104,500.0","105,200.0","105,400.0","102,200.0","10.70K","-0.67%"
"11/21/2023","105,200.0","103,600.0","105,500.0","102,000.0","21.40K","1.54%"
"11/20/2023","103,600.0","100,400.0","104,100.0","100,400.0","4.80K","-0.48%"
"11/17/2023","104,100.0","104,300.0","105,500.0","103,500.0","8.60K","-1.33%"
"11/16/2023","105,500.0","105,500.0","105,500.0","104,100.0","10.50K","0.00%"
"11/15/2023","105,500.0","105,000.0","105,900.0","104,400.0","5.90K","0.57%"
"11/14/2023","104,900.0","104,500.0","105,700.0","103,500.0","12.10K","0.58%"
"11/13/2023","104,300.0","104,400.0","104,800.0","104,300.0","3.30K","0.00%"
"11/10/2023","104,300.0","105,400.0","105,400.0","104,200.0","7.20K","-1.04%"
"11/09/2023","105,400.0","106,000.0","106,900.0","105,400.0","10.30K","-0.57%"
"11/08/2023","106,000.0","104,500.0","106,000.0","103,600.0","18.10K","1.15%"
"11/07/2023","104,800.0","104,800.0","105,000.0","103,000.0","9.10K","0.00%"
"11/06/2023","104,800.0","103,600.0","104,900.0","103,000.0","7.10K","1.16%"
"11/03/2023","103,600.0","105,000.0","105,000.0","103,100.0","7.50K","0.58%"
"11/02/2023","103,000.0","102,500.0","103,000.0","100,900.0","18.10K","0.49%"
"11/01/2023","102,500.0","100,000.0","102,500.0","99,100.0","11.50K","2.50%"
"10/31/2023","100,000.0","105,900.0","105,900.0","100,000.0","13.30K","-1.48%"
"10/30/2023","101,500.0","101,000.0","102,400.0","98,000.0","13.10K","0.10%"
"10/27/2023","101,400.0","102,900.0","103,000.0","101,100.0","10.50K","-1.46%"
"10/26/2023","102,900.0","109,800.0","109,800.0","101,100.0","51.20K","-5.25%"
"10/25/2023","108,600.0","110,400.0","111,500.0","108,600.0","27.70K","-1.63%"
"10/24/2023","110,400.0","109,200.0","110,900.0","109,200.0","12.30K","0.36%"
"10/23/2023","110,000.0","112,200.0","113,800.0","110,000.0","52.70K","-5.09%"
"10/20/2023","115,900.0","115,000.0","115,900.0","114,000.0","33.20K","0.78%"
"10/19/2023","115,000.0","115,400.0","115,900.0","115,000.0","64.00K","-0.35%"
"10/18/2023","115,400.0","120,200.0","120,200.0","114,000.0","59.80K","-2.70%"
"10/17/2023","118,600.0","121,400.0","121,400.0","118,600.0","14.00K","-0.92%"
"10/16/2023","119,700.0","120,900.0","121,000.0","119,000.0","30.60K","-0.25%"
"10/13/2023","120,000.0","120,600.0","120,600.0","119,000.0","12.20K","-0.58%"
"10/12/2023","120,700.0","120,800.0","121,000.0","119,500.0","43.90K","-0.49%"
"10/11/2023","121,300.0","122,700.0","122,700.0","119,000.0","58.90K","-0.33%"
"10/10/2023","121,700.0","123,600.0","123,600.0","121,100.0","10.80K","-0.41%"
"10/09/2023","122,200.0","117,600.0","122,500.0","117,600.0","190.10K","4.00%"
"10/06/2023","117,500.0","116,400.0","117,500.0","115,500.0","9.10K","0.69%"
"10/05/2023","116,700.0","117,200.0","117,900.0","115,100.0","12.30K","0.09%"
"10/04/2023","116,600.0","115,100.0","116,700.0","115,000.0","8.20K","-0.09%"
"10/03/2023","116,700.0","117,500.0","119,400.0","116,100.0","12.40K","-1.68%"
"10/02/2023","118,700.0","118,500.0","118,900.0","118,000.0","15.20K","1.45%"
"09/29/2023","117,000.0","118,900.0","118,900.0","116,300.0","14.50K","0.52%"
"09/28/2023","116,400.0","117,000.0","117,000.0","116,000.0","15.20K","-0.68%"
"09/27/2023","117,200.0","115,500.0","117,200.0","115,500.0","50.50K","0.86%"
"09/26/2023","116,200.0","116,300.0","118,000.0","115,000.0","19.50K","0.17%"
"09/25/2023","116,000.0","118,000.0","119,900.0","116,000.0","26.70K","-1.61%"
"09/22/2023","117,900.0","119,800.0","119,800.0","117,000.0","36.50K","-0.67%"
"09/21/2023","118,700.0","120,000.0","120,000.0","118,000.0","21.30K","0.08%"
"09/20/2023","118,600.0","119,000.0","119,000.0","118,000.0","15.70K","-0.17%"
"09/19/2023","118,800.0","119,000.0","119,000.0","117,500.0","7.60K","0.34%"
"09/18/2023","118,400.0","119,900.0","119,900.0","118,100.0","20.20K","0.34%"
"09/15/2023","118,000.0","119,900.0","119,900.0","117,900.0","21.60K","-0.42%"
