"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","27,000.0","26,750.0","27,400.0","26,700.0","460.90K","0.56%"
"12/26/2023","26,850.0","27,100.0","27,200.0","26,750.0","635.90K","-1.47%"
"12/25/2023","27,250.0","27,250.0","27,450.0","26,700.0","853.10K","1.30%"
"12/22/2023","26,900.0","26,400.0","27,300.0","26,200.0","1.30M","4.06%"
"12/21/2023","25,850.0","24,200.0","25,850.0","24,200.0","1.43M","6.82%"
"12/20/2023","24,200.0","23,850.0","24,500.0","23,750.0","354.90K","1.47%"
"12/19/2023","23,850.0","24,500.0","24,700.0","23,850.0","370.10K","-2.45%"
"12/18/2023","24,450.0","23,800.0","25,000.0","23,800.0","1.02M","2.73%"
"12/15/2023","23,800.0","23,150.0","23,900.0","23,050.0","457.70K","3.03%"
"12/14/2023","23,100.0","23,200.0","23,200.0","23,050.0","68.30K","0.00%"
"12/13/2023","23,100.0","23,300.0","23,600.0","23,100.0","152.10K","-0.86%"
"12/12/2023","23,300.0","23,550.0","23,550.0","23,200.0","125.50K","-1.06%"
"12/11/2023","23,550.0","23,750.0","23,750.0","23,200.0","144.20K","-0.42%"
"12/08/2023","23,650.0","23,800.0","23,800.0","23,500.0","168.90K","-0.21%"
"12/07/2023","23,700.0","23,650.0","23,750.0","23,200.0","327.00K","0.21%"
"12/06/2023","23,650.0","23,700.0","23,800.0","23,600.0","145.40K","-0.21%"
"12/05/2023","23,700.0","23,600.0","23,800.0","23,450.0","296.30K","1.28%"
"12/04/2023","23,400.0","23,200.0","23,800.0","23,200.0","502.60K","1.30%"
"12/01/2023","23,100.0","22,800.0","23,100.0","22,700.0","76.80K","1.32%"
"11/30/2023","22,800.0","23,050.0","23,150.0","22,800.0","153.60K","-1.51%"
"11/29/2023","23,150.0","23,100.0","23,150.0","22,950.0","122.90K","0.65%"
"11/28/2023","23,000.0","22,900.0","23,150.0","22,650.0","88.40K","0.44%"
"11/27/2023","22,900.0","22,900.0","23,100.0","22,700.0","95.70K","-0.22%"
"11/24/2023","22,950.0","22,950.0","23,050.0","22,700.0","128.20K","-0.43%"
"11/23/2023","23,050.0","23,200.0","23,300.0","23,000.0","294.90K","0.00%"
"11/22/2023","23,050.0","23,100.0","23,100.0","22,950.0","110.40K","-0.22%"
"11/21/2023","23,100.0","23,100.0","23,150.0","22,900.0","68.50K","0.00%"
"11/20/2023","23,100.0","22,900.0","23,250.0","22,600.0","117.10K","0.00%"
"11/17/2023","23,100.0","23,050.0","23,350.0","22,700.0","146.20K","0.43%"
"11/16/2023","23,000.0","22,700.0","23,000.0","22,700.0","116.90K","0.88%"
"11/15/2023","22,800.0","23,000.0","23,050.0","22,800.0","228.40K","0.00%"
"11/14/2023","22,800.0","22,350.0","22,900.0","22,350.0","155.70K","1.33%"
"11/13/2023","22,500.0","22,350.0","22,550.0","22,300.0","119.30K","-0.22%"
"11/10/2023","22,550.0","22,600.0","22,650.0","22,350.0","217.20K","0.22%"
