"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","103,100.0","103,400.0","105,300.0","103,000.0","545.10K","-0.29%"
"12/26/2023","103,400.0","103,900.0","104,200.0","102,900.0","207.80K","-0.48%"
"12/25/2023","103,900.0","102,600.0","104,300.0","102,000.0","533.20K","1.37%"
"12/22/2023","102,500.0","101,800.0","102,800.0","101,400.0","382.10K","0.59%"
"12/21/2023","101,900.0","101,500.0","103,500.0","100,900.0","704.30K","0.39%"
"12/20/2023","101,500.0","99,000.0","101,700.0","99,000.0","412.90K","1.81%"
"12/19/2023","99,700.0","100,000.0","100,000.0","98,700.0","233.30K","-0.89%"
"12/18/2023","100,600.0","100,000.0","100,600.0","98,800.0","111.20K","-0.20%"
"12/15/2023","100,800.0","98,900.0","100,800.0","98,600.0","222.20K","0.80%"
"12/14/2023","100,000.0","100,000.0","100,000.0","98,400.0","297.30K","0.00%"
"12/13/2023","100,000.0","101,500.0","101,500.0","99,000.0","287.70K","-1.48%"
"12/12/2023","101,500.0","99,000.0","101,500.0","98,900.0","390.10K","2.42%"
"12/11/2023","99,100.0","99,000.0","101,000.0","98,800.0","295.70K","-1.98%"
"12/08/2023","101,100.0","101,800.0","101,800.0","99,500.0","261.30K","-0.79%"
"12/07/2023","101,900.0","101,700.0","101,900.0","98,400.0","397.40K","0.10%"
"12/06/2023","101,800.0","101,800.0","101,800.0","99,500.0","553.80K","0.00%"
"12/05/2023","101,800.0","104,000.0","104,000.0","101,800.0","414.20K","-1.17%"
"12/04/2023","103,000.0","103,000.0","103,500.0","101,500.0","461.20K","0.00%"
"12/01/2023","103,000.0","103,500.0","103,600.0","100,800.0","163.10K","0.59%"
"11/30/2023","102,400.0","100,600.0","104,800.0","100,000.0","586.70K","2.61%"
"11/29/2023","99,800.0","98,600.0","100,900.0","98,000.0","221.30K","1.01%"
"11/28/2023","98,800.0","97,900.0","99,000.0","96,000.0","361.00K","-0.20%"
"11/27/2023","99,000.0","102,800.0","102,800.0","99,000.0","100.40K","-2.94%"
"11/24/2023","102,000.0","99,800.0","102,000.0","96,800.0","731.90K","2.10%"
"11/23/2023","99,900.0","102,000.0","104,500.0","99,900.0","318.80K","-1.77%"
"11/22/2023","101,700.0","102,000.0","102,300.0","100,200.0","185.60K","-0.29%"
"11/21/2023","102,000.0","102,500.0","102,900.0","100,700.0","188.80K","0.49%"
"11/20/2023","101,500.0","100,000.0","102,900.0","100,000.0","180.40K","-1.36%"
"11/17/2023","102,900.0","102,100.0","103,500.0","99,000.0","722.10K","-0.58%"
"11/16/2023","103,500.0","104,000.0","104,400.0","101,000.0","515.10K","-1.33%"
"11/15/2023","104,900.0","105,000.0","105,000.0","102,700.0","375.80K","0.87%"
"11/14/2023","104,000.0","104,500.0","104,600.0","103,000.0","164.70K","0.68%"
"11/13/2023","103,300.0","103,300.0","105,500.0","102,000.0","295.00K","0.00%"
"11/10/2023","103,300.0","103,200.0","106,900.0","102,700.0","333.00K","-1.15%"
"11/09/2023","104,500.0","100,200.0","104,800.0","99,300.0","672.30K","4.50%"
"11/08/2023","100,000.0","96,000.0","101,000.0","95,300.0","907.80K","4.17%"
"11/07/2023","96,000.0","97,000.0","98,000.0","95,600.0","447.90K","-1.03%"
"11/06/2023","97,000.0","95,100.0","97,000.0","95,000.0","494.40K","1.04%"
"11/03/2023","96,000.0","92,400.0","96,200.0","90,200.0","516.00K","3.45%"
"11/02/2023","92,800.0","90,500.0","93,000.0","88,100.0","302.50K","5.45%"
"11/01/2023","88,000.0","87,000.0","88,000.0","84,400.0","616.10K","1.15%"
"10/31/2023","87,000.0","84,600.0","87,900.0","84,600.0","962.70K","0.69%"
"10/30/2023","86,400.0","92,500.0","92,500.0","86,400.0","443.90K","-6.90%"
