"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","76,300.0","76,400.0","76,700.0","76,100.0","706.40K","-0.13%"
"12/26/2023","76,400.0","76,700.0","76,700.0","75,700.0","755.00K","-0.13%"
"12/25/2023","76,500.0","74,700.0","76,700.0","74,700.0","1.06M","2.41%"
"12/22/2023","74,700.0","74,900.0","75,200.0","74,300.0","616.60K","0.00%"
"12/21/2023","74,700.0","75,000.0","75,100.0","74,400.0","727.80K","-0.66%"
"12/20/2023","75,200.0","75,500.0","75,500.0","74,800.0","573.70K","0.27%"
"12/19/2023","75,000.0","75,000.0","75,400.0","74,200.0","886.50K","-0.66%"
"12/18/2023","75,500.0","76,000.0","76,100.0","75,500.0","615.30K","-0.66%"
"12/15/2023","76,000.0","76,900.0","76,900.0","76,000.0","806.60K","-1.17%"
"12/14/2023","76,900.0","76,900.0","77,700.0","76,700.0","403.20K","0.00%"
"12/13/2023","76,900.0","78,200.0","78,200.0","76,800.0","1.12M","-1.66%"
"12/12/2023","78,200.0","78,300.0","78,400.0","77,900.0","471.10K","-0.13%"
"12/11/2023","78,300.0","78,600.0","78,600.0","77,800.0","694.50K","0.90%"
"12/08/2023","77,600.0","78,100.0","78,700.0","77,500.0","884.50K","-0.39%"
"12/07/2023","77,900.0","79,400.0","79,500.0","77,500.0","856.70K","-2.38%"
"12/06/2023","79,800.0","79,000.0","79,800.0","78,900.0","480.10K","1.01%"
"12/05/2023","79,000.0","79,000.0","79,900.0","78,700.0","661.50K","0.00%"
"12/04/2023","79,000.0","77,800.0","79,100.0","77,700.0","783.50K","1.67%"
"12/01/2023","77,700.0","77,000.0","77,900.0","76,600.0","492.70K","1.57%"
"11/30/2023","76,500.0","77,900.0","78,300.0","76,500.0","465.70K","-1.67%"
"11/29/2023","77,800.0","76,700.0","78,000.0","76,600.0","596.10K","1.04%"
"11/28/2023","77,000.0","76,500.0","77,000.0","75,800.0","526.30K","0.26%"
"11/27/2023","76,800.0","77,700.0","77,700.0","76,500.0","404.10K","-0.90%"
"11/24/2023","77,500.0","77,100.0","77,600.0","76,000.0","624.90K","0.65%"
"11/23/2023","77,000.0","79,100.0","79,200.0","77,000.0","611.50K","-2.53%"
"11/22/2023","79,000.0","79,000.0","79,300.0","78,400.0","481.60K","0.00%"
"11/21/2023","79,000.0","78,800.0","79,100.0","78,300.0","379.30K","0.89%"
"11/20/2023","78,300.0","77,700.0","78,900.0","77,600.0","572.60K","-0.51%"
"11/17/2023","78,700.0","79,600.0","79,700.0","78,300.0","778.80K","-1.63%"
"11/16/2023","80,000.0","79,900.0","80,000.0","79,000.0","652.00K","-0.12%"
"11/15/2023","80,100.0","79,600.0","80,700.0","79,600.0","823.80K","1.26%"
"11/14/2023","79,100.0","79,300.0","79,700.0","78,500.0","445.50K","0.13%"
"11/13/2023","79,000.0","79,000.0","79,500.0","78,600.0","306.30K","0.38%"
"11/10/2023","78,700.0","79,000.0","80,000.0","78,500.0","525.70K","-1.63%"
"11/09/2023","80,000.0","80,000.0","80,400.0","79,000.0","628.10K","0.00%"
"11/08/2023","80,000.0","78,500.0","80,000.0","78,000.0","504.30K","1.52%"
"11/07/2023","78,800.0","79,000.0","80,400.0","78,500.0","309.80K","-0.25%"
"11/06/2023","79,000.0","79,100.0","79,100.0","78,000.0","415.20K","-0.13%"
"11/03/2023","79,100.0","79,400.0","79,700.0","78,300.0","455.30K","-0.13%"
"11/02/2023","79,200.0","77,300.0","79,200.0","76,900.0","444.70K","2.99%"
"11/01/2023","76,900.0","77,500.0","77,500.0","76,300.0","296.60K","0.39%"
"10/31/2023","76,600.0","76,600.0","77,100.0","76,000.0","355.20K","0.00%"
"10/30/2023","76,600.0","77,600.0","77,700.0","76,500.0","256.60K","-1.29%"
"10/27/2023","77,600.0","76,500.0","78,500.0","75,600.0","377.80K","2.78%"
"10/26/2023","75,500.0","77,800.0","80,000.0","75,500.0","1.07M","-6.09%"
"10/25/2023","80,400.0","81,000.0","81,400.0","80,400.0","329.40K","-0.99%"
"10/24/2023","81,200.0","81,000.0","81,300.0","80,000.0","348.40K","0.74%"
"10/23/2023","80,600.0","83,300.0","83,300.0","80,400.0","467.40K","-3.13%"
"10/20/2023","83,200.0","82,200.0","83,200.0","80,000.0","812.70K","1.59%"
"10/19/2023","81,900.0","83,000.0","83,500.0","81,900.0","638.80K","-1.33%"
"10/18/2023","83,000.0","85,000.0","85,100.0","81,500.0","792.80K","-2.58%"
"10/17/2023","85,200.0","86,700.0","86,900.0","85,200.0","454.40K","-1.96%"
"10/16/2023","86,900.0","86,500.0","87,900.0","86,500.0","874.50K","1.28%"
"10/13/2023","85,800.0","85,100.0","86,000.0","84,400.0","431.80K","-0.23%"
"10/12/2023","86,000.0","86,400.0","86,400.0","85,000.0","639.90K","0.00%"
"10/11/2023","86,000.0","87,000.0","87,500.0","85,500.0","658.70K","-0.46%"
"10/10/2023","86,400.0","87,200.0","88,200.0","85,400.0","986.10K","-0.23%"
"10/09/2023","86,600.0","86,500.0","87,300.0","85,500.0","514.80K","2.85%"
"10/06/2023","84,200.0","84,100.0","84,200.0","83,000.0","350.40K","0.00%"
"10/05/2023","84,200.0","85,700.0","85,800.0","84,200.0","589.90K","-1.86%"
"10/04/2023","85,800.0","86,000.0","86,500.0","85,800.0","603.60K","-0.58%"
"10/03/2023","86,300.0","88,800.0","88,800.0","86,000.0","546.00K","-3.36%"
"10/02/2023","89,300.0","90,500.0","90,500.0","88,900.0","289.10K","-1.54%"
"09/29/2023","90,700.0","91,700.0","91,700.0","89,500.0","596.50K","-0.87%"
"09/28/2023","91,500.0","89,800.0","91,500.0","88,900.0","924.00K","2.92%"
"09/27/2023","88,900.0","89,000.0","89,500.0","86,000.0","570.50K","0.11%"
"09/26/2023","88,800.0","89,500.0","90,200.0","88,800.0","441.60K","-0.78%"
"09/25/2023","89,500.0","90,900.0","92,000.0","89,000.0","507.70K","-1.54%"
"09/22/2023","90,900.0","89,900.0","91,000.0","88,800.0","730.80K","-14.65%"
"09/21/2023","106,500.0","108,600.0","109,000.0","106,500.0","774.10K","-2.29%"
"09/20/2023","109,000.0","110,000.0","110,000.0","108,400.0","428.40K","-0.91%"
"09/19/2023","110,000.0","109,000.0","111,000.0","107,600.0","404.10K","0.92%"
"09/18/2023","109,000.0","109,900.0","111,900.0","108,000.0","469.50K","-0.55%"
"09/15/2023","109,600.0","107,000.0","109,700.0","106,100.0","793.00K","3.40%"
"09/14/2023","106,000.0","105,600.0","107,900.0","104,500.0","552.90K","0.38%"
"09/13/2023","105,600.0","103,100.0","106,300.0","102,700.0","1.30M","2.82%"
"09/12/2023","102,700.0","102,200.0","103,600.0","101,100.0","588.80K","1.28%"
"09/11/2023","101,400.0","103,500.0","103,500.0","101,100.0","371.80K","-0.78%"
"09/08/2023","102,200.0","102,900.0","103,300.0","102,200.0","548.90K","-0.68%"
"09/07/2023","102,900.0","101,400.0","103,200.0","100,600.0","911.90K","1.38%"
"09/06/2023","101,500.0","99,900.0","101,800.0","99,700.0","547.90K","1.91%"
"09/05/2023","99,600.0","100,200.0","100,200.0","98,700.0","420.60K","1.01%"
"08/31/2023","98,600.0","99,300.0","99,500.0","98,600.0","573.70K","-0.70%"
"08/30/2023","99,300.0","100,000.0","100,000.0","98,800.0","426.60K","-0.60%"
"08/29/2023","99,900.0","101,000.0","101,000.0","99,400.0","543.10K","-3.20%"
"08/28/2023","103,200.0","102,300.0","103,800.0","101,800.0","687.50K","1.78%"
"08/25/2023","101,400.0","102,400.0","102,400.0","101,000.0","539.60K","-0.98%"
"08/24/2023","102,400.0","102,500.0","102,500.0","101,900.0","553.40K","0.49%"
"08/23/2023","101,900.0","100,300.0","102,100.0","100,300.0","724.30K","1.60%"
"08/22/2023","100,300.0","99,500.0","101,000.0","99,000.0","598.30K","1.21%"
"08/21/2023","99,100.0","98,600.0","99,400.0","98,100.0","451.70K","1.54%"
"08/18/2023","97,600.0","99,900.0","99,900.0","97,800.0","824.80K","-2.40%"
"08/17/2023","100,000.0","100,000.0","101,000.0","99,600.0","416.40K","-0.20%"
"08/16/2023","100,200.0","100,400.0","101,400.0","100,000.0","403.40K","-0.20%"
"08/15/2023","100,400.0","100,700.0","100,700.0","100,100.0","326.40K","-0.20%"
"08/14/2023","100,600.0","101,600.0","101,900.0","100,500.0","549.30K","-0.89%"
"08/11/2023","101,500.0","101,800.0","102,000.0","100,700.0","344.20K","-0.49%"
"08/10/2023","102,000.0","101,900.0","103,700.0","101,500.0","771.90K","0.99%"
"08/09/2023","101,000.0","101,400.0","101,400.0","100,600.0","371.50K","-0.20%"
"08/08/2023","101,200.0","100,900.0","101,400.0","100,600.0","529.70K","0.30%"
"08/07/2023","100,900.0","101,300.0","101,300.0","99,900.0","351.20K","0.60%"
"08/04/2023","100,300.0","99,600.0","100,900.0","99,400.0","544.80K","0.70%"
"08/03/2023","99,600.0","100,400.0","100,500.0","99,600.0","451.00K","-0.80%"
"08/02/2023","100,400.0","101,000.0","101,600.0","99,900.0","330.50K","-0.30%"
"08/01/2023","100,700.0","102,300.0","102,300.0","100,700.0","608.90K","-0.89%"
"07/31/2023","101,600.0","100,100.0","102,600.0","100,100.0","1.19M","2.11%"
"07/28/2023","99,500.0","98,000.0","99,600.0","98,000.0","537.30K","1.32%"
"07/27/2023","98,200.0","98,500.0","98,800.0","98,100.0","468.20K","0.00%"
"07/26/2023","98,200.0","98,800.0","98,800.0","98,200.0","390.20K","-0.61%"
"07/25/2023","98,800.0","98,800.0","99,600.0","98,500.0","413.30K","0.30%"
"07/24/2023","98,500.0","99,700.0","99,900.0","98,400.0","539.10K","-0.91%"
"07/21/2023","99,400.0","98,700.0","99,400.0","98,100.0","532.60K","0.71%"
"07/20/2023","98,700.0","98,700.0","99,200.0","97,500.0","562.60K","-0.20%"
"07/19/2023","98,900.0","100,300.0","100,300.0","98,900.0","526.00K","-0.90%"
"07/18/2023","99,800.0","99,000.0","100,400.0","98,500.0","742.30K","0.81%"
"07/17/2023","99,000.0","99,100.0","99,200.0","98,100.0","514.10K","0.00%"
"07/14/2023","99,000.0","99,500.0","100,500.0","98,500.0","695.20K","-0.30%"
"07/13/2023","99,300.0","97,000.0","99,600.0","96,600.0","1.37M","2.90%"
"07/12/2023","96,500.0","97,600.0","97,600.0","96,200.0","568.50K","-0.72%"
"07/11/2023","97,200.0","97,800.0","98,000.0","97,000.0","719.60K","-0.31%"
"07/10/2023","97,500.0","96,500.0","97,600.0","96,400.0","1.13M","1.56%"
"07/07/2023","96,000.0","95,700.0","96,600.0","95,300.0","672.50K","0.84%"
"07/06/2023","95,200.0","95,000.0","96,500.0","94,700.0","1.37M","0.95%"
"07/05/2023","94,300.0","95,300.0","95,300.0","94,300.0","410.40K","-0.84%"
"07/04/2023","95,100.0","94,400.0","95,400.0","94,100.0","498.40K","1.17%"
"07/03/2023","94,000.0","93,800.0","94,500.0","93,600.0","380.90K","1.08%"
"06/30/2023","93,000.0","94,600.0","95,000.0","93,000.0","681.40K","-1.69%"
"06/29/2023","94,600.0","95,500.0","95,800.0","94,600.0","710.10K","-0.84%"
"06/28/2023","95,400.0","96,900.0","96,900.0","95,400.0","762.50K","-0.93%"
"06/27/2023","96,300.0","96,700.0","97,000.0","96,000.0","510.60K","0.31%"
"06/26/2023","96,000.0","95,200.0","96,300.0","95,100.0","942.40K","0.84%"
"06/23/2023","95,200.0","96,300.0","96,300.0","95,000.0","628.30K","-0.42%"
