"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","37,750.0","38,550.0","38,800.0","37,750.0","3.76M","-1.69%"
"12/26/2023","38,400.0","39,200.0","39,200.0","38,200.0","3.00M","-1.16%"
"12/25/2023","38,850.0","37,800.0","39,250.0","37,700.0","4.82M","3.88%"
"12/22/2023","37,400.0","37,750.0","37,800.0","37,050.0","2.38M","-0.13%"
"12/21/2023","37,450.0","37,100.0","37,950.0","36,850.0","3.52M","0.67%"
"12/20/2023","37,200.0","36,150.0","37,250.0","36,100.0","3.84M","3.62%"
"12/19/2023","35,900.0","35,100.0","35,900.0","34,850.0","1.70M","2.87%"
"12/18/2023","34,900.0","35,600.0","35,700.0","34,900.0","2.19M","-1.97%"
"12/15/2023","35,600.0","35,800.0","36,200.0","35,300.0","1.43M","-0.56%"
"12/14/2023","35,800.0","36,700.0","36,800.0","35,800.0","1.21M","-1.51%"
"12/13/2023","36,350.0","36,450.0","36,950.0","36,150.0","3.05M","0.41%"
"12/12/2023","36,200.0","36,100.0","36,500.0","35,950.0","1.42M","0.28%"
"12/11/2023","36,100.0","36,200.0","36,300.0","35,600.0","2.01M","0.00%"
"12/08/2023","36,100.0","36,900.0","36,900.0","35,900.0","2.23M","-1.90%"
"12/07/2023","36,800.0","37,550.0","37,550.0","35,750.0","4.55M","-1.87%"
"12/06/2023","37,500.0","36,800.0","37,950.0","36,800.0","2.58M","1.49%"
"12/05/2023","36,950.0","37,400.0","37,500.0","36,800.0","3.18M","-1.07%"
"12/04/2023","37,350.0","37,200.0","37,600.0","37,050.0","3.41M","3.03%"
"12/01/2023","36,250.0","35,800.0","36,500.0","35,550.0","3.28M","2.11%"
"11/30/2023","35,500.0","36,250.0","36,700.0","35,400.0","3.15M","-1.66%"
"11/29/2023","36,100.0","36,250.0","36,500.0","35,750.0","2.61M","0.28%"
"11/28/2023","36,000.0","34,800.0","36,000.0","34,500.0","5.26M","3.90%"
"11/27/2023","34,650.0","34,350.0","35,200.0","34,300.0","2.72M","2.06%"
"11/24/2023","33,950.0","33,800.0","33,950.0","32,600.0","3.17M","1.34%"
"11/23/2023","33,500.0","35,750.0","35,850.0","33,500.0","3.17M","-5.10%"
