"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","19,300.0","19,200.0","19,300.0","19,150.0","6.48M","0.52%"
"12/26/2023","19,200.0","19,200.0","19,200.0","18,950.0","6.65M","0.26%"
"12/25/2023","19,150.0","18,950.0","19,150.0","18,850.0","6.81M","1.06%"
"12/22/2023","18,950.0","18,750.0","18,950.0","18,550.0","7.00M","1.07%"
"12/21/2023","18,750.0","18,650.0","18,850.0","18,350.0","6.50M","-0.27%"
"12/20/2023","18,800.0","18,950.0","18,950.0","18,400.0","7.03M","-0.79%"
"12/19/2023","18,950.0","18,400.0","18,950.0","18,150.0","6.93M","2.99%"
"12/18/2023","18,400.0","19,050.0","19,050.0","18,200.0","7.22M","-3.16%"
"12/15/2023","19,000.0","18,900.0","19,050.0","18,800.0","7.31M","0.53%"
"12/14/2023","18,900.0","18,850.0","19,000.0","18,750.0","6.71M","0.27%"
"12/13/2023","18,850.0","18,800.0","18,900.0","18,650.0","7.05M","0.27%"
"12/12/2023","18,800.0","18,800.0","18,800.0","18,600.0","7.05M","0.27%"
"12/11/2023","18,750.0","18,800.0","18,850.0","18,500.0","6.79M","0.00%"
"12/08/2023","18,750.0","18,700.0","18,800.0","18,600.0","7.91M","0.27%"
"12/07/2023","18,700.0","18,700.0","18,800.0","18,300.0","9.20M","0.54%"
"12/06/2023","18,600.0","18,600.0","18,800.0","18,450.0","7.98M","0.81%"
"12/05/2023","18,450.0","18,500.0","18,500.0","18,150.0","6.51M","-0.27%"
"12/04/2023","18,500.0","18,250.0","18,600.0","18,100.0","6.76M","1.65%"
"12/01/2023","18,200.0","18,050.0","18,200.0","17,850.0","6.75M","1.11%"
"11/30/2023","18,000.0","18,000.0","18,150.0","17,900.0","5.98M","-0.28%"
"11/29/2023","18,050.0","18,100.0","18,400.0","17,950.0","6.98M","0.00%"
"11/28/2023","18,050.0","18,100.0","18,150.0","17,800.0","5.36M","-0.28%"
"11/27/2023","18,100.0","18,400.0","18,400.0","17,850.0","6.32M","-1.09%"
"11/24/2023","18,300.0","18,100.0","18,400.0","18,050.0","5.75M","1.39%"
"11/23/2023","18,050.0","18,650.0","18,650.0","18,050.0","7.22M","-2.96%"
"11/22/2023","18,600.0","18,750.0","18,800.0","18,450.0","6.67M","-0.53%"
"11/21/2023","18,700.0","18,750.0","18,800.0","18,500.0","6.72M","0.00%"
"11/20/2023","18,700.0","18,200.0","18,800.0","18,150.0","7.71M","1.08%"
"11/17/2023","18,500.0","18,950.0","19,000.0","18,250.0","7.86M","-2.37%"
"11/16/2023","18,950.0","19,050.0","19,050.0","18,750.0","7.93M","0.26%"
"11/15/2023","18,900.0","19,000.0","19,150.0","18,900.0","10.05M","0.80%"
"11/14/2023","18,750.0","18,850.0","18,950.0","18,550.0","9.04M","-0.27%"
"11/13/2023","18,800.0","18,850.0","18,900.0","18,400.0","10.66M","-0.27%"
"11/10/2023","18,850.0","18,700.0","18,850.0","18,400.0","11.13M","0.53%"
"11/09/2023","18,750.0","18,900.0","18,900.0","18,700.0","10.08M","-0.27%"
"11/08/2023","18,800.0","18,000.0","18,800.0","17,950.0","10.38M","4.44%"
"11/07/2023","18,000.0","18,250.0","18,250.0","18,000.0","9.46M","-1.37%"
"11/06/2023","18,250.0","18,350.0","18,400.0","18,100.0","9.61M","-0.54%"
"11/03/2023","18,350.0","17,600.0","18,350.0","17,550.0","15.67M","4.26%"
"11/02/2023","17,600.0","17,300.0","17,600.0","17,150.0","9.04M","2.03%"
"11/01/2023","17,250.0","17,200.0","17,250.0","17,050.0","7.26M","0.29%"
"10/31/2023","17,200.0","17,450.0","17,450.0","17,000.0","7.87M","0.00%"
"10/30/2023","17,200.0","17,200.0","17,450.0","17,100.0","7.63M","-0.29%"
"10/27/2023","17,250.0","17,050.0","17,350.0","16,850.0","7.21M","1.47%"
"10/26/2023","17,000.0","17,350.0","17,400.0","16,550.0","5.93M","-2.86%"
"10/25/2023","17,500.0","17,550.0","17,600.0","17,300.0","7.66M","-0.28%"
"10/24/2023","17,550.0","17,500.0","17,600.0","17,250.0","7.78M","0.29%"
"10/23/2023","17,500.0","17,750.0","17,750.0","17,200.0","8.45M","-1.41%"
"10/20/2023","17,750.0","17,500.0","17,750.0","17,400.0","8.99M","1.43%"
"10/19/2023","17,500.0","17,500.0","17,550.0","17,350.0","7.93M","-0.28%"
"10/18/2023","17,550.0","17,600.0","17,650.0","17,350.0","8.17M","0.00%"
"10/17/2023","17,550.0","17,700.0","17,800.0","17,500.0","9.32M","0.86%"
"10/16/2023","17,400.0","17,550.0","17,650.0","17,350.0","7.67M","-1.14%"
"10/13/2023","17,600.0","17,450.0","17,600.0","17,300.0","8.26M","0.57%"
"10/12/2023","17,500.0","17,650.0","17,700.0","17,400.0","6.64M","-0.57%"
"10/11/2023","17,600.0","17,450.0","17,600.0","17,250.0","8.96M","1.15%"
"10/10/2023","17,400.0","17,150.0","17,500.0","17,100.0","7.85M","2.05%"
"10/09/2023","17,050.0","17,050.0","17,150.0","16,900.0","8.40M","-0.29%"
"10/06/2023","17,100.0","16,950.0","17,100.0","16,850.0","7.61M","0.88%"
"10/05/2023","16,950.0","17,100.0","17,150.0","16,850.0","9.32M","-0.88%"
"10/04/2023","17,100.0","17,050.0","17,100.0","16,850.0","9.19M","0.00%"
"10/03/2023","17,100.0","17,100.0","17,100.0","16,750.0","10.07M","0.00%"
"10/02/2023","17,100.0","17,350.0","17,450.0","17,100.0","7.12M","-1.44%"
