"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","6,700.0","6,800.0","6,800.0","6,670.0","4.87M","-1.18%"
"12/26/2023","6,780.0","6,580.0","6,780.0","6,520.0","5.98M","3.99%"
"12/25/2023","6,520.0","6,520.0","6,620.0","6,480.0","4.76M","0.31%"
"12/22/2023","6,500.0","6,650.0","6,740.0","6,400.0","5.51M","-2.26%"
"12/21/2023","6,650.0","6,440.0","6,650.0","6,300.0","4.71M","3.26%"
"12/20/2023","6,440.0","6,510.0","6,700.0","6,350.0","13.39M","-4.02%"
"12/19/2023","6,710.0","7,200.0","7,360.0","6,710.0","10.99M","-6.93%"
"12/18/2023","7,210.0","7,180.0","7,500.0","7,100.0","6.39M","0.84%"
"12/15/2023","7,150.0","7,100.0","7,250.0","7,040.0","6.30M","0.70%"
"12/14/2023","7,100.0","7,100.0","7,240.0","6,950.0","6.15M","2.31%"
"12/13/2023","6,940.0","7,130.0","7,280.0","6,930.0","9.20M","-2.80%"
"12/12/2023","7,140.0","7,440.0","7,450.0","7,100.0","8.39M","-4.16%"
"12/11/2023","7,450.0","7,210.0","7,450.0","7,090.0","9.32M","4.93%"
"12/08/2023","7,100.0","7,300.0","7,350.0","6,900.0","8.34M","-2.74%"
"12/07/2023","7,300.0","7,470.0","7,480.0","6,980.0","12.20M","-0.68%"
"12/06/2023","7,350.0","6,950.0","7,360.0","6,800.0","14.43M","6.52%"
"12/05/2023","6,900.0","7,000.0","7,010.0","6,790.0","12.59M","4.39%"
"12/04/2023","6,610.0","6,380.0","6,610.0","6,250.0","16.98M","6.96%"
"12/01/2023","6,180.0","6,210.0","6,460.0","6,120.0","10.55M","0.32%"
"11/30/2023","6,160.0","5,800.0","6,160.0","5,790.0","10.79M","6.94%"
"11/29/2023","5,760.0","5,800.0","5,810.0","5,720.0","2.95M","0.17%"
"11/28/2023","5,750.0","5,750.0","5,800.0","5,600.0","2.70M","0.00%"
"11/27/2023","5,750.0","5,790.0","5,860.0","5,750.0","3.93M","0.00%"
"11/24/2023","5,750.0","5,800.0","5,800.0","5,520.0","5.73M","0.00%"
"11/23/2023","5,750.0","5,900.0","5,990.0","5,750.0","6.65M","-1.88%"
"11/22/2023","5,860.0","5,830.0","5,920.0","5,800.0","5.31M","0.69%"
"11/21/2023","5,820.0","6,100.0","6,110.0","5,800.0","6.82M","-3.32%"
"11/20/2023","6,020.0","5,710.0","6,120.0","5,710.0","6.98M","1.52%"
"11/17/2023","5,930.0","5,650.0","5,940.0","5,650.0","18.49M","6.65%"
"11/16/2023","5,560.0","5,500.0","5,560.0","5,430.0","1.93M","1.28%"
"11/15/2023","5,490.0","5,520.0","5,730.0","5,450.0","4.69M","0.73%"
"11/14/2023","5,450.0","5,480.0","5,520.0","5,380.0","2.55M","0.00%"
"11/13/2023","5,450.0","5,500.0","5,510.0","5,370.0","2.89M","-0.37%"
"11/10/2023","5,470.0","5,520.0","5,570.0","5,400.0","4.51M","-1.26%"
"11/09/2023","5,540.0","5,450.0","5,550.0","5,330.0","6.13M","3.55%"
"11/08/2023","5,350.0","5,070.0","5,390.0","5,050.0","3.93M","5.31%"
"11/07/2023","5,080.0","5,120.0","5,160.0","5,020.0","1.84M","-0.97%"
"11/06/2023","5,130.0","5,170.0","5,240.0","5,070.0","1.68M","0.00%"
"11/03/2023","5,130.0","5,260.0","5,260.0","5,080.0","1.95M","-0.19%"
"11/02/2023","5,140.0","4,900.0","5,140.0","4,890.0","3.81M","6.86%"
"11/01/2023","4,810.0","4,800.0","4,840.0","4,650.0","3.10M","1.05%"
"10/31/2023","4,760.0","5,110.0","5,120.0","4,750.0","2.94M","-5.56%"
"10/30/2023","5,040.0","5,200.0","5,330.0","5,040.0","2.68M","-5.79%"
"10/27/2023","5,350.0","5,330.0","5,410.0","4,960.0","3.45M","1.13%"
"10/26/2023","5,290.0","5,700.0","5,710.0","5,280.0","7.34M","-6.70%"
"10/25/2023","5,670.0","5,620.0","5,710.0","5,600.0","2.40M","0.35%"
"10/24/2023","5,650.0","5,530.0","5,650.0","5,490.0","1.92M","2.54%"
"10/23/2023","5,510.0","5,650.0","5,680.0","5,510.0","2.08M","-2.48%"
"10/20/2023","5,650.0","5,510.0","5,690.0","5,380.0","3.41M","1.99%"
"10/19/2023","5,540.0","5,500.0","5,650.0","5,460.0","3.03M","2.03%"
"10/18/2023","5,430.0","5,800.0","5,870.0","5,400.0","7.73M","-5.57%"
"10/17/2023","5,750.0","6,150.0","6,170.0","5,750.0","4.67M","-5.43%"
"10/16/2023","6,080.0","6,250.0","6,400.0","6,080.0","8.58M","-2.09%"
"10/13/2023","6,210.0","6,100.0","6,250.0","6,020.0","4.56M","0.98%"
