"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","3,400.0","3,380.0","3,450.0","3,380.0","298.20K","0.59%"
"12/26/2023","3,380.0","3,370.0","3,400.0","3,360.0","177.00K","0.60%"
"12/25/2023","3,360.0","3,380.0","3,430.0","3,350.0","272.40K","0.00%"
"12/22/2023","3,360.0","3,330.0","3,390.0","3,330.0","193.50K","0.90%"
"12/21/2023","3,330.0","3,360.0","3,380.0","3,300.0","224.50K","-1.77%"
"12/20/2023","3,390.0","3,350.0","3,400.0","3,350.0","131.90K","0.89%"
"12/19/2023","3,360.0","3,500.0","3,500.0","3,350.0","612.60K","-2.89%"
"12/18/2023","3,460.0","3,450.0","3,550.0","3,360.0","775.20K","2.98%"
"12/15/2023","3,360.0","3,430.0","3,440.0","3,360.0","385.80K","-1.18%"
"12/14/2023","3,400.0","3,430.0","3,460.0","3,400.0","239.30K","-0.87%"
"12/13/2023","3,430.0","3,480.0","3,490.0","3,420.0","722.90K","0.29%"
"12/12/2023","3,420.0","3,400.0","3,470.0","3,360.0","442.80K","0.59%"
"12/11/2023","3,400.0","3,500.0","3,500.0","3,360.0","460.00K","0.29%"
"12/08/2023","3,390.0","3,410.0","3,450.0","3,360.0","451.10K","0.00%"
"12/07/2023","3,390.0","3,400.0","3,430.0","3,340.0","804.70K","0.59%"
"12/06/2023","3,370.0","3,270.0","3,380.0","3,260.0","601.10K","3.06%"
"12/05/2023","3,270.0","3,300.0","3,320.0","3,250.0","446.50K","0.31%"
"12/04/2023","3,260.0","3,250.0","3,280.0","3,220.0","353.80K","1.88%"
"12/01/2023","3,200.0","3,200.0","3,240.0","3,180.0","649.50K","0.31%"
"11/30/2023","3,190.0","3,270.0","3,270.0","3,190.0","324.50K","-1.85%"
"11/29/2023","3,250.0","3,240.0","3,300.0","3,220.0","187.60K","0.31%"
"11/28/2023","3,240.0","3,250.0","3,250.0","3,170.0","248.10K","-0.31%"
"11/27/2023","3,250.0","3,330.0","3,350.0","3,250.0","661.60K","-2.40%"
"11/24/2023","3,330.0","3,350.0","3,350.0","3,220.0","617.20K","-0.60%"
"11/23/2023","3,350.0","3,360.0","3,440.0","3,340.0","847.60K","0.00%"
"11/22/2023","3,350.0","3,340.0","3,360.0","3,300.0","322.10K","0.60%"
"11/21/2023","3,330.0","3,310.0","3,400.0","3,300.0","326.70K","0.91%"
"11/20/2023","3,300.0","3,300.0","3,330.0","3,280.0","378.30K","-1.20%"
"11/17/2023","3,340.0","3,300.0","3,450.0","3,300.0","984.20K","1.21%"
"11/16/2023","3,300.0","3,330.0","3,330.0","3,280.0","211.40K","0.00%"
"11/15/2023","3,300.0","3,290.0","3,330.0","3,280.0","649.00K","1.54%"
"11/14/2023","3,250.0","3,280.0","3,280.0","3,230.0","149.80K","0.62%"
"11/13/2023","3,230.0","3,240.0","3,260.0","3,200.0","387.50K","0.00%"
"11/10/2023","3,230.0","3,280.0","3,290.0","3,200.0","354.70K","-1.52%"
"11/09/2023","3,280.0","3,280.0","3,350.0","3,250.0","708.70K","1.23%"
"11/08/2023","3,240.0","3,200.0","3,270.0","3,160.0","297.50K","2.21%"
"11/07/2023","3,170.0","3,210.0","3,250.0","3,160.0","419.30K","-2.16%"
"11/06/2023","3,240.0","3,360.0","3,390.0","3,200.0","321.40K","1.89%"
"11/03/2023","3,180.0","3,250.0","3,250.0","3,110.0","330.70K","0.63%"
"11/02/2023","3,160.0","3,010.0","3,160.0","3,000.0","627.20K","6.76%"
"11/01/2023","2,960.0","2,950.0","2,990.0","2,850.0","452.80K","0.34%"
