"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","5,350.0","5,260.0","5,400.0","5,260.0","238.20K","0.94%"
"12/26/2023","5,300.0","5,250.0","5,380.0","5,250.0","272.50K","1.15%"
"12/25/2023","5,240.0","5,300.0","5,300.0","5,210.0","253.70K","0.19%"
"12/22/2023","5,230.0","5,230.0","5,330.0","5,170.0","341.80K","-0.38%"
"12/21/2023","5,250.0","5,420.0","5,420.0","5,210.0","537.70K","-3.14%"
"12/20/2023","5,420.0","5,470.0","5,520.0","5,420.0","371.50K","-0.91%"
"12/19/2023","5,470.0","5,450.0","5,680.0","5,420.0","754.90K","1.11%"
"12/18/2023","5,410.0","5,420.0","5,540.0","5,390.0","860.10K","-0.37%"
"12/15/2023","5,430.0","5,620.0","5,670.0","5,430.0","564.90K","-4.23%"
"12/14/2023","5,670.0","5,950.0","6,000.0","5,600.0","1.67M","-3.08%"
"12/13/2023","5,850.0","5,850.0","5,850.0","5,700.0","2.11M","6.95%"
"12/12/2023","5,470.0","5,100.0","5,470.0","5,090.0","853.10K","6.84%"
"12/11/2023","5,120.0","5,170.0","5,170.0","5,080.0","287.60K","-0.58%"
"12/08/2023","5,150.0","5,150.0","5,180.0","5,100.0","231.70K","0.00%"
"12/07/2023","5,150.0","5,200.0","5,290.0","5,080.0","643.40K","0.19%"
"12/06/2023","5,140.0","5,100.0","5,280.0","5,080.0","419.80K","0.59%"
"12/05/2023","5,110.0","5,190.0","5,190.0","5,100.0","335.80K","-0.58%"
"12/04/2023","5,140.0","5,060.0","5,210.0","5,060.0","681.90K","1.78%"
"12/01/2023","5,050.0","5,090.0","5,190.0","5,030.0","393.90K","-0.79%"
"11/30/2023","5,090.0","5,010.0","5,200.0","5,010.0","296.10K","-2.12%"
"11/29/2023","5,200.0","5,200.0","5,250.0","5,150.0","198.20K","0.58%"
"11/28/2023","5,170.0","5,130.0","5,170.0","5,000.0","672.40K","0.78%"
"11/27/2023","5,130.0","5,250.0","5,250.0","5,120.0","197.20K","-1.54%"
"11/24/2023","5,210.0","5,350.0","5,360.0","5,050.0","593.00K","-2.80%"
"11/23/2023","5,360.0","5,330.0","5,440.0","5,330.0","600.50K","0.56%"
"11/22/2023","5,330.0","5,410.0","5,410.0","5,280.0","348.00K","-1.11%"
"11/21/2023","5,390.0","5,200.0","5,460.0","5,200.0","794.90K","4.66%"
"11/20/2023","5,150.0","5,100.0","5,260.0","5,090.0","580.50K","-2.46%"
"11/17/2023","5,280.0","4,940.0","5,280.0","4,940.0","2.14M","6.88%"
"11/16/2023","4,940.0","4,900.0","4,940.0","4,880.0","274.20K","0.41%"
"11/15/2023","4,920.0","5,000.0","5,010.0","4,880.0","414.90K","1.03%"
"11/14/2023","4,870.0","4,860.0","5,100.0","4,850.0","418.50K","1.04%"
