"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","67,000","66,200","67,900","66,000","2.87M","1.21%"
"12/26/2023","66,200","66,900","66,900","65,600","2.68M","-0.30%"
"12/25/2023","66,400","63,200","66,500","63,200","3.23M","5.40%"
"12/22/2023","63,000","64,000","64,200","63,000","2.19M","-1.10%"
"12/21/2023","63,700","63,000","64,400","63,000","1.38M","-0.31%"
"12/20/2023","63,900","62,800","64,000","62,500","1.63M","2.73%"
"12/19/2023","62,200","62,900","63,500","61,800","2.06M","-1.11%"
"12/18/2023","62,900","63,200","63,800","62,600","1.64M","-0.16%"
"12/15/2023","63,000","65,000","65,000","63,000","4.21M","-3.08%"
"12/14/2023","65,000","66,300","66,500","64,800","1.75M","-1.22%"
"12/13/2023","65,800","66,500","67,400","65,700","2.73M","-0.60%"
"12/12/2023","66,200","67,700","67,700","65,700","3.13M","-1.93%"
"12/11/2023","67,500","66,800","68,000","66,700","2.89M","1.96%"
"12/08/2023","66,200","63,500","66,900","63,500","5.42M","4.25%"
"12/07/2023","63,500","62,200","64,200","62,100","3.98M","2.25%"
"12/06/2023","62,100","61,400","62,300","61,400","1.53M","1.14%"
"12/05/2023","61,400","62,300","62,400","61,400","1.43M","-1.29%"
"12/04/2023","62,200","61,500","63,000","61,500","1.30M","1.14%"
"12/01/2023","61,500","61,000","61,800","60,800","1.08M","1.65%"
"11/30/2023","60,500","62,200","62,900","60,500","2.26M","-3.82%"
"11/29/2023","62,900","61,500","63,000","61,500","1.60M","2.61%"
"11/28/2023","61,300","60,900","61,800","59,900","1.18M","0.66%"
"11/27/2023","60,900","62,000","62,300","60,900","1.25M","-1.46%"
"11/24/2023","61,800","63,400","63,500","60,600","2.09M","-2.37%"
"11/23/2023","63,300","65,500","65,500","63,300","1.59M","-2.47%"
"11/22/2023","64,900","64,700","65,500","63,600","1.76M","0.46%"
"11/21/2023","64,600","64,900","64,900","63,600","1.39M","1.57%"
"11/20/2023","63,600","62,700","65,000","62,700","1.34M","-0.78%"
"11/17/2023","64,100","66,700","67,000","63,400","2.89M","-2.88%"
"11/16/2023","66,000","66,800","66,900","65,400","1.45M","0.30%"
"11/15/2023","65,800","63,600","66,900","63,500","3.87M","5.11%"
"11/14/2023","62,600","62,200","62,800","61,600","1.53M","0.97%"
"11/13/2023","62,000","62,000","62,900","61,000","1.20M","0.49%"
"11/10/2023","61,700","62,000","63,400","61,700","1.58M","-1.75%"
"11/09/2023","62,800","63,900","64,500","62,700","1.62M","-1.57%"
"11/08/2023","63,800","62,000","63,900","60,500","2.10M","2.90%"
"11/07/2023","62,000","64,000","64,000","62,000","1.58M","-3.13%"
"11/06/2023","64,000","64,000","64,600","63,000","1.13M","0.16%"
"11/03/2023","63,900","63,000","63,900","61,700","1.62M","1.91%"
"11/02/2023","62,700","60,500","62,800","59,800","1.57M","5.38%"
"11/01/2023","59,500","58,200","59,500","57,000","1.81M","2.23%"
"10/31/2023","58,200","59,000","59,000","56,000","2.91M","0.34%"
"10/30/2023","58,000","56,000","59,200","56,000","2.16M","0.35%"
"10/27/2023","57,800","62,000","62,000","57,200","4.38M","-5.86%"
"10/26/2023","61,400","64,800","64,800","61,400","3.59M","-6.97%"
"10/25/2023","66,000","67,000","67,500","66,000","1.39M","-1.35%"
"10/24/2023","66,900","66,200","67,300","64,900","1.64M","1.36%"
"10/23/2023","66,000","68,000","68,100","65,800","2.13M","-4.35%"
"10/20/2023","69,000","66,400","69,000","65,900","1.88M","3.92%"
"10/19/2023","66,400","68,300","68,400","65,900","2.41M","-2.78%"
"10/18/2023","68,300","71,000","71,500","67,500","1.88M","-3.80%"
"10/17/2023","71,000","72,000","72,300","71,000","727.50K","-0.84%"
"10/16/2023","71,600","72,500","72,500","71,600","1.00M","-1.51%"
"10/13/2023","72,700","72,500","73,500","71,600","1.24M","-0.55%"
"10/12/2023","73,100","74,000","74,100","73,000","1.06M","-0.95%"
"10/11/2023","73,800","73,500","73,800","72,200","909.70K","0.82%"
"10/10/2023","73,200","74,000","74,300","73,200","926.50K","-0.41%"
"10/09/2023","73,500","72,200","74,000","72,100","854.30K","1.10%"
"10/06/2023","72,700","72,700","72,900","71,000","2.31M","-0.14%"
"10/05/2023","72,800","73,600","74,800","72,800","877.90K","-0.95%"
"10/04/2023","73,500","73,000","75,000","72,800","1.45M","-0.68%"
"10/03/2023","74,000","77,400","77,400","74,000","2.19M","-4.39%"
"10/02/2023","77,400","76,200","78,700","76,000","2.72M","1.44%"
"09/29/2023","76,300","76,500","76,500","75,200","1.28M","-0.26%"
"09/28/2023","76,500","74,500","77,000","73,100","1.70M","0.66%"
"09/27/2023","76,000","73,000","76,000","72,600","2.16M","4.11%"
"09/26/2023","73,000","70,300","74,900","70,300","2.27M","3.84%"
"09/25/2023","70,300","75,000","75,400","70,300","3.40M","-6.76%"
"09/22/2023","75,400","77,400","78,000","75,400","2.28M","-4.31%"
"09/21/2023","78,800","79,500","80,100","78,500","1.49M","-1.13%"
"09/20/2023","79,700","78,800","79,800","78,700","2.34M","0.89%"
"09/19/2023","79,000","78,300","79,400","78,000","1.12M","0.64%"
"09/18/2023","78,500","79,700","79,700","78,100","1.01M","-1.51%"
"09/15/2023","79,700","78,800","80,700","78,400","2.31M","1.40%"
"09/14/2023","78,600","80,400","80,400","78,300","1.81M","-1.87%"
"09/13/2023","80,100","81,000","81,400","79,900","1.62M","-1.11%"
"09/12/2023","81,000","80,000","81,000","79,300","1.51M","1.76%"
"09/11/2023","79,600","82,100","82,400","79,600","3.01M","-2.69%"
"09/08/2023","81,800","82,100","83,500","81,800","3.06M","-0.24%"
"09/07/2023","82,000","83,500","83,900","82,000","2.10M","-0.85%"
"09/06/2023","82,700","81,500","82,700","80,800","1.83M","1.47%"
"09/05/2023","81,500","82,300","82,400","81,300","1.43M","0.00%"
"08/31/2023","81,500","80,000","81,700","79,500","2.55M","2.39%"
"08/30/2023","79,600","80,000","80,100","79,300","1.58M","-0.50%"
"08/29/2023","80,000","81,200","81,400","79,800","1.73M","-0.87%"
"08/28/2023","80,700","79,700","80,800","79,500","1.10M","1.25%"
"08/25/2023","79,700","80,000","80,500","79,200","1.18M","-0.38%"
"08/24/2023","80,000","77,300","80,000","77,300","1.76M","3.23%"
"08/23/2023","77,500","78,000","78,600","77,000","1.46M","-0.26%"
"08/22/2023","77,700","78,500","78,900","76,300","1.85M","-0.89%"
"08/21/2023","78,400","78,300","79,800","78,300","2.25M","-0.76%"
"08/18/2023","79,000","82,100","82,400","78,500","3.56M","-3.78%"
"08/17/2023","82,100","81,800","82,800","81,400","1.89M","0.37%"
"08/16/2023","81,800","82,300","82,400","81,200","1.87M","-0.73%"
"08/15/2023","82,400","82,500","83,800","81,400","2.24M","0.24%"
"08/14/2023","82,200","84,500","84,500","82,200","2.72M","-2.72%"
"08/11/2023","84,500","82,800","85,000","82,500","2.07M","1.81%"
"08/10/2023","83,000","87,300","87,900","83,000","4.72M","-5.68%"
"08/09/2023","88,000","89,000","89,000","87,800","2.42M","-1.35%"
"08/08/2023","89,200","89,300","89,400","87,900","2.45M","1.13%"
"08/07/2023","88,200","86,700","88,200","86,000","2.41M","2.20%"
"08/04/2023","86,300","86,300","86,700","85,700","2.04M","0.23%"
"08/03/2023","86,100","85,500","86,600","85,200","1.88M","1.06%"
"08/02/2023","85,200","86,400","86,400","85,100","2.26M","-1.73%"
"08/01/2023","86,700","87,600","87,600","86,400","1.84M","-0.69%"
"07/31/2023","87,300","87,000","88,200","86,800","2.58M","1.39%"
"07/28/2023","86,100","84,200","86,200","84,000","2.24M","2.26%"
"07/27/2023","84,200","84,500","84,700","84,000","1.85M","-0.47%"
"07/26/2023","84,600","83,400","85,200","83,200","1.72M","1.44%"
"07/25/2023","83,400","84,100","84,500","83,000","1.94M","-0.71%"
"07/24/2023","84,000","84,600","84,700","83,200","2.68M","1.20%"
"07/21/2023","83,000","79,500","83,000","79,500","2.08M","4.40%"
"07/20/2023","79,500","80,900","80,900","79,100","2.34M","-1.61%"
"07/19/2023","80,800","80,600","81,300","80,500","1.37M","0.37%"
"07/18/2023","80,500","80,600","81,300","80,200","1.27M","-0.25%"
"07/17/2023","80,700","81,800","81,800","80,500","1.45M","-1.34%"
"07/14/2023","81,800","82,000","82,700","80,700","1.69M","0.00%"
"07/13/2023","81,800","79,600","81,900","79,500","2.67M","2.89%"
"07/12/2023","79,500","80,100","80,100","79,000","1.61M","0.38%"
"07/11/2023","79,200","78,100","80,100","78,100","2.85M","1.67%"
"07/10/2023","77,900","75,400","77,900","75,400","2.35M","3.59%"
"07/07/2023","75,200","76,200","76,200","75,200","1.42M","-1.05%"
"07/06/2023","76,000","75,500","76,100","75,500","964.10K","0.26%"
"07/05/2023","75,800","75,900","76,300","75,500","1.40M","0.26%"
"07/04/2023","75,600","75,400","75,900","75,300","823.20K","0.27%"
"07/03/2023","75,400","75,200","76,000","75,200","646.20K","0.27%"
"06/30/2023","75,200","75,400","76,200","75,200","866.60K","-0.27%"
"06/29/2023","75,400","76,800","76,800","75,400","1.15M","-2.08%"
"06/28/2023","77,000","77,900","77,900","76,700","691.70K","-0.90%"
"06/27/2023","77,700","77,800","78,000","76,900","685.50K","0.00%"
"06/26/2023","77,700","78,000","79,000","77,000","981.30K","0.52%"
"06/23/2023","77,300","76,100","77,800","75,700","1.60M","1.31%"
"06/22/2023","76,300","76,100","76,500","75,800","850.90K","0.26%"
"06/21/2023","76,100","75,100","76,200","74,600","1.02M","1.20%"
"06/20/2023","75,200","74,300","75,300","74,300","605.60K","0.94%"
"06/19/2023","74,500","76,500","76,500","74,500","1.15M","-2.74%"
"06/16/2023","76,600","77,500","77,600","75,400","2.12M","-0.65%"
"06/15/2023","77,100","78,000","78,100","76,700","1.22M","-1.15%"
"06/14/2023","78,000","78,800","79,400","77,800","2.34M","-1.02%"
"06/13/2023","78,800","78,600","78,800","77,900","1.70M","0.51%"
"06/12/2023","78,400","77,000","78,400","76,600","2.60M","2.48%"
"06/09/2023","76,500","75,000","76,900","74,200","2.41M","2.82%"
"06/08/2023","74,400","76,300","76,400","74,300","1.25M","-1.46%"
"06/07/2023","75,500","74,200","75,700","73,500","2.30M","2.58%"
"06/06/2023","73,600","74,000","74,600","73,500","1.27M","-0.67%"
"06/05/2023","74,100","73,000","74,700","72,800","2.01M","2.49%"
"06/02/2023","72,300","72,000","72,700","71,800","936.10K","0.70%"
"06/01/2023","71,800","72,000","72,200","71,500","326.40K","-0.28%"
"05/31/2023","72,000","72,900","73,500","72,000","718.50K","-1.10%"
"05/30/2023","72,800","71,600","73,200","71,600","946.70K","1.68%"
"05/29/2023","71,600","72,100","72,200","71,400","483.80K","-0.56%"
"05/26/2023","72,000","71,800","72,100","71,400","757.50K","0.00%"
"05/25/2023","72,000","71,800","72,500","70,800","740.00K","0.28%"
"05/24/2023","71,800","70,900","71,900","70,000","951.30K","1.99%"
"05/23/2023","70,400","72,000","72,000","70,200","2.30M","-2.22%"
"05/22/2023","72,000","71,400","72,500","71,400","809.50K","-0.55%"
"05/19/2023","72,400","73,200","73,200","71,600","760.30K","-1.09%"
"05/18/2023","73,200","73,200","73,800","72,700","994.70K","0.14%"
"05/17/2023","73,100","73,300","74,000","73,000","645.60K","-0.27%"
"05/16/2023","73,300","74,100","74,200","73,200","384.40K","-1.08%"
"05/15/2023","74,100","74,400","75,200","74,100","718.70K","-0.40%"
"05/12/2023","74,400","73,300","74,500","73,300","431.70K","0.81%"
"05/11/2023","73,800","73,700","74,300","73,300","454.10K","0.27%"
"05/10/2023","73,600","74,000","75,000","73,600","749.90K","0.00%"
"05/09/2023","73,600","74,100","74,600","73,400","646.90K","-0.67%"
"05/08/2023","74,100","73,500","75,200","73,100","1.04M","1.51%"
"05/05/2023","73,000","70,600","73,100","70,500","950.00K","3.40%"
"05/04/2023","70,600","72,800","72,800","70,600","824.10K","-3.42%"
"04/28/2023","73,100","72,700","73,200","72,300","612.10K","1.11%"
"04/27/2023","72,300","71,700","72,900","71,300","466.30K","1.26%"
"04/26/2023","71,400","71,300","71,900","70,500","1.17M","0.14%"
"04/25/2023","71,300","73,900","73,900","71,100","1.02M","-2.73%"
"04/24/2023","73,300","76,600","76,600","73,300","1.59M","-4.06%"
"04/21/2023","76,400","78,000","78,100","76,200","1.13M","-2.05%"
"04/20/2023","78,000","79,000","79,100","77,700","754.80K","-0.89%"
"04/19/2023","78,700","78,200","79,800","78,000","1.24M","0.64%"
"04/18/2023","78,200","78,200","78,500","77,800","536.30K","0.13%"
"04/17/2023","78,100","78,000","78,200","77,200","912.50K","0.00%"
"04/14/2023","78,100","79,300","79,900","78,100","1.42M","-1.39%"
"04/13/2023","79,200","80,000","80,500","79,200","1.22M","-0.38%"
"04/12/2023","79,500","77,900","80,200","77,900","1.60M","2.05%"
"04/11/2023","77,900","77,600","78,000","77,200","753.70K","0.91%"
"04/10/2023","77,200","77,700","78,100","77,100","863.30K","-0.52%"
"04/07/2023","77,600","77,000","77,900","76,900","611.10K","0.78%"
"04/06/2023","77,000","78,100","78,400","77,000","1.05M","-1.79%"
"04/05/2023","78,400","78,700","79,200","77,600","835.00K","0.00%"
"04/04/2023","78,400","76,900","78,600","76,900","1.32M","2.08%"
"04/03/2023","76,800","78,800","78,800","76,800","1.65M","-1.29%"
"03/31/2023","77,800","79,200","79,400","77,800","1.34M","-1.77%"
"03/30/2023","79,200","79,300","79,600","78,500","1.11M","0.51%"
"03/29/2023","78,800","77,600","78,800","76,800","1.18M","1.55%"
"03/28/2023","77,600","77,500","77,800","76,800","1.76M","1.17%"
"03/27/2023","76,700","78,200","78,200","76,200","1.64M","-1.67%"
"03/24/2023","78,000","79,000","79,000","77,700","1.37M","-1.27%"
"03/23/2023","79,000","79,700","79,700","78,500","1.50M","-1.86%"
"03/22/2023","80,500","80,200","80,600","78,200","2.04M","0.50%"
"03/21/2023","80,100","81,500","83,200","79,000","1.06M","-1.72%"
"03/20/2023","81,500","82,600","82,800","79,400","1.33M","-2.40%"
"03/17/2023","83,500","83,800","84,000","82,700","1.17M","-0.36%"
"03/16/2023","83,800","84,700","84,700","82,000","897.90K","-1.06%"
"03/15/2023","84,700","83,700","85,100","83,600","1.11M","1.32%"
