"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","7,060.0","7,100.0","7,140.0","7,050.0","434.80K","-0.56%"
"12/26/2023","7,100.0","7,110.0","7,140.0","7,050.0","259.40K","0.14%"
"12/25/2023","7,090.0","7,150.0","7,150.0","7,050.0","265.20K","0.14%"
"12/22/2023","7,080.0","7,100.0","7,250.0","7,050.0","273.50K","-0.42%"
"12/21/2023","7,110.0","7,150.0","7,150.0","7,030.0","172.90K","0.14%"
"12/20/2023","7,100.0","7,120.0","7,140.0","7,070.0","198.40K","-0.14%"
"12/19/2023","7,110.0","7,100.0","7,210.0","7,010.0","285.00K","0.00%"
"12/18/2023","7,110.0","7,050.0","7,300.0","7,000.0","430.20K","0.85%"
"12/15/2023","7,050.0","7,020.0","7,130.0","6,990.0","343.30K","-0.14%"
"12/14/2023","7,060.0","7,270.0","7,270.0","7,060.0","330.70K","-1.12%"
"12/13/2023","7,140.0","7,390.0","7,390.0","7,140.0","813.30K","-1.52%"
"12/12/2023","7,250.0","7,170.0","7,270.0","7,160.0","531.60K","1.12%"
"12/11/2023","7,170.0","7,400.0","7,400.0","7,150.0","294.80K","-1.51%"
"12/08/2023","7,280.0","7,380.0","7,400.0","7,110.0","596.90K","-1.36%"
"12/07/2023","7,380.0","7,280.0","7,500.0","7,230.0","1.36M","1.93%"
"12/06/2023","7,240.0","7,000.0","7,300.0","7,000.0","1.14M","3.43%"
"12/05/2023","7,000.0","7,080.0","7,080.0","6,930.0","274.80K","0.00%"
"12/04/2023","7,000.0","6,940.0","7,050.0","6,900.0","620.10K","1.45%"
"12/01/2023","6,900.0","6,900.0","6,950.0","6,850.0","318.90K","-0.72%"
"11/30/2023","6,950.0","6,910.0","7,040.0","6,890.0","304.70K","-0.29%"
"11/29/2023","6,970.0","7,150.0","7,150.0","6,920.0","379.70K","2.50%"
"11/28/2023","6,800.0","6,820.0","6,850.0","6,740.0","227.60K","0.00%"
"11/27/2023","6,800.0","6,790.0","6,940.0","6,790.0","233.40K","0.15%"
"11/24/2023","6,790.0","7,060.0","7,060.0","6,700.0","889.90K","-3.69%"
"11/23/2023","7,050.0","7,170.0","7,220.0","7,050.0","652.00K","-1.67%"
"11/22/2023","7,170.0","7,110.0","7,200.0","7,100.0","341.30K","0.84%"
"11/21/2023","7,110.0","7,140.0","7,290.0","7,090.0","434.30K","0.28%"
"11/20/2023","7,090.0","7,020.0","7,190.0","7,020.0","346.40K","-1.39%"
"11/17/2023","7,190.0","7,250.0","7,500.0","7,170.0","1.37M","0.28%"
"11/16/2023","7,170.0","7,000.0","7,180.0","7,000.0","309.50K","1.70%"
"11/15/2023","7,050.0","7,310.0","7,360.0","7,030.0","418.60K","0.00%"
"11/14/2023","7,050.0","7,200.0","7,280.0","7,000.0","678.70K","-2.08%"
"11/13/2023","7,200.0","7,290.0","7,290.0","7,150.0","369.70K","0.00%"
"11/10/2023","7,200.0","7,300.0","7,300.0","7,180.0","543.40K","-1.50%"
"11/09/2023","7,310.0","7,400.0","7,520.0","7,260.0","744.00K","-0.95%"
"11/08/2023","7,380.0","7,280.0","7,380.0","7,050.0","808.30K","2.50%"
"11/07/2023","7,200.0","7,170.0","7,310.0","7,160.0","490.40K","0.56%"
