"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","85,300.0","85,400.0","85,800.0","85,200.0","1.17M","-0.35%"
"12/26/2023","85,600.0","84,600.0","86,000.0","83,800.0","1.60M","1.30%"
"12/25/2023","84,500.0","84,000.0","85,200.0","83,800.0","1.40M","0.84%"
"12/22/2023","83,800.0","84,000.0","84,000.0","83,200.0","1.34M","-0.12%"
"12/21/2023","83,900.0","80,500.0","84,300.0","80,400.0","3.60M","4.48%"
"12/20/2023","80,300.0","79,400.0","80,400.0","78,800.0","1.11M","1.13%"
"12/19/2023","79,400.0","79,500.0","79,600.0","78,200.0","483.60K","-0.13%"
"12/18/2023","79,500.0","79,100.0","79,500.0","78,500.0","488.00K","0.38%"
"12/15/2023","79,200.0","79,600.0","79,700.0","78,800.0","610.60K","-0.50%"
"12/14/2023","79,600.0","80,500.0","80,700.0","79,500.0","619.80K","-1.00%"
"12/13/2023","80,400.0","80,300.0","81,500.0","80,200.0","1.34M","0.12%"
"12/12/2023","80,300.0","80,500.0","80,500.0","79,800.0","535.10K","0.38%"
"12/11/2023","80,000.0","78,600.0","80,200.0","78,600.0","1.01M","1.78%"
"12/08/2023","78,600.0","78,700.0","79,500.0","78,100.0","548.70K","0.13%"
"12/07/2023","78,500.0","80,500.0","80,500.0","78,500.0","762.90K","-2.00%"
"12/06/2023","80,100.0","79,700.0","80,300.0","79,400.0","541.30K","0.13%"
"12/05/2023","80,000.0","80,700.0","80,800.0","80,000.0","769.30K","-0.62%"
"12/04/2023","80,500.0","81,200.0","81,400.0","80,100.0","864.20K","0.25%"
"12/01/2023","80,300.0","80,500.0","80,600.0","80,000.0","298.70K","-0.25%"
"11/30/2023","80,500.0","79,600.0","81,200.0","79,600.0","569.30K","0.75%"
"11/29/2023","79,900.0","79,800.0","80,300.0","79,000.0","571.10K","1.01%"
"11/28/2023","79,100.0","78,600.0","79,600.0","78,400.0","337.10K","-0.50%"
"11/27/2023","79,500.0","80,600.0","80,600.0","79,500.0","446.20K","-1.12%"
"11/24/2023","80,400.0","80,500.0","81,000.0","79,500.0","611.80K","-0.50%"
"11/23/2023","80,800.0","81,300.0","82,100.0","80,500.0","1.19M","-0.49%"
"11/22/2023","81,200.0","80,700.0","81,400.0","80,600.0","641.70K","0.12%"
"11/21/2023","81,100.0","79,700.0","81,200.0","79,500.0","1.01M","2.66%"
"11/20/2023","79,000.0","78,600.0","79,700.0","78,300.0","668.70K","0.13%"
"11/17/2023","78,900.0","78,000.0","79,400.0","77,900.0","892.00K","1.15%"
"11/16/2023","78,000.0","78,100.0","78,500.0","77,800.0","151.40K","-0.38%"
"11/15/2023","78,300.0","79,000.0","79,300.0","78,000.0","204.50K","0.26%"
"11/14/2023","78,100.0","76,200.0","78,300.0","76,200.0","475.50K","2.63%"
"11/13/2023","76,100.0","76,000.0","76,500.0","75,900.0","157.10K","0.13%"
"11/10/2023","76,000.0","76,000.0","76,600.0","75,700.0","228.70K","-0.65%"
"11/09/2023","76,500.0","77,000.0","77,500.0","76,200.0","433.30K","-0.65%"
"11/08/2023","77,000.0","75,800.0","77,400.0","74,800.0","408.60K","1.45%"
"11/07/2023","75,900.0","76,900.0","76,900.0","75,400.0","231.10K","-0.91%"
"11/06/2023","76,600.0","74,000.0","76,800.0","74,000.0","544.60K","3.79%"
"11/03/2023","73,800.0","74,800.0","74,900.0","73,800.0","1.75M","0.00%"
"11/02/2023","73,800.0","72,200.0","74,000.0","72,200.0","374.10K","2.50%"
"11/01/2023","72,000.0","71,500.0","72,100.0","71,100.0","293.50K","0.00%"
"10/31/2023","72,000.0","73,000.0","73,000.0","71,500.0","481.10K","-1.23%"
"10/30/2023","72,900.0","73,600.0","73,600.0","72,600.0","218.30K","-0.95%"
"10/27/2023","73,600.0","73,800.0","74,000.0","72,600.0","343.60K","-0.54%"
"10/26/2023","74,000.0","74,000.0","74,000.0","72,000.0","904.70K","-0.40%"
"10/25/2023","74,300.0","74,800.0","75,600.0","74,300.0","353.80K","-0.67%"
"10/24/2023","74,800.0","74,800.0","75,000.0","74,000.0","282.70K","0.67%"
"10/23/2023","74,300.0","75,900.0","75,900.0","74,300.0","421.00K","-1.46%"
"10/20/2023","75,400.0","75,500.0","76,500.0","75,000.0","265.30K","-0.66%"
"10/19/2023","75,900.0","77,000.0","77,600.0","75,900.0","569.30K","-1.43%"
"10/18/2023","77,000.0","79,000.0","79,000.0","75,500.0","640.50K","-2.65%"
"10/17/2023","79,100.0","80,000.0","80,100.0","79,100.0","216.10K","-1.00%"
"10/16/2023","79,900.0","80,600.0","80,600.0","79,400.0","520.20K","0.13%"
"10/13/2023","79,800.0","80,000.0","80,400.0","79,300.0","286.70K","-0.25%"
"10/12/2023","80,000.0","80,600.0","81,200.0","80,000.0","315.40K","-0.37%"
"10/11/2023","80,300.0","80,100.0","80,300.0","79,800.0","300.50K","1.01%"
"10/10/2023","79,500.0","81,000.0","81,400.0","79,300.0","473.70K","-0.63%"
"10/09/2023","80,000.0","79,000.0","80,400.0","78,100.0","560.60K","2.56%"
"10/06/2023","78,000.0","78,200.0","78,200.0","77,500.0","195.30K","0.26%"
"10/05/2023","77,800.0","78,200.0","78,400.0","77,700.0","155.70K","0.26%"
"10/04/2023","77,600.0","77,400.0","78,000.0","77,100.0","332.80K","0.13%"
"10/03/2023","77,500.0","79,400.0","79,400.0","77,500.0","442.20K","-1.77%"
"10/02/2023","78,900.0","78,800.0","80,500.0","78,500.0","270.90K","0.13%"
