"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","59,000.0","59,600.0","60,700.0","59,000.0","178.30K","-0.51%"
"12/26/2023","59,300.0","60,500.0","60,800.0","59,300.0","276.30K","-1.82%"
"12/25/2023","60,400.0","59,000.0","61,300.0","58,700.0","395.90K","3.25%"
"12/22/2023","58,500.0","58,700.0","58,700.0","57,800.0","42.70K","0.52%"
"12/21/2023","58,200.0","57,700.0","58,600.0","57,200.0","82.90K","0.87%"
"12/20/2023","57,700.0","57,300.0","58,000.0","57,300.0","21.90K","0.00%"
"12/19/2023","57,700.0","57,800.0","58,000.0","57,500.0","28.20K","0.00%"
"12/18/2023","57,700.0","58,100.0","58,700.0","57,700.0","92.10K","-0.52%"
"12/15/2023","58,000.0","57,600.0","58,000.0","57,300.0","56.40K","0.69%"
"12/14/2023","57,600.0","58,600.0","58,600.0","57,600.0","180.30K","-1.20%"
"12/13/2023","58,300.0","58,200.0","58,800.0","57,500.0","481.80K","0.17%"
"12/12/2023","58,200.0","57,500.0","58,700.0","57,400.0","840.60K","1.04%"
"12/11/2023","57,600.0","58,400.0","58,400.0","57,600.0","46.30K","-1.37%"
"12/08/2023","58,400.0","58,800.0","59,200.0","57,700.0","92.90K","-0.85%"
"12/07/2023","58,900.0","58,800.0","59,200.0","57,500.0","600.50K","-0.17%"
"12/06/2023","59,000.0","58,600.0","59,000.0","58,100.0","113.40K","0.68%"
"12/05/2023","58,600.0","58,000.0","58,600.0","57,700.0","415.70K","1.56%"
"12/04/2023","57,700.0","57,300.0","58,200.0","57,200.0","376.40K","0.35%"
"12/01/2023","57,500.0","57,600.0","58,000.0","57,400.0","19.00K","-0.17%"
"11/30/2023","57,600.0","58,200.0","59,000.0","57,600.0","55.40K","-0.86%"
"11/29/2023","58,100.0","58,000.0","58,100.0","57,700.0","30.60K","-0.68%"
"11/28/2023","58,500.0","57,700.0","58,700.0","57,200.0","96.00K","0.86%"
"11/27/2023","58,000.0","58,300.0","58,300.0","57,200.0","98.50K","1.22%"
"11/24/2023","57,300.0","57,600.0","57,900.0","57,000.0","84.70K","-0.35%"
"11/23/2023","57,500.0","58,700.0","58,800.0","57,100.0","204.70K","-1.71%"
"11/22/2023","58,500.0","57,700.0","59,000.0","57,700.0","27.70K","0.00%"
"11/21/2023","58,500.0","58,900.0","59,000.0","58,200.0","77.00K","0.00%"
"11/20/2023","58,500.0","56,600.0","59,100.0","56,600.0","205.90K","1.39%"
"11/17/2023","57,700.0","57,300.0","58,000.0","57,300.0","106.00K","-0.52%"
"11/16/2023","58,000.0","57,200.0","58,300.0","57,200.0","33.30K","0.00%"
"11/15/2023","58,000.0","58,500.0","58,700.0","57,800.0","188.50K","0.00%"
"11/14/2023","58,000.0","57,000.0","58,000.0","56,700.0","143.60K","2.29%"
"11/13/2023","56,700.0","57,200.0","58,000.0","56,600.0","91.40K","-0.87%"
"11/10/2023","57,200.0","56,900.0","57,300.0","56,600.0","184.20K","0.53%"
"11/09/2023","56,900.0","55,900.0","57,100.0","55,900.0","95.20K","1.43%"
"11/08/2023","56,100.0","55,500.0","56,200.0","55,000.0","104.70K","1.08%"
"11/07/2023","55,500.0","55,500.0","55,600.0","54,800.0","112.00K","0.00%"
"11/06/2023","55,500.0","55,500.0","56,200.0","55,200.0","72.20K","0.91%"
"11/03/2023","55,000.0","56,000.0","56,800.0","55,000.0","119.10K","-1.79%"
"11/02/2023","56,000.0","55,100.0","56,000.0","54,200.0","52.40K","3.70%"
"11/01/2023","54,000.0","52,100.0","54,000.0","52,100.0","250.30K","3.25%"
"10/31/2023","52,300.0","54,700.0","54,800.0","52,300.0","212.00K","-4.39%"
"10/30/2023","54,700.0","54,300.0","55,500.0","54,300.0","84.70K","-1.44%"
"10/27/2023","55,500.0","56,000.0","56,300.0","55,400.0","248.90K","-0.89%"
"10/26/2023","56,000.0","57,500.0","57,500.0","55,000.0","1.33M","-2.10%"
"10/25/2023","57,200.0","57,400.0","57,400.0","56,900.0","56.10K","-0.35%"
"10/24/2023","57,400.0","57,200.0","57,700.0","57,200.0","37.90K","0.17%"
"10/23/2023","57,300.0","57,400.0","58,000.0","56,700.0","393.00K","-0.35%"
"10/20/2023","57,500.0","57,300.0","57,900.0","56,100.0","440.50K","0.35%"
"10/19/2023","57,300.0","57,800.0","57,800.0","57,200.0","177.20K","-0.87%"
"10/18/2023","57,800.0","57,700.0","59,000.0","57,200.0","887.10K","0.70%"
"10/17/2023","57,400.0","57,500.0","58,000.0","57,200.0","270.50K","0.17%"
"10/16/2023","57,300.0","57,800.0","58,200.0","57,200.0","237.90K","-1.55%"
"10/13/2023","58,200.0","57,800.0","58,200.0","57,100.0","251.80K","0.00%"
"10/12/2023","58,200.0","59,300.0","59,300.0","57,800.0","305.80K","-1.69%"
"10/11/2023","59,200.0","59,200.0","60,400.0","58,500.0","185.50K","0.00%"
"10/10/2023","59,200.0","58,000.0","59,500.0","57,000.0","1.79M","-0.84%"
"10/09/2023","59,700.0","62,800.0","62,800.0","59,700.0","652.90K","-4.33%"
"10/06/2023","62,400.0","61,700.0","63,000.0","60,400.0","585.30K","0.97%"
"10/05/2023","61,800.0","59,600.0","62,000.0","59,500.0","983.50K","4.22%"
"10/04/2023","59,300.0","58,500.0","59,400.0","57,600.0","680.20K","2.24%"
"10/03/2023","58,000.0","58,400.0","60,500.0","57,900.0","787.80K","-0.85%"
"10/02/2023","58,500.0","58,300.0","58,700.0","57,900.0","156.00K","0.34%"
"09/29/2023","58,300.0","59,100.0","59,900.0","58,300.0","259.50K","-1.19%"
"09/28/2023","59,000.0","59,000.0","59,000.0","58,300.0","164.50K","0.00%"
"09/27/2023","59,000.0","59,100.0","59,200.0","57,800.0","366.10K","0.17%"
"09/26/2023","58,900.0","57,500.0","59,300.0","57,200.0","777.40K","2.08%"
"09/25/2023","57,700.0","59,800.0","59,800.0","57,600.0","639.30K","-4.15%"
"09/22/2023","60,200.0","57,300.0","60,200.0","56,800.0","953.20K","3.44%"
"09/21/2023","58,200.0","58,300.0","58,600.0","57,300.0","777.10K","-0.17%"
"09/20/2023","58,300.0","58,400.0","58,800.0","58,000.0","565.20K","0.17%"
"09/19/2023","58,200.0","57,000.0","58,200.0","56,500.0","616.30K","2.28%"
"09/18/2023","56,900.0","56,600.0","57,000.0","56,300.0","314.80K","0.18%"
"09/15/2023","56,800.0","57,100.0","57,800.0","56,400.0","307.20K","0.00%"
"09/14/2023","56,800.0","56,400.0","57,300.0","55,400.0","782.80K","0.53%"
