"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","26,600.0","27,050.0","27,050.0","26,600.0","3.08M","-0.93%"
"12/26/2023","26,850.0","27,400.0","27,400.0","26,800.0","3.49M","-1.65%"
"12/25/2023","27,300.0","26,700.0","27,450.0","26,600.0","6.51M","2.63%"
"12/22/2023","26,600.0","26,700.0","26,800.0","26,150.0","3.73M","0.38%"
"12/21/2023","26,500.0","26,300.0","26,750.0","26,200.0","3.40M","0.19%"
"12/20/2023","26,450.0","25,900.0","26,450.0","25,850.0","4.06M","2.72%"
"12/19/2023","25,750.0","25,400.0","25,750.0","25,200.0","3.02M","2.18%"
"12/18/2023","25,200.0","25,400.0","25,500.0","25,200.0","1.34M","-0.40%"
"12/15/2023","25,300.0","25,450.0","25,650.0","25,200.0","2.48M","0.00%"
"12/14/2023","25,300.0","25,900.0","25,900.0","25,250.0","3.48M","-1.36%"
"12/13/2023","25,650.0","26,400.0","26,400.0","25,550.0","6.12M","-2.84%"
"12/12/2023","26,400.0","26,200.0","26,400.0","25,900.0","2.52M","1.93%"
"12/11/2023","25,900.0","26,200.0","26,250.0","25,900.0","2.48M","-0.38%"
"12/08/2023","26,000.0","26,300.0","26,450.0","26,000.0","2.74M","-1.14%"
"12/07/2023","26,300.0","27,000.0","27,000.0","25,850.0","5.56M","-2.59%"
"12/06/2023","27,000.0","26,500.0","27,000.0","26,450.0","4.15M","1.89%"
"12/05/2023","26,500.0","26,850.0","27,250.0","26,500.0","6.56M","-1.12%"
"12/04/2023","26,800.0","26,800.0","27,150.0","26,700.0","5.28M","1.52%"
"12/01/2023","26,400.0","26,250.0","26,800.0","26,100.0","5.14M","0.76%"
"11/30/2023","26,200.0","26,100.0","26,350.0","25,750.0","4.40M","0.77%"
"11/29/2023","26,000.0","25,800.0","26,300.0","25,750.0","6.18M","1.76%"
"11/28/2023","25,550.0","25,350.0","25,600.0","24,800.0","4.20M","1.39%"
"11/27/2023","25,200.0","25,350.0","25,800.0","25,200.0","3.30M","0.00%"
"11/24/2023","25,200.0","25,150.0","25,200.0","24,100.0","4.40M","1.20%"
"11/23/2023","24,900.0","26,000.0","26,400.0","24,900.0","6.89M","-2.73%"
"11/22/2023","25,600.0","25,550.0","25,600.0","25,150.0","4.00M","0.20%"
"11/21/2023","25,550.0","25,150.0","25,550.0","24,900.0","3.73M","3.23%"
"11/20/2023","24,750.0","24,350.0","24,950.0","23,950.0","6.86M","0.00%"
"11/17/2023","24,750.0","25,550.0","25,650.0","24,650.0","6.28M","-3.32%"
"11/16/2023","25,600.0","25,300.0","25,650.0","25,150.0","2.39M","1.19%"
"11/15/2023","25,300.0","25,900.0","25,900.0","25,150.0","3.96M","0.00%"
