"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","108,000","108,000","108,000","107,100","17.80K","-0.46%"
"12/26/2023","108,500","108,900","108,900","108,000","9.40K","0.00%"
"12/25/2023","108,500","106,600","109,500","106,600","48.60K","1.78%"
"12/22/2023","106,600","105,900","108,000","105,100","57.40K","1.04%"
"12/21/2023","105,500","105,600","105,600","105,000","12.80K","-0.09%"
"12/20/2023","105,600","105,100","106,000","104,700","20.00K","0.48%"
"12/19/2023","105,100","105,100","105,200","104,200","24.30K","-0.19%"
"12/18/2023","105,300","105,300","105,500","105,100","20.30K","-0.19%"
"12/15/2023","105,500","105,700","106,000","105,100","1.30K","-0.66%"
"12/14/2023","106,200","106,400","106,400","105,000","18.40K","1.14%"
"12/13/2023","105,000","105,800","106,100","105,000","42.30K","-0.66%"
"12/12/2023","105,700","106,800","106,800","105,600","7.90K","-0.19%"
"12/11/2023","105,900","105,700","106,200","105,100","34.40K","0.28%"
"12/08/2023","105,600","106,000","106,500","105,000","24.90K","-0.28%"
"12/07/2023","105,900","106,900","106,900","105,100","26.40K","-0.94%"
"12/06/2023","106,900","107,000","107,100","106,500","22.70K","-0.09%"
"12/05/2023","107,000","107,000","107,000","106,000","20.40K","0.00%"
"12/04/2023","107,000","108,000","108,700","107,000","49.50K","-0.93%"
"12/01/2023","108,000","106,800","109,000","106,700","57.50K","1.89%"
"11/30/2023","106,000","107,500","107,800","105,500","9.40K","-1.94%"
"11/29/2023","108,100","108,100","108,500","104,600","61.30K","-0.09%"
"11/28/2023","108,200","107,000","108,300","106,900","37.10K","1.41%"
"11/27/2023","106,700","105,000","107,000","104,900","27.90K","2.60%"
"11/24/2023","104,000","104,500","104,700","103,900","21.90K","-0.57%"
"11/23/2023","104,600","104,900","105,200","104,600","21.40K","0.00%"
"11/22/2023","104,600","104,600","105,000","104,200","38.00K","0.00%"
"11/21/2023","104,600","105,000","105,500","104,100","15.50K","0.58%"
"11/20/2023","104,000","103,500","105,000","102,900","23.80K","-0.67%"
"11/17/2023","104,700","105,000","105,400","103,300","16.20K","-0.29%"
"11/16/2023","105,000","105,300","106,000","102,100","27.90K","-0.28%"
"11/15/2023","105,300","104,500","105,700","104,500","22.00K","0.77%"
"11/14/2023","104,500","104,800","105,000","103,700","17.90K","-0.29%"
"11/13/2023","104,800","104,600","104,800","103,600","19.70K","0.19%"
"11/10/2023","104,600","104,600","105,100","104,600","26.30K","-0.38%"
"11/09/2023","105,000","105,100","105,500","104,300","33.50K","0.00%"
"11/08/2023","105,000","103,900","105,500","102,900","22.50K","1.06%"
"11/07/2023","103,900","104,000","104,000","102,400","10.20K","-0.10%"
"11/06/2023","104,000","103,600","104,000","100,000","30.90K","0.29%"
"11/03/2023","103,700","105,300","105,300","102,800","15.00K","-1.05%"
"11/02/2023","104,800","104,000","104,800","102,800","18.10K","1.35%"
"11/01/2023","103,400","101,300","103,500","100,100","104.30K","0.88%"
"10/31/2023","102,500","104,100","105,000","102,000","29.70K","-1.54%"
"10/30/2023","104,100","105,000","105,400","103,900","2.60K","-1.79%"
"10/27/2023","106,000","104,200","106,000","104,100","28.10K","1.73%"
"10/26/2023","104,200","108,800","108,800","104,000","82.90K","-4.40%"
"10/25/2023","109,000","109,100","109,800","108,700","15.60K","-0.09%"
"10/24/2023","109,100","111,900","111,900","109,000","26.90K","-2.50%"
"10/23/2023","111,900","112,000","114,000","109,300","31.90K","-0.09%"
"10/20/2023","112,000","104,500","112,100","104,500","73.10K","4.67%"
"10/19/2023","107,000","108,000","108,400","107,000","26.30K","-0.93%"
"10/18/2023","108,000","110,000","111,000","108,000","117.70K","-2.35%"
"10/17/2023","110,600","113,500","113,500","110,600","33.50K","-0.98%"
"10/16/2023","111,700","109,200","112,800","109,000","58.70K","1.18%"
"10/13/2023","110,400","110,100","111,000","109,400","34.70K","-1.08%"
"10/12/2023","111,600","112,700","113,000","110,200","34.20K","-0.80%"
"10/11/2023","112,500","112,300","112,500","110,000","38.00K","0.54%"
"10/10/2023","111,900","112,000","113,800","111,000","69.50K","0.00%"
"10/09/2023","111,900","107,700","112,700","106,900","188.70K","4.78%"
"10/06/2023","106,800","104,000","106,800","104,000","35.30K","1.71%"
"10/05/2023","105,000","107,000","108,500","104,500","75.90K","0.00%"
"10/04/2023","105,000","103,000","105,000","101,100","57.90K","1.94%"
"10/03/2023","103,000","103,000","103,000","102,000","20.90K","0.00%"
"10/02/2023","103,000","100,200","103,400","100,200","28.90K","2.39%"
"09/29/2023","100,600","102,000","102,500","100,600","6.30K","-0.89%"
"09/28/2023","101,500","101,000","101,500","100,200","3.90K","0.50%"
"09/27/2023","101,000","100,000","101,000","99,800","18.50K","-0.98%"
"09/26/2023","102,000","101,300","102,000","100,100","19.60K","0.69%"
"09/25/2023","101,300","103,400","103,400","101,300","20.20K","-2.03%"
"09/22/2023","103,400","102,500","104,000","101,800","26.10K","-0.39%"
"09/21/2023","103,800","103,500","103,800","102,700","13.00K","0.29%"
"09/20/2023","103,500","104,100","104,100","103,000","28.20K","0.49%"
"09/19/2023","103,000","102,000","103,000","101,800","21.70K","0.39%"
"09/18/2023","102,600","103,000","103,800","102,100","13.80K","-0.39%"
"09/15/2023","103,000","102,400","103,000","101,600","10.40K","0.59%"
"09/14/2023","102,400","102,800","103,100","102,400","26.50K","-0.68%"
"09/13/2023","103,100","101,700","104,400","101,700","27.70K","1.48%"
"09/12/2023","101,600","102,700","102,700","100,500","30.70K","-1.17%"
"09/11/2023","102,800","104,500","104,500","102,000","12.70K","-1.53%"
"09/08/2023","104,400","106,700","106,700","104,100","24.80K","0.68%"
"09/07/2023","103,700","103,000","104,400","103,000","22.80K","0.88%"
"09/06/2023","102,800","102,200","102,800","102,000","23.70K","0.59%"
"09/05/2023","102,200","100,700","102,400","100,000","33.70K","1.49%"
"08/31/2023","100,700","100,500","101,000","100,200","9.60K","0.20%"
"08/30/2023","100,500","100,500","100,500","100,000","27.00K","0.10%"
