"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","142,300","142,500","142,900","141,500","6.00K","0.00%"
"12/26/2023","142,300","141,500","142,300","140,900","4.90K","0.78%"
"12/25/2023","141,200","142,000","142,000","141,200","6.71K","0.14%"
"12/22/2023","141,000","141,300","141,500","140,700","4.13K","-0.28%"
"12/21/2023","141,400","142,900","142,900","141,000","5.70K","-1.05%"
"12/20/2023","142,900","141,000","142,900","141,000","4.90K","1.13%"
"12/19/2023","141,300","141,100","141,300","140,000","7.40K","-0.21%"
"12/18/2023","141,600","142,500","142,600","141,500","18.39K","-0.63%"
"12/15/2023","142,500","141,000","143,800","141,000","6.11K","1.06%"
"12/14/2023","141,000","143,800","143,800","141,000","15.71K","-1.12%"
"12/13/2023","142,600","146,000","146,500","142,200","32.41K","-2.33%"
"12/12/2023","146,000","147,100","147,100","145,800","26.00K","-0.75%"
"12/11/2023","147,100","147,000","148,300","146,000","6.62K","0.14%"
"12/08/2023","146,900","147,000","149,500","146,600","25.37K","-0.07%"
"12/07/2023","147,000","147,000","148,000","146,000","46.30K","-1.93%"
"12/06/2023","149,900","149,000","150,000","146,000","17.11K","-0.79%"
"12/05/2023","151,100","152,800","152,800","149,300","5.88K","-0.13%"
"12/04/2023","151,300","149,500","151,400","149,500","6.71K","1.48%"
"12/01/2023","149,100","150,900","150,900","147,000","17.11K","-0.67%"
"11/30/2023","150,100","149,600","150,100","149,600","2.50K","0.33%"
"11/29/2023","149,600","148,500","149,600","148,000","5.20K","0.74%"
"11/28/2023","148,500","148,600","149,500","147,400","4.30K","-0.07%"
"11/27/2023","148,600","148,500","150,500","148,500","3.70K","0.07%"
"11/24/2023","148,500","150,100","150,100","148,000","12.29K","-1.33%"
"11/23/2023","150,500","152,000","152,000","150,500","12.60K","-0.99%"
"11/22/2023","152,000","152,400","154,000","150,200","20.60K","0.26%"
"11/21/2023","151,600","152,000","153,000","151,500","25.90K","0.07%"
"11/20/2023","151,500","152,000","152,500","150,000","12.10K","-0.33%"
"11/17/2023","152,000","154,800","154,900","152,000","21.31K","-2.00%"
"11/16/2023","155,100","155,500","155,500","154,500","4.40K","-0.26%"
"11/15/2023","155,500","156,000","158,900","155,500","14.05K","0.32%"
"11/14/2023","155,000","155,000","157,500","154,400","9.20K","1.24%"
"11/13/2023","153,100","156,100","156,100","153,000","7.41K","-0.07%"
"11/10/2023","153,200","154,000","154,000","152,100","15.53K","-0.52%"
"11/09/2023","154,000","157,900","157,900","152,000","66.60K","-2.47%"
"11/08/2023","157,900","158,000","158,000","156,000","17.12K","-0.06%"
"11/07/2023","158,000","159,600","161,000","157,600","9.72K","0.25%"
"11/06/2023","157,600","158,000","158,000","157,400","20.40K","1.48%"
"11/03/2023","155,300","155,100","158,100","155,100","17.41K","0.19%"
"11/02/2023","155,000","150,000","156,500","150,000","35.06K","4.80%"
"11/01/2023","147,900","145,100","150,000","145,100","8.40K","1.93%"
"10/31/2023","145,100","150,000","150,000","145,100","17.33K","-3.27%"
"10/30/2023","150,000","155,000","155,000","149,400","24.22K","-3.23%"
"10/27/2023","155,000","155,400","157,900","150,200","11.91K","-0.64%"
"10/26/2023","156,000","167,400","167,400","154,200","54.33K","-6.87%"
"10/25/2023","167,500","165,000","168,000","164,000","15.60K","0.90%"
"10/24/2023","166,000","166,200","168,400","163,800","17.31K","0.06%"
"10/23/2023","165,900","187,400","187,400","164,600","53.89K","-11.47%"
"10/20/2023","187,400","214,500","214,500","187,200","154.63K","-9.90%"
"10/19/2023","208,000","208,000","208,000","204,000","22.10K","0.00%"
"10/18/2023","208,000","208,600","210,000","206,700","7.20K","-0.24%"
"10/17/2023","208,500","207,000","210,200","207,000","11.20K","-0.24%"
"10/16/2023","209,000","211,100","211,100","208,400","9.81K","-0.48%"
"10/13/2023","210,000","213,500","213,500","209,000","31.60K","-1.55%"
"10/12/2023","213,300","213,000","215,000","212,500","9.71K","0.14%"
"10/11/2023","213,000","215,100","215,200","212,000","9.10K","-0.93%"
"10/10/2023","215,000","215,000","218,000","212,000","30.04K","2.38%"
"10/09/2023","210,000","207,900","210,000","207,900","13.83K","1.01%"
"10/06/2023","207,900","205,000","208,000","205,000","9.01K","1.76%"
"10/05/2023","204,300","204,500","206,100","204,300","18.90K","0.00%"
"10/04/2023","204,300","203,800","204,700","202,000","18.82K","0.00%"
"10/03/2023","204,300","204,000","205,000","202,000","18.60K","-0.58%"
"10/02/2023","205,500","206,000","206,200","202,000","22.77K","0.24%"
"09/29/2023","205,000","203,000","210,000","200,200","25.80K","2.45%"
"09/28/2023","200,100","201,000","201,000","199,000","9.43K","-0.89%"
"09/27/2023","201,900","200,100","202,100","198,200","11.52K","0.90%"
"09/26/2023","200,100","201,100","203,000","200,000","21.45K","-0.94%"
"09/25/2023","202,000","203,200","205,300","202,000","23.22K","-0.59%"
"09/22/2023","203,200","205,300","205,300","201,000","18.25K","-1.07%"
"09/21/2023","205,400","206,200","207,500","204,000","12.60K","-1.20%"
"09/20/2023","207,900","208,100","208,500","206,600","14.30K","0.43%"
"09/19/2023","207,000","207,000","208,400","205,600","11.55K","0.10%"
"09/18/2023","206,800","206,500","207,100","205,200","11.01K","-0.05%"
"09/15/2023","206,900","205,000","207,100","204,800","28.75K","1.22%"
"09/14/2023","204,400","205,500","205,500","204,100","8.42K","-0.78%"
"09/13/2023","206,000","205,000","207,000","204,800","21.60K","0.59%"
"09/12/2023","204,800","204,500","204,800","203,000","37.91K","0.20%"
"09/11/2023","204,400","203,400","205,900","203,400","23.68K","0.00%"
"09/08/2023","204,400","204,100","205,400","204,000","9.51K","0.20%"
"09/07/2023","204,000","206,500","206,600","203,100","35.86K","-1.21%"
"09/06/2023","206,500","206,000","209,800","205,400","14.10K","0.54%"
"09/05/2023","205,400","210,000","212,000","203,500","40.25K","-0.29%"
"08/31/2023","206,000","211,200","212,100","203,000","126.36K","-5.68%"
"08/30/2023","218,400","217,800","218,400","216,000","4.24K","0.28%"
"08/29/2023","217,800","217,500","218,000","214,000","15.61K","2.69%"
"08/28/2023","212,100","215,000","215,000","211,100","4.51K","-0.52%"
"08/25/2023","213,200","217,000","217,000","213,000","6.30K","-1.52%"
"08/24/2023","216,500","208,000","218,000","208,000","40.81K","7.39%"
"08/23/2023","201,600","203,000","203,900","201,600","5.94K","-0.25%"
"08/22/2023","202,100","203,800","206,500","201,800","18.61K","-0.49%"
"08/21/2023","203,100","202,000","203,100","198,700","4.40K","0.54%"
"08/18/2023","202,000","200,100","203,600","198,100","28.21K","0.50%"
"08/17/2023","201,000","202,500","202,500","200,600","4.42K","-0.35%"
"08/16/2023","201,700","202,700","202,700","198,500","36.22K","0.30%"
"08/15/2023","201,100","202,000","204,000","200,000","12.42K","0.15%"
"08/14/2023","200,800","207,100","208,000","200,000","24.91K","-3.04%"
"08/11/2023","207,100","208,100","209,000","207,100","8.20K","-1.24%"
"08/10/2023","209,700","210,000","210,100","209,500","19.80K","-0.14%"
"08/09/2023","210,000","211,000","213,000","209,000","12.20K","0.00%"
"08/08/2023","210,000","212,000","212,000","208,200","6.61K","0.67%"
"08/07/2023","208,600","210,200","213,700","208,000","19.92K","-2.34%"
"08/04/2023","213,600","214,900","216,000","212,700","13.70K","-0.60%"
"08/03/2023","214,900","215,000","215,000","214,000","8.32K","-0.05%"
"08/02/2023","215,000","216,000","216,500","214,000","9.03K","0.28%"
"08/01/2023","214,400","214,500","216,000","214,200","29.81K","0.00%"
"07/31/2023","214,400","216,500","216,500","214,000","11.82K","-1.43%"
"07/28/2023","217,500","211,900","220,000","211,900","46.80K","2.64%"
"07/27/2023","211,900","213,000","213,000","207,100","32.81K","-0.52%"
"07/26/2023","213,000","217,900","217,900","212,600","19.64K","-1.84%"
"07/25/2023","217,000","212,100","220,000","210,000","21.81K","2.31%"
"07/24/2023","212,100","226,200","226,200","212,100","53.82K","3.11%"
"07/21/2023","205,700","205,700","205,700","205,700","12.05K","10.00%"
"07/20/2023","187,000","199,900","199,900","185,000","4.50K","2.69%"
"07/19/2023","182,100","179,800","185,000","179,800","16.50K","1.28%"
"07/18/2023","179,800","180,000","180,000","178,000","5.40K","-0.11%"
"07/17/2023","180,000","180,100","180,100","178,700","13.70K","0.00%"
"07/14/2023","180,000","180,900","180,900","180,000","0.40K","-0.55%"
"07/13/2023","181,000","182,000","182,000","179,000","4.30K","-0.17%"
"07/12/2023","181,300","178,000","182,000","178,000","9.03K","1.80%"
"07/11/2023","178,100","173,900","179,900","173,500","13.33K","2.42%"
"07/10/2023","173,900","170,500","173,900","170,000","15.60K","2.29%"
"07/07/2023","170,000","170,300","172,200","170,000","8.70K","-0.87%"
