"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","74,200.0","74,200.0","74,500.0","73,700.0","410.10K","-0.13%"
"12/26/2023","74,300.0","74,200.0","74,300.0","73,800.0","685.20K","1.36%"
"12/25/2023","73,300.0","73,400.0","73,800.0","72,400.0","890.50K","1.24%"
"12/22/2023","72,400.0","73,400.0","73,500.0","72,400.0","415.80K","-1.36%"
"12/21/2023","73,400.0","71,300.0","73,500.0","71,200.0","626.70K","2.37%"
"12/20/2023","71,700.0","72,000.0","72,100.0","71,300.0","348.40K","-0.42%"
"12/19/2023","72,000.0","70,100.0","72,200.0","70,100.0","1.37M","2.71%"
"12/18/2023","70,100.0","73,600.0","73,600.0","70,100.0","965.40K","-3.84%"
"12/15/2023","72,900.0","73,700.0","74,000.0","72,400.0","930.40K","-1.09%"
"12/14/2023","73,700.0","76,000.0","76,000.0","73,400.0","801.20K","-2.51%"
"12/13/2023","75,600.0","76,400.0","76,800.0","75,000.0","928.10K","-0.79%"
"12/12/2023","76,200.0","75,800.0","76,500.0","75,500.0","482.80K","0.53%"
"12/11/2023","75,800.0","75,900.0","76,800.0","74,900.0","1.17M","1.20%"
"12/08/2023","74,900.0","75,800.0","76,200.0","74,600.0","1.09M","-1.19%"
"12/07/2023","75,800.0","76,000.0","76,500.0","74,300.0","1.50M","-0.13%"
"12/06/2023","75,900.0","71,500.0","75,900.0","71,100.0","2.77M","6.90%"
"12/05/2023","71,000.0","68,900.0","71,500.0","68,900.0","1.41M","3.20%"
"12/04/2023","68,800.0","67,700.0","69,500.0","67,700.0","930.20K","1.93%"
"12/01/2023","67,500.0","67,000.0","67,800.0","67,000.0","283.20K","2.27%"
"11/30/2023","66,000.0","68,500.0","68,900.0","66,000.0","696.70K","-3.37%"
"11/29/2023","68,300.0","68,700.0","69,000.0","68,300.0","301.10K","0.00%"
"11/28/2023","68,300.0","68,300.0","68,400.0","66,700.0","471.40K","0.00%"
"11/27/2023","68,300.0","69,400.0","69,600.0","68,200.0","265.90K","-1.73%"
"11/24/2023","69,500.0","69,900.0","70,000.0","67,800.0","664.90K","0.00%"
"11/23/2023","69,500.0","71,000.0","72,000.0","69,500.0","796.60K","-2.11%"
"11/22/2023","71,000.0","71,000.0","72,400.0","70,300.0","573.80K","0.00%"
"11/21/2023","71,000.0","70,900.0","71,000.0","70,200.0","539.00K","1.43%"
"11/20/2023","70,000.0","69,000.0","70,800.0","69,000.0","527.80K","-1.55%"
"11/17/2023","71,100.0","72,800.0","73,000.0","69,500.0","868.70K","-3.00%"
"11/16/2023","73,300.0","72,900.0","74,600.0","72,300.0","564.80K","0.41%"
"11/15/2023","73,000.0","71,000.0","73,300.0","70,900.0","1.42M","3.99%"
"11/14/2023","70,200.0","71,300.0","71,300.0","69,400.0","454.00K","0.43%"
"11/13/2023","69,900.0","70,500.0","71,300.0","69,500.0","405.50K","1.16%"
"11/10/2023","69,100.0","70,000.0","70,500.0","69,000.0","655.90K","-2.12%"
"11/09/2023","70,600.0","71,500.0","72,900.0","70,600.0","751.30K","-1.94%"
"11/08/2023","72,000.0","67,900.0","72,000.0","67,300.0","510.00K","6.04%"
"11/07/2023","67,900.0","69,500.0","69,500.0","67,600.0","368.00K","-2.30%"
"11/06/2023","69,500.0","69,000.0","69,500.0","68,500.0","267.10K","0.72%"
"11/03/2023","69,000.0","68,100.0","69,000.0","66,900.0","471.50K","2.22%"
"11/02/2023","67,500.0","66,000.0","69,600.0","65,600.0","533.20K","3.69%"
"11/01/2023","65,100.0","63,000.0","65,100.0","62,600.0","538.70K","3.33%"
"10/31/2023","63,000.0","67,300.0","67,500.0","62,900.0","821.90K","-6.39%"
"10/30/2023","67,300.0","68,800.0","69,900.0","67,300.0","426.10K","-3.86%"
"10/27/2023","70,000.0","71,000.0","71,200.0","68,500.0","290.70K","-1.41%"
"10/26/2023","71,000.0","71,900.0","71,900.0","67,900.0","1.10M","-2.74%"
"10/25/2023","73,000.0","72,500.0","73,900.0","72,100.0","364.00K","0.69%"
"10/24/2023","72,500.0","73,000.0","73,000.0","71,000.0","391.50K","0.42%"
"10/23/2023","72,200.0","74,400.0","74,800.0","71,600.0","471.20K","-3.48%"
"10/20/2023","74,800.0","70,500.0","74,800.0","68,000.0","921.60K","6.10%"
"10/19/2023","70,500.0","72,800.0","73,100.0","70,100.0","974.10K","-3.03%"
"10/18/2023","72,700.0","77,000.0","77,000.0","70,700.0","1.67M","-4.34%"
"10/17/2023","76,000.0","80,800.0","81,300.0","76,000.0","1.33M","-5.94%"
"10/16/2023","80,800.0","82,300.0","82,300.0","80,600.0","560.80K","-1.46%"
"10/13/2023","82,000.0","81,000.0","82,000.0","80,500.0","755.50K","0.49%"
"10/12/2023","81,600.0","83,500.0","83,500.0","81,000.0","833.50K","-1.21%"
"10/11/2023","82,600.0","82,000.0","82,600.0","81,600.0","676.90K","0.73%"
"10/10/2023","82,000.0","82,000.0","84,200.0","80,900.0","1.72M","0.61%"
"10/09/2023","81,500.0","81,900.0","82,700.0","80,600.0","944.90K","0.12%"
"10/06/2023","81,400.0","80,800.0","81,500.0","79,000.0","821.10K","0.74%"
"10/05/2023","80,800.0","81,100.0","83,400.0","80,200.0","1.24M","0.37%"
"10/04/2023","80,500.0","78,200.0","81,300.0","78,200.0","962.30K","-0.25%"
"10/03/2023","80,700.0","80,000.0","81,700.0","78,500.0","1.20M","-0.37%"
"10/02/2023","81,000.0","80,500.0","82,400.0","79,500.0","898.60K","2.66%"
"09/29/2023","78,900.0","77,800.0","79,700.0","77,600.0","1.12M","1.81%"
"09/28/2023","77,500.0","77,800.0","78,000.0","76,500.0","655.70K","0.52%"
"09/27/2023","77,100.0","75,100.0","77,100.0","74,800.0","957.30K","2.25%"
"09/26/2023","75,400.0","75,200.0","77,900.0","75,100.0","1.73M","-3.33%"
"09/25/2023","78,000.0","83,000.0","83,200.0","78,000.0","1.63M","-6.92%"
"09/22/2023","83,800.0","82,500.0","86,000.0","81,500.0","2.35M","0.00%"
"09/21/2023","83,800.0","84,000.0","86,000.0","83,600.0","1.03M","-0.24%"
"09/20/2023","84,000.0","81,100.0","86,300.0","81,100.0","1.68M","3.58%"
"09/19/2023","81,100.0","81,400.0","81,500.0","79,200.0","765.20K","0.12%"
"09/18/2023","81,000.0","77,300.0","81,000.0","77,300.0","1.40M","4.92%"
"09/15/2023","77,200.0","78,900.0","78,900.0","77,100.0","676.80K","-0.52%"
"09/14/2023","77,600.0","78,100.0","79,300.0","77,000.0","879.40K","-1.77%"
"09/13/2023","79,000.0","81,000.0","81,400.0","78,600.0","961.40K","-0.50%"
"09/12/2023","79,400.0","77,400.0","79,400.0","76,800.0","782.80K","2.58%"
"09/11/2023","77,400.0","81,200.0","82,000.0","74,400.0","2.00M","-3.25%"
"09/08/2023","80,000.0","80,100.0","81,200.0","80,000.0","1.33M","0.00%"
"09/07/2023","80,000.0","79,700.0","82,000.0","79,100.0","1.61M","2.04%"
"09/06/2023","78,400.0","77,100.0","78,700.0","76,700.0","1.05M","1.69%"
"09/05/2023","77,100.0","78,800.0","78,800.0","76,500.0","1.09M","-0.39%"
"08/31/2023","77,400.0","78,400.0","78,400.0","77,400.0","759.20K","0.00%"
"08/30/2023","77,400.0","75,500.0","78,000.0","75,500.0","1.38M","2.52%"
"08/29/2023","75,500.0","76,000.0","76,300.0","75,100.0","832.10K","-0.53%"
"08/28/2023","75,900.0","75,200.0","76,300.0","75,000.0","682.00K","1.47%"
"08/25/2023","74,800.0","73,400.0","76,500.0","72,800.0","1.78M","3.17%"
"08/24/2023","72,500.0","70,700.0","72,500.0","69,600.0","723.80K","3.72%"
"08/23/2023","69,900.0","71,000.0","71,000.0","69,000.0","302.40K","0.00%"
"08/22/2023","69,900.0","70,100.0","70,900.0","68,300.0","679.50K","-1.55%"
"08/21/2023","71,000.0","70,000.0","72,000.0","69,100.0","546.40K","0.00%"
"08/18/2023","71,000.0","72,100.0","72,200.0","68,200.0","1.43M","-2.74%"
"08/17/2023","73,000.0","73,900.0","73,900.0","72,500.0","1.01M","-1.35%"
"08/16/2023","74,000.0","75,000.0","75,200.0","74,000.0","641.50K","-1.60%"
"08/15/2023","75,200.0","75,300.0","75,800.0","74,200.0","688.00K","0.27%"
"08/14/2023","75,000.0","75,000.0","75,000.0","73,300.0","945.80K","0.40%"
"08/11/2023","74,700.0","75,300.0","75,700.0","72,100.0","1.15M","-0.80%"
"08/10/2023","75,300.0","78,000.0","78,000.0","75,300.0","980.50K","-3.46%"
"08/09/2023","78,000.0","77,500.0","79,000.0","77,100.0","726.30K","0.78%"
"08/08/2023","77,400.0","79,000.0","79,700.0","77,000.0","724.90K","-0.90%"
"08/07/2023","78,100.0","76,900.0","78,100.0","76,500.0","809.40K","1.96%"
"08/04/2023","76,600.0","77,500.0","77,600.0","76,100.0","881.00K","-1.16%"
"08/03/2023","77,500.0","78,000.0","79,800.0","77,500.0","978.80K","-0.39%"
"08/02/2023","77,800.0","76,200.0","77,900.0","75,300.0","1.01M","2.10%"
"08/01/2023","76,200.0","75,700.0","78,000.0","75,400.0","1.02M","0.93%"
"07/31/2023","75,500.0","76,900.0","78,300.0","75,500.0","1.01M","-0.53%"
"07/28/2023","75,900.0","76,900.0","77,400.0","75,300.0","771.00K","-0.52%"
"07/27/2023","76,300.0","74,600.0","76,500.0","74,300.0","1.29M","2.28%"
"07/26/2023","74,600.0","74,400.0","75,400.0","74,100.0","517.90K","0.27%"
"07/25/2023","74,400.0","74,700.0","76,100.0","74,100.0","709.80K","-0.40%"
"07/24/2023","74,700.0","75,300.0","76,100.0","73,600.0","735.80K","-0.80%"
"07/21/2023","75,300.0","74,700.0","75,500.0","73,800.0","384.30K","0.80%"
"07/20/2023","74,700.0","73,300.0","75,000.0","73,200.0","864.60K","1.91%"
"07/19/2023","73,300.0","76,400.0","76,400.0","73,300.0","759.70K","-3.30%"
"07/18/2023","75,800.0","77,000.0","77,200.0","75,000.0","619.10K","-1.81%"
"07/17/2023","77,200.0","74,300.0","77,600.0","74,000.0","968.80K","3.21%"
"07/14/2023","74,800.0","74,500.0","75,800.0","73,800.0","723.80K","0.40%"
"07/13/2023","74,500.0","74,000.0","75,400.0","74,000.0","465.10K","0.54%"
"07/12/2023","74,100.0","73,900.0","74,800.0","73,000.0","737.60K","0.82%"
"07/11/2023","73,500.0","75,600.0","75,700.0","73,300.0","1.30M","-2.91%"
"07/10/2023","75,700.0","74,600.0","75,700.0","74,000.0","648.50K","2.30%"
"07/07/2023","74,000.0","71,000.0","75,000.0","71,000.0","1.18M","3.50%"
"07/06/2023","71,500.0","71,900.0","71,900.0","69,800.0","741.00K","0.28%"
"07/05/2023","71,300.0","71,000.0","72,500.0","70,000.0","1.07M","0.42%"
"07/04/2023","71,000.0","69,500.0","71,200.0","69,500.0","1.27M","2.16%"
"07/03/2023","69,500.0","65,400.0","69,500.0","65,400.0","3.02M","6.92%"
"06/30/2023","65,000.0","64,800.0","65,200.0","64,000.0","836.50K","0.00%"
"06/29/2023","65,000.0","65,000.0","65,800.0","64,600.0","693.50K","-0.76%"
"06/28/2023","65,500.0","65,000.0","66,400.0","64,700.0","650.40K","0.77%"
"06/27/2023","65,000.0","65,400.0","65,800.0","64,500.0","555.60K","0.15%"
"06/26/2023","64,900.0","65,500.0","65,500.0","63,700.0","716.30K","0.00%"
"06/23/2023","64,900.0","63,900.0","64,900.0","63,800.0","1.14M","2.04%"
"06/22/2023","63,600.0","61,600.0","63,700.0","61,600.0","1.73M","3.58%"
"06/21/2023","61,400.0","61,800.0","61,800.0","61,000.0","481.80K","0.33%"
"06/20/2023","61,200.0","60,100.0","61,200.0","60,100.0","275.50K","1.83%"
"06/19/2023","60,100.0","60,100.0","60,600.0","59,500.0","447.80K","0.17%"
"06/16/2023","60,000.0","61,500.0","61,800.0","60,000.0","707.30K","-1.96%"
"06/15/2023","61,200.0","60,500.0","61,200.0","59,800.0","572.10K","0.82%"
"06/14/2023","60,700.0","62,400.0","62,400.0","60,600.0","710.60K","-2.10%"
"06/13/2023","62,000.0","62,900.0","63,000.0","61,800.0","678.00K","-0.64%"
"06/12/2023","62,400.0","61,000.0","62,400.0","60,600.0","993.70K","3.14%"
"06/09/2023","60,500.0","61,000.0","61,500.0","60,000.0","644.90K","-0.82%"
"06/08/2023","61,000.0","60,700.0","62,700.0","60,400.0","1.15M","0.49%"
"06/07/2023","60,700.0","60,900.0","61,500.0","59,800.0","777.60K","0.00%"
"06/06/2023","60,700.0","60,900.0","61,700.0","60,200.0","639.00K","-0.16%"
"06/05/2023","60,800.0","58,500.0","61,200.0","58,300.0","1.19M","4.29%"
"06/02/2023","58,300.0","59,900.0","59,900.0","58,200.0","788.10K","-1.35%"
"06/01/2023","59,100.0","58,700.0","60,000.0","58,600.0","664.40K","0.85%"
"05/31/2023","58,600.0","58,100.0","58,900.0","57,900.0","560.20K","0.34%"
"05/30/2023","58,400.0","58,700.0","58,900.0","57,700.0","519.50K","0.52%"
"05/29/2023","58,100.0","57,900.0","59,100.0","57,200.0","588.50K","1.04%"
"05/26/2023","57,500.0","57,000.0","57,500.0","56,800.0","295.60K","0.88%"
"05/25/2023","57,000.0","57,200.0","57,300.0","56,500.0","352.10K","-0.52%"
"05/24/2023","57,300.0","57,100.0","57,800.0","57,000.0","436.30K","0.53%"
"05/23/2023","57,000.0","57,000.0","57,800.0","56,900.0","292.50K","0.00%"
"05/22/2023","57,000.0","57,500.0","57,700.0","56,700.0","642.20K","-1.21%"
"05/19/2023","57,700.0","58,200.0","58,200.0","56,700.0","415.10K","-0.17%"
"05/18/2023","57,800.0","58,200.0","58,400.0","57,500.0","299.50K","0.00%"
"05/17/2023","57,800.0","57,500.0","59,400.0","57,400.0","506.20K","-0.34%"
"05/16/2023","58,000.0","59,400.0","59,500.0","58,000.0","375.40K","-1.69%"
"05/15/2023","59,000.0","60,300.0","60,800.0","59,000.0","756.20K","-2.96%"
"05/12/2023","60,800.0","61,300.0","61,300.0","60,200.0","389.10K","-0.65%"
"05/11/2023","61,200.0","61,800.0","62,300.0","60,700.0","298.80K","-0.33%"
"05/10/2023","61,400.0","60,600.0","61,400.0","60,600.0","239.70K","0.33%"
"05/09/2023","61,200.0","61,900.0","61,900.0","60,600.0","318.40K","-0.49%"
"05/08/2023","61,500.0","61,600.0","62,500.0","61,000.0","387.00K","0.00%"
"05/05/2023","61,500.0","59,600.0","62,200.0","59,600.0","553.60K","3.36%"
"05/04/2023","59,500.0","60,300.0","60,300.0","59,400.0","462.80K","-1.33%"
"04/28/2023","60,300.0","59,600.0","60,700.0","59,600.0","476.80K","0.84%"
"04/27/2023","59,800.0","59,100.0","60,300.0","59,000.0","485.90K","1.36%"
"04/26/2023","59,000.0","60,000.0","60,100.0","58,400.0","532.60K","-2.32%"
"04/25/2023","60,400.0","60,100.0","61,200.0","59,000.0","520.40K","0.67%"
"04/24/2023","60,000.0","60,600.0","61,800.0","59,600.0","610.50K","-2.12%"
"04/21/2023","61,300.0","61,300.0","62,000.0","60,500.0","594.90K","-0.97%"
"04/20/2023","61,900.0","60,300.0","62,500.0","59,600.0","990.00K","3.17%"
"04/19/2023","60,000.0","60,500.0","61,100.0","59,200.0","742.60K","-1.15%"
"04/18/2023","60,700.0","59,900.0","61,500.0","59,900.0","1.17M","1.85%"
"04/17/2023","59,600.0","57,200.0","59,600.0","57,000.0","1.24M","4.01%"
"04/14/2023","57,300.0","56,200.0","58,500.0","56,200.0","1.09M","2.14%"
"04/13/2023","56,100.0","56,600.0","56,900.0","56,000.0","361.90K","-0.71%"
"04/12/2023","56,500.0","57,700.0","57,700.0","56,300.0","348.30K","-0.53%"
"04/11/2023","56,800.0","55,700.0","57,300.0","55,700.0","720.20K","2.71%"
"04/10/2023","55,300.0","55,000.0","56,200.0","54,600.0","361.00K","1.28%"
