"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","67,500.0","68,000.0","68,200.0","67,500.0","1.63M","-0.74%"
"12/26/2023","68,000.0","68,300.0","68,500.0","68,000.0","1.98M","0.15%"
"12/25/2023","67,900.0","67,600.0","68,700.0","67,600.0","2.67M","0.44%"
"12/22/2023","67,600.0","67,800.0","68,100.0","67,500.0","2.15M","-0.29%"
"12/21/2023","67,800.0","67,900.0","68,300.0","67,800.0","2.59M","-0.44%"
"12/20/2023","68,100.0","67,000.0","68,200.0","67,000.0","2.60M","1.64%"
"12/19/2023","67,000.0","67,100.0","67,400.0","66,300.0","3.06M","0.00%"
"12/18/2023","67,000.0","68,100.0","68,200.0","67,000.0","3.51M","-1.62%"
"12/15/2023","68,100.0","68,500.0","68,600.0","68,100.0","3.74M","-0.44%"
"12/14/2023","68,400.0","68,400.0","68,900.0","68,200.0","1.46M","0.29%"
"12/13/2023","68,200.0","69,600.0","69,700.0","68,100.0","4.51M","-1.73%"
"12/12/2023","69,400.0","70,000.0","70,100.0","69,000.0","2.79M","-0.86%"
"12/11/2023","70,000.0","70,500.0","70,500.0","69,900.0","4.73M","1.45%"
"12/08/2023","69,000.0","68,400.0","69,300.0","68,000.0","3.73M","0.88%"
"12/07/2023","68,400.0","68,800.0","68,800.0","67,500.0","3.87M","-0.15%"
"12/06/2023","68,500.0","68,100.0","68,600.0","68,100.0","1.61M","0.59%"
"12/05/2023","68,100.0","68,800.0","69,000.0","68,000.0","2.30M","-1.02%"
"12/04/2023","68,800.0","68,500.0","69,500.0","68,400.0","3.01M","0.58%"
"12/01/2023","68,400.0","68,000.0","68,500.0","67,700.0","1.39M","1.48%"
"11/30/2023","67,400.0","68,400.0","68,700.0","67,400.0","2.58M","-1.46%"
"11/29/2023","68,400.0","68,500.0","68,800.0","68,200.0","1.26M","-0.15%"
"11/28/2023","68,500.0","68,100.0","68,500.0","67,500.0","1.78M","0.59%"
"11/27/2023","68,100.0","68,300.0","68,400.0","67,900.0","1.33M","-0.29%"
"11/24/2023","68,300.0","68,600.0","68,900.0","67,600.0","3.13M","-0.58%"
"11/23/2023","68,700.0","69,800.0","69,900.0","68,700.0","1.62M","-1.01%"
"11/22/2023","69,400.0","69,500.0","70,200.0","69,000.0","1.30M","-0.14%"
"11/21/2023","69,500.0","69,400.0","69,800.0","68,900.0","2.96M","0.29%"
"11/20/2023","69,300.0","69,200.0","69,900.0","69,000.0","1.77M","-1.00%"
"11/17/2023","70,000.0","71,000.0","71,100.0","69,200.0","2.34M","-0.43%"
