Date,HDB,MBB,JVC,ACB,VND,PVT,AAA,TPB,HAH,VHM,VNM,VHC,PNJ,BVH,GAS,BCM,FRT,SAB,DHG,VIC,VJC,MSN,SLS,RAL,DBC,PTB,OGC,KPF,DRC,DAH
2018-05-18,15172.8,12206.9,3470.0,14094.2,20741.3,18300.0,15065.7,14054.7,14200.0,114700.0,139858.0,24600.0,61701.3,97000.0,115000.0,22200.0,51195.3,252400.0,103000.0,101653.0,158333.0,92500.0,64100.0,113900.0,6923.0,63526.0,2300.0,18862.8,20000.0,4564.0
2018-05-21,15378.6,11924.9,3470.0,13896.6,20042.2,18000.0,14869.6,13983.7,14200.0,114700.0,135689.0,24936.0,61360.4,90300.0,108500.0,22000.0,50104.0,251000.0,103500.0,94545.0,153333.0,89000.0,63000.0,113900.0,7205.0,63857.0,2310.0,19349.6,20000.0,4564.0
2018-05-22,14592.9,11602.6,3350.0,13534.3,18643.9,17800.0,14398.8,13865.4,13900.0,71097.0,132419.0,23977.0,60303.6,84000.0,105900.0,22000.0,50104.0,247900.0,102000.0,87934.0,147417.0,85000.0,62000.0,113800.0,7049.0,62798.0,2300.0,19410.4,19950.0,4392.0
2018-05-23,14106.4,11804.1,3430.0,13666.1,19948.9,18500.0,15379.6,13912.8,13950.0,66346.0,136752.0,24169.0,61019.5,87000.0,113300.0,25500.0,50392.9,243000.0,103000.0,85124.0,148333.0,85000.0,63900.0,115000.0,7174.0,62798.0,2320.0,19471.3,21300.0,4501.0
2018-05-24,13283.2,11783.9,3350.0,13501.4,19110.0,18150.0,16007.4,13865.4,14000.0,68872.0,137324.0,24600.0,61019.5,86000.0,113200.0,25500.0,51073.4,242800.0,101000.0,86033.0,142917.0,84500.0,64500.0,115000.0,7143.0,61541.0,2290.0,19471.3,20200.0,4483.0
2018-05-25,13189.7,11360.9,3250.0,13172.1,17898.1,17950.0,16242.8,13723.5,13850.0,70676.0,135689.0,25080.0,59315.0,86000.0,105300.0,25500.0,51073.4,234000.0,100000.0,88430.0,132917.0,83500.0,64900.0,115000.0,6829.0,62203.0,2250.0,19410.4,19900.0,4492.0
2018-05-28,12273.0,10595.5,3050.0,11920.8,16686.3,17100.0,15693.5,12824.3,13850.0,70376.0,134872.0,23545.0,55190.2,82000.0,98000.0,23500.0,49818.4,232000.0,96000.0,91736.0,123667.0,80000.0,64000.0,107500.0,6328.0,60747.0,2100.0,18254.3,19700.0,4510.0
2018-05-29,13114.9,11320.6,3230.0,12941.6,17851.5,17000.0,15771.9,13628.8,14000.0,69774.0,137814.0,24360.0,56247.0,83400.0,96000.0,24000.0,49654.7,229000.0,101000.0,90909.0,126667.0,80000.0,66900.0,107500.0,6861.0,60747.0,2160.0,18254.3,20750.0,4528.0
2018-05-30,13732.3,11099.0,3120.0,12645.2,17292.2,17000.0,15615.0,13581.5,14100.0,70376.0,135280.0,24408.0,55224.3,84900.0,89300.0,24000.0,47472.1,229000.0,100000.0,91736.0,122500.0,80000.0,66600.0,107500.0,6861.0,61144.0,2130.0,17037.4,20300.0,4619.0
2018-05-31,14592.9,11723.5,3180.0,13172.1,17898.1,17000.0,15850.4,13250.2,14200.0,69233.0,134218.0,25320.0,56928.8,86500.0,90400.0,24000.0,49327.3,240000.0,104500.0,95868.0,124000.0,81000.0,67300.0,110900.0,6986.0,61144.0,2200.0,18223.9,21000.0,4619.0
2018-06-01,15416.0,11783.9,3230.0,13336.8,17804.9,16700.0,16556.6,13250.2,14200.0,70075.0,137487.0,25463.0,58190.1,90700.0,92500.0,22500.0,49272.7,245000.0,104500.0,98347.0,132667.0,83900.0,69500.0,110900.0,6955.0,61541.0,2190.0,19410.4,20600.0,4691.0
2018-06-04,16089.6,12267.4,3250.0,13830.7,18317.6,16400.0,17694.4,13960.1,14200.0,70917.0,143046.0,27094.0,58974.1,94900.0,92300.0,21700.0,48563.4,241600.0,109000.0,99174.0,141917.0,84200.0,74000.0,107600.0,6422.0,62600.0,2170.0,19440.9,21150.0,4664.0
2018-06-05,16164.4,12267.4,3380.0,13731.9,19576.1,17000.0,17694.4,13912.8,14300.0,70977.0,145931.0,28964.0,61019.5,94900.0,98700.0,23300.0,48617.9,247600.0,115000.0,100083.0,144167.0,85400.0,72000.0,106500.0,6360.0,63526.0,2190.0,19106.2,21400.0,4628.0
2018-06-06,16164.4,12307.6,3320.0,14258.8,20927.7,17200.0,18047.5,13676.1,14150.0,72180.0,144282.0,29731.0,63030.7,95100.0,102900.0,21000.0,48727.1,247000.0,110000.0,102562.0,145500.0,85500.0,70000.0,103700.0,6485.0,65180.0,2160.0,19106.2,22400.0,4646.0
