date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2019-01-15,11020.1,21667.0,24873.7,88700.0,14091.7,22312.9,90300.0,9258.0,11326.0,10311.8,9348.6,81900.0,27459.0,55300.0,15700.0,239600.0,4318.3,13551.2,11300.0,26500.0,12792.3,42927.0,60075.0,11665.0,101500.0,117200.0,105568.0,7129.7,31000.0
2019-01-16,10906.5,21862.0,24644.1,90000.0,13942.6,22182.6,90600.0,9455.0,11326.0,10364.6,9324.6,81400.0,27331.0,55500.0,15600.0,239000.0,4257.5,13420.9,11300.0,26500.0,12610.4,42543.0,60376.0,11665.0,102000.0,116000.0,104081.0,7351.9,31450.0
2019-01-17,10944.4,21765.0,24452.7,91900.0,13756.2,21895.8,89000.0,9357.0,11209.7,10171.0,9468.4,80200.0,27331.0,54700.0,15600.0,234500.0,4257.5,13134.3,11200.0,26650.0,12549.8,42390.0,60000.0,12062.0,102000.0,115500.0,103455.0,7037.1,30100.0
2019-01-18,10830.8,21862.0,24261.4,91900.0,13569.8,21895.8,89000.0,9554.0,11287.3,10276.6,9468.4,81000.0,27043.0,54400.0,15200.0,234500.0,4257.5,13108.2,11250.0,26750.0,12610.4,42082.0,60526.0,11863.0,102200.0,115200.0,104863.0,7129.7,29250.0
2019-01-21,11171.6,21472.0,25141.5,92000.0,14501.8,22156.5,90500.0,9652.0,11500.6,10399.7,10067.7,80800.0,26818.0,55300.0,15350.0,234500.0,4379.1,13342.8,11700.0,27400.0,12731.7,42850.0,60526.0,11996.0,102400.0,115200.0,104707.0,7407.5,29300.0
2019-01-22,11020.1,22253.0,25065.0,90000.0,14576.3,22078.3,89700.0,9258.0,11675.1,10382.2,9875.9,80100.0,26850.0,53500.0,15500.0,233800.0,4257.5,13316.7,11750.0,26800.0,12731.7,42390.0,59849.0,11930.0,102400.0,115000.0,104863.0,7277.9,28950.0
2019-01-23,11020.1,21960.0,25026.7,90300.0,14874.6,22078.3,90000.0,9258.0,11636.3,10575.7,9923.9,78000.0,26786.0,53200.0,15500.0,233800.0,4318.3,13264.6,12150.0,26550.0,13216.7,42543.0,59849.0,11863.0,102600.0,115500.0,105255.0,7370.5,29100.0
2019-01-24,11058.0,22155.0,24873.7,90300.0,15247.4,22130.4,89800.0,9357.0,11617.0,10505.3,10163.6,78000.0,26786.0,53200.0,15400.0,233000.0,4318.3,13316.7,12200.0,26650.0,12883.2,42543.0,59248.0,11863.0,102800.0,118000.0,106037.0,7481.6,29200.0
2019-01-25,11058.0,21570.0,24529.3,91900.0,15061.0,22104.4,89500.0,9061.0,11617.0,10452.5,10139.6,78300.0,26658.0,53800.0,15400.0,233000.0,4318.3,13655.5,12300.0,26650.0,12822.6,42850.0,58646.0,11797.0,102900.0,122500.0,106350.0,7426.0,29200.0
2019-01-28,10944.4,22253.0,24414.4,93100.0,15172.8,21948.0,89500.0,9357.0,11636.3,10470.1,10091.7,79100.0,26786.0,53500.0,15750.0,233000.0,4318.3,13577.3,12250.0,26200.0,12762.0,42620.0,60601.0,11665.0,103700.0,122500.0,106820.0,7296.4,29250.0
2019-01-29,10982.3,21960.0,24261.4,94400.0,15471.0,22156.5,87900.0,9554.0,11636.3,10452.5,10211.5,79500.0,27395.0,53500.0,16300.0,233000.0,4318.3,13655.5,12150.0,26500.0,12549.8,43542.0,61278.0,11598.0,103900.0,121700.0,106820.0,7407.5,29400.0
2019-01-30,11095.9,21960.0,24261.4,96500.0,15247.4,22521.4,88000.0,9751.0,11636.3,10206.2,10451.2,79100.0,26786.0,53300.0,16800.0,233000.0,4379.1,13551.2,12000.0,26600.0,12671.0,43542.0,61654.0,11466.0,103900.0,123200.0,106037.0,7370.5,29300.0
2019-01-31,11133.7,22448.0,24108.3,92200.0,14688.2,22521.4,87800.0,9849.0,11830.3,9748.7,10499.2,77700.0,26594.0,53900.0,16450.0,233000.0,4379.1,13603.4,12300.0,26500.0,12610.4,43618.0,60150.0,11466.0,103900.0,123500.0,105646.0,7481.6,29200.0
2019-02-01,11171.6,21765.0,24184.8,95700.0,14986.4,22208.6,88000.0,9948.0,11830.3,9607.9,10475.2,78400.0,26594.0,53500.0,16550.0,233000.0,4379.1,13603.4,12400.0,27200.0,12701.4,43388.0,60150.0,11665.0,98800.0,125000.0,105646.0,7426.0,29000.0
2019-02-11,11436.7,22838.0,24452.7,95500.0,15433.8,23016.7,90500.0,9357.0,11888.5,10171.0,10571.1,80200.0,27107.0,55600.0,16950.0,233300.0,4622.4,14020.3,12950.0,27050.0,12883.2,44617.0,60075.0,11930.0,104000.0,125900.0,107211.0,7851.9,29400.0
2019-02-12,11550.3,22448.0,24835.4,95100.0,15545.6,22886.4,91000.0,9849.0,12063.0,10382.2,10547.1,82300.0,27107.0,55700.0,16900.0,237800.0,4683.2,14150.6,13000.0,27450.0,12913.5,45001.0,60150.0,11863.0,109100.0,125900.0,107993.0,7907.5,29700.0
2019-02-13,11550.3,23034.0,24873.7,96500.0,15545.6,23225.2,93000.0,9751.0,12101.8,10874.9,10547.1,85900.0,27619.0,57100.0,16850.0,236100.0,4683.2,14176.7,13000.0,27550.0,12943.9,45922.0,60150.0,11863.0,109000.0,124500.0,108228.0,7963.1,30400.0
2019-02-14,11398.8,22741.0,24797.1,96300.0,15545.6,23068.8,92500.0,9554.0,11946.6,10910.1,10595.1,86000.0,27459.0,56700.0,16850.0,238000.0,4804.9,14124.6,12950.0,27300.0,12913.5,46229.0,61579.0,11665.0,112900.0,123400.0,109089.0,7870.5,31500.0
