"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"15/12/2023","22,750.0","22,600.0","22,850.0","22,550.0","6.19M","1.11%"
"14/12/2023","22,500.0","22,400.0","22,750.0","22,300.0","6.95M","0.90%"
"13/12/2023","22,300.0","22,500.0","22,550.0","22,300.0","3.93M","-0.89%"
"12/12/2023","22,500.0","22,450.0","22,500.0","22,300.0","3.23M","0.45%"
"11/12/2023","22,400.0","22,450.0","22,500.0","22,250.0","2.27M","0.00%"
"08/12/2023","22,400.0","22,400.0","22,550.0","22,300.0","3.81M","0.00%"
"07/12/2023","22,400.0","22,300.0","22,500.0","22,200.0","7.24M","0.45%"
"06/12/2023","22,300.0","22,150.0","22,300.0","22,000.0","2.79M","0.68%"
"05/12/2023","22,150.0","22,300.0","22,450.0","22,050.0","3.56M","-0.67%"
"04/12/2023","22,300.0","22,050.0","22,450.0","22,000.0","9.04M","1.59%"
"01/12/2023","21,950.0","22,150.0","22,150.0","21,750.0","5.73M","0.00%"
"30/11/2023","21,950.0","22,050.0","22,300.0","21,950.0","5.24M","-0.45%"
"29/11/2023","22,050.0","22,000.0","22,350.0","22,000.0","4.83M","0.68%"
"28/11/2023","21,900.0","21,900.0","22,100.0","21,700.0","4.19M","0.23%"
"27/11/2023","21,850.0","22,050.0","22,100.0","21,850.0","3.26M","-0.91%"
"24/11/2023","22,050.0","22,300.0","22,300.0","21,800.0","7.90M","-0.68%"
"23/11/2023","22,200.0","22,700.0","22,750.0","22,200.0","5.18M","-2.20%"
"22/11/2023","22,700.0","22,500.0","22,750.0","22,350.0","4.39M","0.44%"
"21/11/2023","22,600.0","22,650.0","22,800.0","22,500.0","3.71M","0.44%"
"20/11/2023","22,500.0","22,400.0","22,950.0","22,150.0","10.21M","-0.88%"
"17/11/2023","22,700.0","23,400.0","23,400.0","22,550.0","12.35M","-2.58%"
"16/11/2023","23,300.0","23,250.0","23,400.0","23,100.0","8.08M","0.22%"
"15/11/2023","23,250.0","23,000.0","23,500.0","22,950.0","32.33M","2.42%"
"14/11/2023","22,700.0","22,450.0","22,900.0","22,450.0","10.30M","1.11%"
"13/11/2023","22,450.0","22,450.0","22,600.0","22,200.0","3.42M","0.22%"
"10/11/2023","22,400.0","22,400.0","22,600.0","22,250.0","5.05M","-0.67%"
"09/11/2023","22,550.0","22,900.0","22,900.0","22,550.0","4.76M","-1.10%"
"08/11/2023","22,800.0","22,100.0","22,900.0","22,050.0","7.91M","3.17%"
"07/11/2023","22,100.0","22,100.0","22,250.0","22,100.0","2.33M","-0.45%"
"06/11/2023","22,200.0","22,200.0","22,350.0","22,100.0","3.79M","0.68%"
"03/11/2023","22,050.0","22,300.0","22,400.0","22,050.0","4.89M","-1.12%"
"02/11/2023","22,300.0","21,750.0","22,300.0","21,600.0","5.15M","3.24%"
"01/11/2023","21,600.0","21,400.0","21,650.0","21,350.0","4.83M","0.93%"
"31/10/2023","21,400.0","21,350.0","21,550.0","21,250.0","3.49M","0.47%"
"30/10/2023","21,300.0","21,600.0","21,650.0","21,300.0","3.86M","-1.16%"
"27/10/2023","21,550.0","21,450.0","21,700.0","21,200.0","3.18M","2.13%"
"26/10/2023","21,100.0","21,750.0","21,750.0","20,950.0","12.59M","-3.65%"
"25/10/2023","21,900.0","22,200.0","22,250.0","21,900.0","2.49M","0.00%"
"24/10/2023","21,900.0","21,950.0","22,100.0","21,800.0","2.55M","0.46%"
"23/10/2023","21,800.0","22,100.0","22,100.0","21,700.0","2.40M","-0.46%"
"20/10/2023","21,900.0","21,800.0","22,100.0","21,800.0","3.67M","0.46%"
"19/10/2023","21,800.0","22,050.0","22,150.0","21,800.0","6.21M","-1.13%"
"18/10/2023","22,050.0","22,450.0","22,450.0","22,050.0","6.21M","-1.78%"
"17/10/2023","22,450.0","22,600.0","22,650.0","22,450.0","3.66M","-0.66%"
"16/10/2023","22,600.0","22,550.0","22,700.0","22,400.0","4.22M","-0.22%"
"13/10/2023","22,650.0","22,600.0","22,700.0","22,500.0","4.69M","-0.22%"
"12/10/2023","22,700.0","22,700.0","22,900.0","22,500.0","5.63M","0.00%"
"11/10/2023","22,700.0","22,800.0","22,800.0","22,550.0","2.84M","-0.44%"
"10/10/2023","22,800.0","22,500.0","22,850.0","22,500.0","6.54M","1.33%"
"09/10/2023","22,500.0","21,700.0","22,550.0","21,700.0","8.98M","3.21%"
"06/10/2023","21,800.0","21,600.0","21,900.0","21,550.0","2.44M","0.93%"
"05/10/2023","21,600.0","21,750.0","21,950.0","21,600.0","3.35M","0.00%"
"04/10/2023","21,600.0","21,550.0","21,700.0","21,500.0","3.18M","0.00%"
"03/10/2023","21,600.0","21,800.0","21,900.0","21,600.0","5.51M","-1.37%"
"02/10/2023","21,900.0","21,800.0","21,950.0","21,700.0","3.81M","0.23%"
