date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SHB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2019-01-20,10925.45,21789.0,24557.975,90625.0,13840.075,22071.775,89725.0,9406.0,11287.25,10281.0,9402.5,81125.0,27291.0,54975.0,15525.0,236900.0,4272.7,13303.65,11262.5,26600.0,12640.724999999999,42485.5,60244.25,11813.75,101925.0,115975.0,104491.75,7162.1,30450.0
2019-01-27,11065.560000000001,21882.0,24927.239999999998,90900.0,14852.220000000001,22109.579999999998,89900.0,9317.2,11609.2,10463.08,10034.14,79040.0,26779.6,53800.0,15430.0,233620.0,4318.3,13379.26,12020.0,26810.0,12877.18,42635.2,59623.6,11889.8,102620.0,117240.0,105442.4,7392.7,29150.0
2019-02-03,11065.58,22077.2,24246.06,94380.0,15113.16,22271.18,88240.0,9691.8,11713.9,10097.08,10345.76,78760.0,26831.0,53540.0,16370.0,233000.0,4354.780000000001,13598.16,12220.0,26600.0,12658.92,43342.0,60766.6,11572.0,102840.0,123180.0,106193.8,7396.4,29230.0
2019-02-10,11065.58,22077.2,24246.06,94380.0,15113.16,22271.18,88240.0,9691.8,11713.9,10097.08,10345.76,78760.0,26831.0,53540.0,16370.0,233000.0,4354.780000000001,13598.16,12220.0,26600.0,12658.92,43342.0,60766.6,11572.0,102840.0,123180.0,106193.8,7396.4,29230.0
2019-02-17,11474.560000000001,22604.2,24866.0,95780.0,15515.779999999999,23047.98,92200.0,9632.6,11958.28,10691.880000000001,10566.3,83820.0,27375.8,56360.0,16860.0,236720.0,4695.379999999999,14093.3,12980.0,27320.0,12901.4,45461.4,60601.2,11823.6,109400.0,124200.0,108447.2,7892.7,30390.0
2019-02-24,11489.7,22975.0,25815.04,95020.0,15433.76,23319.059999999998,97140.0,9593.2,11651.86,11448.539999999999,10614.24,87200.0,28010.2,58060.0,16730.0,244000.0,4598.08,14385.14,12970.0,27530.0,12761.98,46106.6,67548.6,12486.2,116320.0,120320.0,113471.2,7896.38,32870.0
2019-03-03,11520.02,24517.0,25493.579999999998,94200.0,15717.079999999998,23418.14,98760.0,9711.2,11841.92,12074.960000000001,10532.72,89800.0,28234.6,57480.0,16370.0,244860.0,4598.08,14744.779999999999,12670.0,27100.0,12719.560000000001,47765.2,68451.0,12433.2,115660.0,121960.0,113925.0,7822.32,33980.0
2019-03-10,11497.3,24673.2,26304.859999999997,96960.0,15873.62,23345.14,100986.2,10046.2,11861.34,12208.72,10595.039999999999,89740.0,28144.8,60560.0,16750.0,243100.0,4671.08,14979.320000000002,12700.0,26720.0,12713.460000000001,48287.2,69097.6,12632.0,117940.0,120800.0,109965.6,7885.280000000001,34550.0
2019-03-17,11807.8,23872.8,27269.18,95900.0,16544.68,23923.82,99932.6,10184.2,12024.2,11832.14,10734.079999999998,88440.0,28381.8,61560.0,16420.0,251760.0,4829.219999999999,15193.02,12800.0,26800.0,12804.4,50007.4,69713.8,12950.4,118380.0,119800.0,107852.4,8007.5,37100.0
2019-03-24,11747.24,23619.2,27537.04,96000.0,17014.420000000002,23720.5,101720.0,11661.6,12214.26,11262.0,10935.44,85660.0,28318.0,60960.0,15600.0,248600.0,4756.219999999999,14744.779999999999,12680.0,26520.0,12858.960000000001,51389.8,69142.6,12817.8,119620.0,119360.0,107351.8,8011.2,36270.0
