date,BCG,MSH,PVD,VND,KDC,BMC,ACB,HPG,MBB,ANV,MSN,TLG,VNG,FRT,JVC,HHV,DAH,BWE,MPC,DGC,DPM,GEG,RAL,TCB,NSC,GVR,PVS,VCB,FPT,VRE,BID,PVC,TPB,NVL,KBC,SLS,VHM,REE,HAH,HCM,NBB,VIB,VHC,LTG,CTG,GAS,PHR,PLX,VPB,VJC,CII,ITA,DPR,DMC,PXS,PC1,MWG,SBT,BCM,DVP,PNJ,POW,CLC,LAS,BVH,SSI,SCS,DBC,HDB,GEX,FCN,AAA,VIC,SKG,SAB,STB,VNM,BMP,DHG,DCM,KDH,EIB,SHB
2019-01-15,2820,22080,10490,3650.0,19240,10060,9200.0,10270,8029,21060,66320,43590,20500.0,33240,3210,7420.0,6200,20810,14170,10740.0,13530,10230.0,49640,26500,68020.0,8310.0,14810,36040,18480,30110,21690,3850,8290,32350,9650,33980.0,58210,21400,4830,13410,17422,4930.0,41700,15390,12620,62610,26790,45700,6800,116180,22490,3000,11870,60400.0,4910.0,10490,27170,15910,20610.0,25770,46710,14977,22790.0,8870,77850,11810,60370,7730.0,9370,13540,11320,11455,90211,12100,109110,11300,91600,30850,68530,6790,15990,10380,3170.0
2019-01-16,2790,22180,10630,3600.0,19240,9750,9110.0,10330,8010,20860,65910,43520,20500.0,32770,3070,7420.0,6180,21380,14550,10780.0,13590,10230.0,50490,26500,66360.0,8490.0,14890,35720,18380,30547,21490,3910,8180,32016,9900,34380.0,58500,21230,4830,13570,17837,4930.0,41440,15330,12490,62820,26420,45870,7010,114990,22210,3010,11910,60490.0,4860.0,10390,27040,15950,20800.0,25700,46610,14881,22790.0,9140,78990,11710,59820,7350.0,9370,13510,11480,11651,90656,11960,108840,11300,90310,30540,69460,6770,15990,10240,3120.0
2019-01-17,2980,21610,10660,3570.0,19030,10060,9140.0,10130,8130,20670,64950,42700,20500.0,32820,3130,7420.0,6150,21340,14410,10470.0,13980,10300.0,49640,26650,66500.0,8400.0,14720,35590,18140,29236,21320,3910,8140,31626,9900,34650.0,58140,21030,4790,13600,17547,5100.0,41080,15140,12320,61710,25470,45210,6700,114494,22030,2950,12000,60490.0,4700.0,10330,27040,15870,20710.0,25830,45750,14881,22790.0,9230,80650,11460,59610,7130.0,9260,13480,11480,11455,90656,12070,106790,11200,89760,30060,69870,6780,15960,10530,3120.0
2019-01-18,3180,21360,10420,3570.0,18640,9910,9040.0,10240,8130,20440,65600,44010,20700.0,32350,3070,7420.0,6160,21600,15300,10500.0,14260,10230.0,50190,26750,65209.0,8580.0,14640,35330,18140,28410,21150,3910,8180,31737,9790,34520.0,58650,21400,4810,13530,17007,5010.0,41440,15140,12150,61710,26420,44970,6800,114197,21940,2990,12380,60400.0,4690.0,10300,26750,15750,20800.0,25580,45350,14500,22340.0,9050,80650,11430,60240,7820.0,9330,13480,10790,11298,90834,11960,106790,11250,90980,29940,70730,6670,15890,10380,3120.0
2019-01-21,3380,21850,10660,3700.0,18520,10360,9330.0,10360,8650,20860,65430,44830,20700.0,32490,3110,7420.0,6160,21690,15750,10980.0,13860,10230.0,50490,27400,66740.0,8660.0,15130,35980,18370,28459,21920,3910,8250,31793,9930,32650.0,58650,21800,4730,13610,16759,5070.0,42410,14820,12990,62750,26500,45700,7050,114197,21940,3000,12800,58770.0,4650.0,10350,26540,15840,20430.0,24940,46610,14643,22540.0,9050,80740,11640,59820,8420.0,9500,13540,11160,11298,91011,11140,106790,11700,90850,29380,71320,6520,15890,10590,3210.0
2019-01-22,3370,21940,10730,3700.0,17820,10210,9200.0,10340,8480,21370,64860,44480,20750.0,32350,3090,7420.0,6260,21690,15470,10740.0,14010,10230.0,50250,26800,68110.0,8310.0,14890,35590,18300,28119,21860,3850,8250,31682,9760,31780.0,57990,21600,4750,14130,15763,5040.0,43430,14820,13050,62190,26050,44220,6930,113999,20960,2790,12730,62850.0,4350.0,10090,26570,16149,21170.0,25440,46050,14786,22340.0,9050,78990,11610,59820,8420.0,9650,13420,11040,11377,91011,10380,106470,11750,90980,29440,71570,6480,15990,11300,3120.0
2019-01-23,3550,21920,10730,3680.0,17180,10360,9200.0,10540,8520,21870,63170,43930,20850.0,32350,3120,7420.0,6230,21510,16030,10710.0,14050,10230.0,50250,26550,68110.0,8310.0,14890,35720,18300,28265,21820,3850,8570,31849,9720,30390.0,57990,21600,4790,14560,16841,5010.0,43290,14620,13320,62400,26570,43970,7020,114494,21610,2800,12480,62770.0,4430.0,10090,26500,16149,20890.0,25580,46000,14786,22270.0,9140,79250,11560,60450,8420.0,9620,13420,10990,11298,91189,10530,106470,12150,91320,29680,70890,6390,15990,11440,3170.0
2019-01-24,3600,21700,10900,3670.0,17480,10280,9230.0,10470,8730,21680,63170,42490,20850.0,32350,3070,7420.0,6210,21160,15860,10380.0,13860,10160.0,49640,26650,65140.0,8400.0,15060,35720,18340,28362,21690,3780,8360,31793,9760,31320.0,57410,21930,4750,14260,17298,5010.0,43870,14500,13650,62270,26350,43970,7130,116973,22170,2780,12520,60160.0,4390.0,10160,26500,16070,21080.0,25000,46100,14690,22220.0,9050,79250,11610,60450,8390.0,9600,13670,10990,11337,91367,10380,106110,12200,92000,29680,71070,6480,15990,11370,3170.0
2019-01-25,3600,21700,10860,3710.0,17650,10280,9230.0,10410,8710,22100,63410,42140,20850.0,32350,3090,7420.0,6200,21250,15510,10630.0,13460,10230.0,49400,26650,65980.0,8130.0,15060,35980,18320,28362,21390,3850,8310,31737,9860,29120.0,56830,21930,4710,14190,17007,4980.0,42540,14620,13490,62060,26130,44470,7070,121433,21200,2770,12520,60160.0,4140.0,10160,26380,16149,20520.0,25000,46760,14690,22220.0,8960,80650,11910,60450,8540.0,9600,13640,11520,11259,91456,10530,106110,12300,92280,29630,71820,6380,15960,11300,3170.0
2019-01-28,3360,22620,11170,3680.0,17520,10320,9140.0,10430,8670,21370,64060,42280,20900.0,32350,3100,7420.0,6200,21160,15680,10230.0,13640,10230.0,49590,26200,68480.0,8400.0,15390,35780,18180,28410,21290,3850,8280,31793,10000,29850.0,58720,21930,4730,14000,16924,4930.0,39850,14560,13590,62060,25610,44220,6950,121433,21290,2790,12520,60080.0,3900.0,10240,26500,16149,21170.0,24940,47880,15024,23120.0,8960,81710,11840,60030,8510.0,9620,13570,11360,11180,92167,10490,106110,12250,92690,28710,70890,6380,16020,11300,3170.0
