"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","62,000","63,000","63,300","62,000","411.90K","-2.67%"
"12/14/2023","63,700","63,800","64,000","63,000","348.30K","-0.31%"
"12/13/2023","63,900","64,200","64,500","63,500","440.20K","-0.78%"
"12/12/2023","64,400","65,000","65,300","64,100","336.50K","-1.08%"
"12/11/2023","65,100","65,100","65,900","63,900","453.60K","0.15%"
"12/08/2023","65,000","64,500","67,000","64,400","514.30K","0.31%"
"12/07/2023","64,800","67,700","67,700","63,300","670.90K","-1.82%"
"12/06/2023","66,000","67,700","67,700","64,600","716.20K","4.27%"
"12/05/2023","63,300","61,000","63,300","60,000","1.17M","6.93%"
"12/04/2023","59,200","58,000","59,800","57,600","667.40K","1.72%"
"12/01/2023","58,200","57,400","58,200","57,200","252.90K","0.00%"
"11/30/2023","58,200","57,700","58,200","57,400","330.10K","0.00%"
"11/29/2023","58,200","58,800","58,800","57,500","229.50K","-0.51%"
"11/28/2023","58,500","58,300","58,500","57,100","262.60K","0.00%"
"11/27/2023","58,500","57,119","58,500","56,823","216.30K","0.85%"
"11/24/2023","58,007","57,809","58,007","56,231","349.50K","-0.17%"
"11/23/2023","58,105","59,289","59,486","58,105","365.30K","-1.67%"
"11/22/2023","59,092","59,881","59,881","58,697","274.20K","-0.50%"
"11/21/2023","59,388","61,065","61,065","59,388","328.90K","-1.95%"
"11/20/2023","60,572","59,782","60,572","59,388","383.60K","0.00%"
"11/17/2023","60,572","62,051","62,051","59,782","429.40K","-1.60%"
"11/16/2023","61,558","61,657","61,657","60,473","298.80K","0.64%"
"11/15/2023","61,164","59,486","62,051","59,486","526.20K","1.94%"
"11/14/2023","60,000","59,800","60,200","59,300","263.50K","0.33%"
"11/13/2023","59,800","60,200","60,200","59,200","294.30K","-0.99%"
"11/10/2023","60,400","60,000","60,500","59,500","335.70K","-0.98%"
"11/09/2023","61,000","59,500","61,200","59,000","355.50K","2.35%"
"11/08/2023","59,600","57,600","59,600","57,200","284.90K","2.41%"
"11/07/2023","58,200","59,400","59,400","58,000","240.60K","-2.02%"
"11/06/2023","59,400","58,000","59,400","57,700","263.60K","1.54%"
"11/03/2023","58,500","59,300","59,300","57,400","216.20K","-0.51%"
"11/02/2023","58,800","57,700","58,800","56,700","265.20K","1.38%"
"11/01/2023","58,000","57,000","58,000","56,500","166.40K","-1.02%"
"10/31/2023","58,600","59,000","59,000","56,600","206.00K","-1.51%"
"10/30/2023","59,500","57,100","59,500","57,100","76.50K","0.85%"
"10/27/2023","59,000","59,300","59,300","56,500","213.20K","-1.01%"
"10/26/2023","59,600","62,000","62,000","58,900","216.50K","-4.79%"
"10/25/2023","62,600","62,400","63,300","62,300","155.50K","-1.26%"
"10/24/2023","63,400","63,000","63,400","62,000","200.50K","-0.31%"
"10/23/2023","63,600","63,300","63,600","62,000","152.10K","-1.55%"
"10/20/2023","64,600","63,000","64,600","62,000","171.40K","2.54%"
"10/19/2023","63,000","63,700","63,700","62,000","154.30K","0.32%"
"10/18/2023","62,800","63,900","64,500","61,700","299.80K","-2.18%"
"10/17/2023","64,200","66,000","66,100","64,200","316.40K","-2.28%"
"10/16/2023","65,700","66,600","67,800","65,700","295.20K","-1.50%"
"10/13/2023","66,700","67,000","67,100","66,200","249.70K","-1.33%"
"10/12/2023","67,600","68,200","68,200","67,100","296.70K","-1.02%"
"10/11/2023","68,300","68,800","68,800","67,600","169.00K","-0.87%"
"10/10/2023","68,900","68,900","68,900","68,300","141.10K","0.00%"
"10/09/2023","68,900","69,400","69,400","68,400","96.40K","-0.86%"
"10/06/2023","69,500","68,500","69,500","67,600","161.40K","0.87%"
"10/05/2023","68,900","68,100","69,000","67,400","86.60K","-0.14%"
"10/04/2023","69,000","66,500","69,000","66,500","126.60K","0.73%"
"10/03/2023","68,500","68,100","68,500","67,100","138.20K","-1.30%"
"10/02/2023","69,400","69,700","69,700","68,100","101.30K","-0.14%"
"09/29/2023","69,500","67,900","69,500","67,000","186.50K","3.42%"
"09/28/2023","67,200","68,000","68,000","65,100","133.90K","1.51%"
"09/27/2023","66,200","65,100","66,200","64,000","234.00K","0.46%"
"09/26/2023","65,900","67,500","67,900","65,900","237.80K","-3.09%"
"09/25/2023","68,000","69,000","69,100","67,200","249.70K","-2.16%"
"09/22/2023","69,500","69,100","69,500","67,400","333.00K","-1.56%"
"09/21/2023","70,600","71,000","71,000","69,000","366.80K","0.86%"
"09/20/2023","70,000","67,000","70,000","66,700","261.00K","2.94%"
"09/19/2023","68,000","67,900","68,000","66,000","296.00K","0.00%"
"09/18/2023","68,000","68,100","69,300","66,900","294.80K","-1.45%"
"09/15/2023","69,000","70,000","70,000","68,500","320.60K","-1.85%"
"09/14/2023","70,300","70,000","70,900","69,100","311.90K","-0.99%"
"09/13/2023","71,000","71,100","71,300","70,100","515.50K","-1.11%"
"09/12/2023","71,800","70,700","71,800","70,200","274.30K","1.13%"
"09/11/2023","71,000","73,000","73,500","71,000","383.10K","-2.20%"
"09/08/2023","72,600","70,900","72,900","70,100","419.40K","2.25%"
"09/07/2023","71,000","71,300","71,300","70,200","284.10K","-0.28%"
"09/06/2023","71,200","71,300","71,300","70,000","320.80K","-0.14%"
"09/05/2023","71,300","72,200","72,200","71,000","256.60K","-1.25%"
