"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","39,500.0","40,150.0","40,200.0","39,500.0","533.60K","-1.62%"
"12/14/2023","40,150.0","40,600.0","40,650.0","40,150.0","313.00K","-0.86%"
"12/13/2023","40,500.0","40,100.0","41,050.0","40,100.0","900.30K","1.00%"
"12/12/2023","40,100.0","40,050.0","40,300.0","40,000.0","324.20K","0.12%"
"12/11/2023","40,050.0","39,600.0","40,100.0","39,550.0","396.00K","1.26%"
"12/08/2023","39,550.0","39,700.0","39,800.0","39,300.0","214.40K","-0.13%"
"12/07/2023","39,600.0","40,050.0","40,100.0","39,400.0","466.80K","-1.12%"
"12/06/2023","40,050.0","39,800.0","40,300.0","39,750.0","361.30K","0.63%"
"12/05/2023","39,800.0","40,200.0","40,200.0","39,650.0","292.80K","-0.50%"
"12/04/2023","40,000.0","39,950.0","40,250.0","39,750.0","399.70K","0.76%"
"12/01/2023","39,700.0","39,650.0","40,000.0","39,350.0","211.20K","1.79%"
"11/30/2023","39,000.0","39,600.0","40,150.0","39,000.0","386.70K","-1.76%"
"11/29/2023","39,700.0","39,600.0","39,950.0","39,500.0","269.20K","0.25%"
"11/28/2023","39,600.0","38,850.0","39,600.0","38,850.0","248.60K","1.93%"
"11/27/2023","38,850.0","39,400.0","39,800.0","38,800.0","315.00K","-3.48%"
"11/24/2023","40,250.0","40,500.0","40,650.0","39,800.0","413.60K","-0.62%"
"11/23/2023","40,500.0","41,000.0","41,150.0","40,500.0","292.70K","-0.86%"
"11/22/2023","40,850.0","40,800.0","40,950.0","40,500.0","242.70K","0.12%"
"11/21/2023","40,800.0","41,000.0","41,000.0","40,750.0","212.00K","0.00%"
"11/20/2023","40,800.0","40,400.0","41,050.0","40,400.0","246.30K","-0.12%"
"11/17/2023","40,850.0","41,700.0","41,850.0","40,850.0","407.80K","-1.09%"
"11/16/2023","41,300.0","40,900.0","41,700.0","40,900.0","483.50K","0.98%"
"11/15/2023","40,900.0","41,350.0","41,500.0","40,800.0","556.20K","0.25%"
"11/14/2023","40,800.0","40,650.0","41,000.0","40,450.0","295.80K","0.62%"
"11/13/2023","40,550.0","40,600.0","40,800.0","40,400.0","143.30K","-0.12%"
"11/10/2023","40,600.0","40,900.0","40,950.0","40,600.0","247.10K","-0.98%"
"11/09/2023","41,000.0","41,050.0","41,500.0","41,000.0","394.00K","0.00%"
"11/08/2023","41,000.0","40,400.0","41,000.0","40,000.0","352.50K","1.49%"
"11/07/2023","40,400.0","40,600.0","40,650.0","40,300.0","162.20K","-0.74%"
"11/06/2023","40,700.0","40,500.0","40,850.0","40,400.0","191.80K","0.74%"
"11/03/2023","40,400.0","40,600.0","40,750.0","40,200.0","196.60K","-0.49%"
"11/02/2023","40,600.0","39,350.0","40,600.0","39,100.0","488.10K","4.10%"
"11/01/2023","39,000.0","39,000.0","39,500.0","38,600.0","255.80K","0.26%"
"10/31/2023","38,900.0","39,500.0","39,600.0","38,900.0","373.70K","-0.64%"
"10/30/2023","39,150.0","39,500.0","39,700.0","39,000.0","155.40K","-0.89%"
"10/27/2023","39,500.0","39,100.0","39,600.0","39,000.0","460.80K","1.15%"
"10/26/2023","39,050.0","40,300.0","40,500.0","38,800.0","646.50K","-4.41%"
"10/25/2023","40,850.0","40,750.0","41,100.0","40,750.0","154.10K","0.25%"
"10/24/2023","40,750.0","40,750.0","40,800.0","40,300.0","128.50K","0.62%"
"10/23/2023","40,500.0","41,000.0","41,000.0","40,300.0","202.10K","-1.22%"
"10/20/2023","41,000.0","40,250.0","41,150.0","40,150.0","210.80K","1.99%"
"10/19/2023","40,200.0","40,600.0","40,900.0","40,200.0","342.30K","-1.59%"
"10/18/2023","40,850.0","41,550.0","41,600.0","40,500.0","467.10K","-1.68%"
"10/17/2023","41,550.0","41,750.0","42,050.0","41,550.0","173.60K","-0.24%"
"10/16/2023","41,650.0","42,300.0","42,300.0","41,300.0","331.20K","-1.54%"
"10/13/2023","42,300.0","42,600.0","42,600.0","42,000.0","210.40K","-0.82%"
"10/12/2023","42,650.0","42,700.0","42,800.0","42,550.0","239.80K","0.12%"
"10/11/2023","42,600.0","42,400.0","42,700.0","42,400.0","121.70K","0.12%"
"10/10/2023","42,550.0","42,450.0","42,750.0","42,250.0","258.60K","0.83%"
"10/09/2023","42,200.0","42,000.0","42,300.0","41,850.0","222.60K","0.72%"
"10/06/2023","41,900.0","41,900.0","42,150.0","41,500.0","245.10K","0.00%"
"10/05/2023","41,900.0","42,500.0","42,500.0","41,900.0","174.80K","-0.36%"
"10/04/2023","42,050.0","41,600.0","42,400.0","41,500.0","378.30K","0.48%"
"10/03/2023","41,850.0","42,050.0","42,350.0","41,800.0","647.90K","-0.95%"
