"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","96,200.0","96,200.0","96,300.0","95,000.0","1.47M","0.00%"
"12/14/2023","96,200.0","95,800.0","96,400.0","95,200.0","1.71M","1.05%"
"12/13/2023","95,200.0","97,400.0","97,400.0","95,200.0","2.15M","-1.65%"
"12/12/2023","96,800.0","95,400.0","96,800.0","95,300.0","4.08M","1.89%"
"12/11/2023","95,000.0","95,500.0","95,700.0","94,600.0","1.56M","0.85%"
"12/08/2023","94,200.0","94,300.0","95,100.0","93,500.0","1.75M","-0.11%"
"12/07/2023","94,300.0","95,100.0","95,300.0","92,800.0","3.76M","-0.74%"
"12/06/2023","95,000.0","95,000.0","95,400.0","94,100.0","1.22M","0.21%"
"12/05/2023","94,800.0","93,800.0","95,800.0","93,700.0","3.59M","1.28%"
"12/04/2023","93,600.0","92,600.0","94,000.0","92,600.0","3.46M","1.30%"
"12/01/2023","92,400.0","92,200.0","92,900.0","91,300.0","1.19M","0.54%"
"11/30/2023","91,900.0","91,400.0","93,700.0","91,300.0","1.98M","0.22%"
"11/29/2023","91,700.0","91,600.0","92,000.0","91,100.0","801.50K","0.66%"
"11/28/2023","91,100.0","90,800.0","91,900.0","89,900.0","1.09M","0.44%"
"11/27/2023","90,700.0","91,400.0","91,400.0","90,100.0","1.66M","-0.55%"
"11/24/2023","91,200.0","90,800.0","92,000.0","90,200.0","2.25M","0.44%"
"11/23/2023","90,800.0","93,300.0","93,700.0","90,800.0","2.17M","-2.37%"
"11/22/2023","93,000.0","91,900.0","93,100.0","91,900.0","3.27M","1.20%"
"11/21/2023","91,900.0","92,000.0","92,000.0","90,700.0","1.46M","1.32%"
"11/20/2023","90,700.0","90,100.0","92,600.0","89,100.0","1.66M","-0.33%"
"11/17/2023","91,000.0","93,400.0","93,500.0","90,600.0","3.57M","-2.15%"
"11/16/2023","93,000.0","92,200.0","93,000.0","91,600.0","1.91M","0.65%"
"11/15/2023","92,400.0","93,700.0","93,800.0","92,000.0","2.42M","-0.22%"
"11/14/2023","92,600.0","92,000.0","93,400.0","91,300.0","2.00M","1.31%"
"11/13/2023","91,400.0","91,600.0","92,000.0","90,500.0","1.53M","-0.11%"
"11/10/2023","91,500.0","91,500.0","92,700.0","91,300.0","2.41M","-1.08%"
"11/09/2023","92,500.0","92,000.0","93,300.0","91,800.0","2.11M","-0.11%"
"11/08/2023","92,600.0","88,200.0","92,600.0","88,000.0","2.94M","4.87%"
"11/07/2023","88,300.0","88,500.0","88,800.0","87,900.0","1.34M","-0.23%"
"11/06/2023","88,500.0","88,200.0","88,900.0","87,800.0","1.21M","1.72%"
"11/03/2023","87,000.0","89,000.0","89,200.0","87,000.0","4.84M","-2.25%"
"11/02/2023","89,000.0","86,400.0","89,000.0","85,900.0","2.20M","4.22%"
"11/01/2023","85,400.0","84,300.0","85,400.0","82,600.0","2.18M","2.89%"
"10/31/2023","83,000.0","85,100.0","85,300.0","83,000.0","3.09M","-2.35%"
"10/30/2023","85,000.0","87,000.0","87,100.0","85,000.0","1.87M","-2.30%"
"10/27/2023","87,000.0","87,500.0","88,000.0","86,300.0","2.03M","0.23%"
"10/26/2023","86,800.0","88,300.0","89,900.0","86,000.0","5.91M","-4.51%"
"10/25/2023","90,900.0","91,800.0","92,700.0","90,900.0","1.84M","-1.20%"
"10/24/2023","92,000.0","92,400.0","92,400.0","90,800.0","1.61M","1.10%"
"10/23/2023","91,000.0","93,800.0","93,800.0","90,800.0","1.97M","-2.05%"
"10/20/2023","92,900.0","92,500.0","93,000.0","90,100.0","2.86M","0.98%"
"10/19/2023","92,000.0","94,000.0","94,300.0","92,000.0","3.03M","-1.08%"
"10/18/2023","93,000.0","94,900.0","94,900.0","91,000.0","6.14M","-0.11%"
"10/17/2023","93,100.0","97,800.0","97,800.0","93,100.0","2.42M","-3.82%"
"10/16/2023","96,800.0","96,800.0","98,900.0","96,300.0","4.97M","0.73%"
"10/13/2023","96,100.0","96,000.0","96,300.0","95,300.0","2.36M","-0.31%"
"10/12/2023","96,400.0","97,000.0","97,800.0","96,000.0","1.88M","-0.62%"
"10/11/2023","97,000.0","95,900.0","98,000.0","95,900.0","2.36M","0.73%"
"10/10/2023","96,300.0","96,500.0","97,200.0","95,400.0","3.26M","0.73%"
"10/09/2023","95,600.0","92,400.0","95,600.0","92,200.0","3.66M","3.13%"
"10/06/2023","92,700.0","91,500.0","92,800.0","91,000.0","1.15M","1.20%"
"10/05/2023","91,600.0","92,800.0","93,300.0","91,600.0","1.37M","-0.97%"
"10/04/2023","92,500.0","91,300.0","93,400.0","91,300.0","1.59M","0.33%"
"10/03/2023","92,200.0","92,200.0","93,500.0","91,500.0","2.01M","-1.07%"
"10/02/2023","93,200.0","93,400.0","93,800.0","92,000.0","1.14M","0.43%"
"09/29/2023","92,800.0","94,000.0","94,900.0","92,800.0","1.64M","-1.28%"
"09/28/2023","94,000.0","94,100.0","94,300.0","91,400.0","1.76M","-0.32%"
"09/27/2023","94,300.0","93,900.0","94,300.0","90,400.0","4.51M","0.86%"
"09/26/2023","93,500.0","94,200.0","95,500.0","93,100.0","2.15M","-0.85%"
"09/25/2023","94,300.0","97,000.0","97,600.0","94,300.0","2.10M","-2.48%"
"09/22/2023","96,700.0","95,100.0","97,000.0","92,600.0","6.86M","-0.10%"
"09/21/2023","96,800.0","98,500.0","98,900.0","96,300.0","3.42M","-1.73%"
"09/20/2023","98,500.0","98,800.0","99,700.0","98,500.0","2.44M","0.10%"
"09/19/2023","98,400.0","96,800.0","98,400.0","95,900.0","3.58M","1.55%"
"09/18/2023","96,900.0","96,900.0","96,900.0","95,700.0","2.03M","-0.62%"
"09/15/2023","97,500.0","96,000.0","97,800.0","95,300.0","2.13M","1.67%"
"09/14/2023","95,900.0","98,000.0","98,000.0","95,500.0","2.32M","-2.14%"
"09/13/2023","98,000.0","98,900.0","99,000.0","97,400.0","2.89M","-0.91%"
"09/12/2023","98,900.0","97,400.0","98,900.0","97,400.0","2.68M","1.54%"
"09/11/2023","97,400.0","98,700.0","99,500.0","95,300.0","5.15M","-0.20%"
"09/08/2023","97,600.0","97,500.0","98,500.0","97,000.0","2.12M","-0.31%"
"09/07/2023","97,900.0","99,000.0","100,800.0","97,600.0","3.25M","-1.11%"
"09/06/2023","99,000.0","97,100.0","99,000.0","96,300.0","2.49M","2.27%"
"09/05/2023","96,800.0","97,100.0","98,700.0","96,800.0","1.44M","0.10%"
"08/31/2023","96,700.0","96,600.0","97,500.0","96,100.0","1.40M","0.10%"
"08/30/2023","96,600.0","93,200.0","98,200.0","93,100.0","2.36M","3.21%"
"08/29/2023","93,600.0","94,000.0","94,000.0","92,800.0","1.55M","-0.43%"
"08/28/2023","94,000.0","92,000.0","94,300.0","91,000.0","2.95M","3.75%"
"08/25/2023","90,600.0","89,500.0","91,000.0","89,100.0","2.79M","0.67%"
"08/24/2023","90,000.0","85,500.0","90,100.0","85,100.0","5.25M","4.05%"
"08/23/2023","86,500.0","86,400.0","86,800.0","84,700.0","1.42M","0.00%"
"08/22/2023","86,500.0","86,300.0","86,500.0","83,000.0","2.33M","0.70%"
"08/21/2023","85,900.0","85,900.0","86,700.0","85,500.0","2.45M","0.47%"
"08/18/2023","85,500.0","85,600.0","87,900.0","84,300.0","3.94M","-0.58%"
"08/17/2023","86,000.0","85,000.0","87,200.0","85,000.0","3.69M","1.06%"
"08/16/2023","85,100.0","83,200.0","85,200.0","83,200.0","2.60M","1.31%"
"08/15/2023","84,000.0","82,600.0","84,300.0","81,500.0","1.68M","1.69%"
"08/14/2023","82,600.0","82,100.0","83,200.0","82,000.0","1.01M","0.73%"
"08/11/2023","82,000.0","82,000.0","83,000.0","81,500.0","1.14M","-0.24%"
"08/10/2023","82,200.0","83,100.0","83,300.0","82,200.0","1.34M","-1.08%"
"08/09/2023","83,100.0","84,000.0","84,700.0","83,000.0","982.70K","-1.31%"
