"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","19,900","19,850","20,100","19,650","961.60K","0.25%"
"12/14/2023","19,850","20,150","20,200","19,800","1.06M","-0.50%"
"12/13/2023","19,950","20,350","20,550","19,950","1.92M","-1.97%"
"12/12/2023","20,350","20,450","20,700","20,350","1.28M","0.00%"
"12/11/2023","20,350","20,150","20,350","20,000","1.13M","1.50%"
"12/08/2023","20,050","20,200","20,400","20,000","1.28M","-0.74%"
"12/07/2023","20,200","20,800","20,800","19,950","3.41M","-2.88%"
"12/06/2023","20,800","20,700","20,800","20,500","1.85M","0.97%"
"12/05/2023","20,600","20,650","20,850","20,450","2.61M","0.00%"
"12/04/2023","20,600","20,350","20,850","20,300","3.14M","2.23%"
"12/01/2023","20,150","20,000","20,200","19,800","1.18M","0.75%"
"11/30/2023","20,000","19,800","20,400","19,800","3.41M","0.76%"
"11/29/2023","19,850","19,700","19,900","19,550","1.37M","1.28%"
"11/28/2023","19,600","19,400","19,600","18,900","1.26M","1.55%"
"11/27/2023","19,300","19,600","19,800","19,300","1.35M","-1.28%"
"11/24/2023","19,550","19,300","19,550","18,750","2.20M","1.30%"
"11/23/2023","19,300","20,350","20,350","19,300","2.78M","-4.22%"
"11/22/2023","20,150","20,100","20,200","19,800","3.15M","0.50%"
"11/21/2023","20,050","20,300","20,300","19,850","1.34M","0.25%"
"11/20/2023","20,000","19,200","20,100","19,000","2.99M","2.83%"
"11/17/2023","19,450","19,800","20,350","19,100","3.49M","-1.27%"
"11/16/2023","19,700","19,700","19,700","19,400","936.20K","1.03%"
"11/15/2023","19,500","20,089","20,089","19,500","2.59M","0.76%"
"11/14/2023","19,353","19,451","19,451","19,009","1.36M","1.29%"
"11/13/2023","19,107","19,156","19,304","18,812","1.63M","0.52%"
"11/10/2023","19,009","18,960","19,598","18,960","2.24M","-1.78%"
"11/09/2023","19,353","19,549","19,844","19,254","2.56M","0.00%"
"11/08/2023","19,353","18,174","19,353","18,026","2.53M","6.78%"
"11/07/2023","18,125","18,027","18,616","17,830","1.63M","-0.27%"
"11/06/2023","18,174","18,272","18,469","17,928","939.20K","-1.76%"
"11/03/2023","18,500","18,650","18,700","18,200","1.25M","0.00%"
"11/02/2023","18,500","17,550","18,500","17,550","2.15M","6.94%"
"11/01/2023","17,300","16,900","17,400","16,450","1.48M","2.37%"
"10/31/2023","16,900","18,200","18,200","16,850","2.31M","-6.11%"
"10/30/2023","18,000","19,300","19,300","18,000","2.35M","-6.74%"
"10/27/2023","19,300","19,500","19,500","18,300","1.47M","1.05%"
"10/26/2023","19,100","20,000","20,300","19,100","4.30M","-6.83%"
"10/25/2023","20,500","20,550","20,900","20,500","2.49M","0.24%"
"10/24/2023","20,450","19,900","20,500","19,700","1.73M","3.54%"
"10/23/2023","19,750","20,550","20,600","19,550","2.48M","-3.66%"
"10/20/2023","20,500","20,100","20,700","19,450","2.90M","2.50%"
"10/19/2023","20,000","19,850","20,500","19,700","3.13M","0.00%"
"10/18/2023","20,000","20,600","21,000","19,500","3.60M","-0.99%"
"10/17/2023","20,200","21,650","21,900","20,200","3.99M","-5.83%"
"10/16/2023","21,450","21,450","21,950","21,300","3.66M","0.23%"
"10/13/2023","21,400","20,650","21,450","20,600","4.29M","2.64%"
"10/12/2023","20,850","20,750","21,150","20,750","3.52M","0.72%"
"10/11/2023","20,700","20,100","20,700","20,050","2.19M","3.24%"
"10/10/2023","20,050","20,650","20,650","20,050","3.35M","-1.72%"
"10/09/2023","20,400","20,400","20,650","20,050","2.44M","0.99%"
"10/06/2023","20,200","19,800","20,350","19,450","2.40M","2.02%"
"10/05/2023","19,800","19,700","20,300","19,650","4.02M","1.54%"
"10/04/2023","19,500","19,050","19,750","18,800","2.05M","2.63%"
"10/03/2023","19,000","20,000","20,150","19,000","3.93M","-6.86%"
"10/02/2023","20,400","19,700","20,400","19,500","2.74M","4.62%"
"09/29/2023","19,500","19,900","20,150","19,500","1.96M","-0.51%"
"09/28/2023","19,600","19,850","19,850","19,400","2.07M","-1.26%"
"09/27/2023","19,850","19,100","19,850","18,550","4.36M","4.75%"
"09/26/2023","18,950","20,300","20,800","18,950","7.15M","-6.88%"
"09/25/2023","20,350","21,800","22,400","20,350","4.89M","-6.86%"
"09/22/2023","21,850","22,900","22,900","21,850","5.38M","-5.82%"
"09/21/2023","23,200","23,300","23,700","23,050","4.68M","0.43%"
"09/20/2023","23,100","22,450","23,100","22,200","6.51M","3.59%"
"09/19/2023","22,300","22,050","22,300","21,700","2.54M","0.68%"
"09/18/2023","22,150","22,750","22,800","21,550","4.33M","-1.99%"
"09/15/2023","22,600","22,300","23,000","21,900","3.13M","2.73%"
"09/14/2023","22,000","22,450","22,500","21,950","2.62M","-1.35%"
"09/13/2023","22,300","22,800","23,200","22,200","5.67M","-1.76%"
"09/12/2023","22,700","21,900","22,700","21,650","2.39M","4.37%"
"09/11/2023","21,750","23,250","23,250","21,750","4.41M","-4.19%"
"09/08/2023","22,700","22,150","23,200","22,150","3.40M","1.34%"
"09/07/2023","22,400","22,200","22,850","22,200","5.15M","1.82%"
"09/06/2023","22,000","22,150","22,200","21,650","3.42M","0.00%"
"09/05/2023","22,000","22,250","22,350","21,850","3.27M","0.69%"
"08/31/2023","21,850","20,850","21,850","20,750","5.98M","5.56%"
"08/30/2023","20,700","20,650","20,850","20,200","2.16M","0.24%"
"08/29/2023","20,650","20,450","20,850","20,350","2.32M","2.23%"
"08/28/2023","20,200","19,800","20,250","19,650","2.41M","2.80%"
"08/25/2023","19,650","19,800","19,950","19,600","1.64M","-0.76%"
"08/24/2023","19,800","19,200","19,850","19,150","1.84M","3.13%"
"08/23/2023","19,200","19,500","19,600","19,150","1.00M","0.79%"
"08/22/2023","19,050","19,100","19,500","18,200","2.99M","-1.30%"
"08/21/2023","19,300","19,500","19,550","18,850","3.05M","-2.77%"
"08/18/2023","19,850","21,250","21,300","19,850","4.87M","-6.81%"
"08/17/2023","21,300","21,500","21,700","21,250","2.63M","-0.23%"
"08/16/2023","21,350","21,350","21,650","21,350","2.04M","-0.47%"
"08/15/2023","21,450","21,600","21,850","21,450","2.44M","-0.46%"
"08/14/2023","21,550","21,400","21,650","21,150","2.16M","2.13%"
"08/11/2023","21,100","21,450","21,650","20,500","3.91M","-1.63%"
"08/10/2023","21,450","22,050","22,250","21,450","3.05M","-3.16%"
"08/09/2023","22,150","22,500","22,700","22,150","2.61M","-1.99%"
"08/08/2023","22,600","22,800","22,850","22,350","2.68M","-0.44%"
"08/07/2023","22,700","22,000","22,800","22,000","4.32M","3.65%"
"08/04/2023","21,900","21,900","22,000","21,650","2.35M","0.46%"
"08/03/2023","21,800","21,900","22,350","21,700","1.91M","-0.46%"
"08/02/2023","21,900","21,800","22,000","21,700","2.04M","-0.45%"
"08/01/2023","22,000","22,400","22,550","21,950","3.02M","-1.57%"
"07/31/2023","22,350","22,300","22,600","22,000","2.67M","1.59%"
"07/28/2023","22,000","21,750","22,150","21,550","3.96M","1.38%"
"07/27/2023","21,700","21,550","21,800","21,450","2.59M","0.46%"
"07/26/2023","21,600","21,800","21,900","21,500","2.30M","-0.92%"
"07/25/2023","21,800","22,200","22,300","21,800","2.34M","-1.80%"
"07/24/2023","22,200","22,200","22,500","21,900","1.99M","0.91%"
"07/21/2023","22,000","21,600","22,250","21,350","2.07M","2.33%"
"07/20/2023","21,500","21,700","21,800","21,050","3.17M","-0.92%"
"07/19/2023","21,700","21,800","22,300","21,700","3.18M","-0.69%"
"07/18/2023","21,850","22,100","22,100","21,700","1.47M","-0.68%"
"07/17/2023","22,000","21,500","22,300","21,450","2.70M","1.85%"
"07/14/2023","21,600","21,700","21,700","21,350","2.39M","-0.23%"
"07/13/2023","21,650","21,500","21,700","21,400","2.50M","0.23%"
"07/12/2023","21,600","21,600","21,600","21,200","3.02M","0.47%"
"07/11/2023","21,500","21,400","21,700","21,250","3.50M","1.18%"
"07/10/2023","21,250","21,250","21,600","21,050","4.11M","0.00%"
"07/07/2023","21,250","20,600","21,300","20,400","3.95M","2.66%"
"07/06/2023","20,700","20,100","20,750","19,950","4.82M","2.99%"
"07/05/2023","20,100","20,350","20,700","20,100","5.03M","-0.99%"
"07/04/2023","20,300","20,100","20,300","19,950","2.82M","0.74%"
"07/03/2023","20,150","19,550","20,150","19,450","5.81M","3.87%"
"06/30/2023","19,400","19,150","19,400","18,850","3.11M","1.84%"
"06/29/2023","19,050","19,100","19,400","18,950","2.83M","-1.30%"
"06/28/2023","19,300","19,600","19,800","19,150","2.68M","-1.53%"
"06/27/2023","19,600","19,700","19,900","19,450","3.25M","0.00%"
"06/26/2023","19,600","19,000","19,600","18,500","4.85M","3.16%"
"06/23/2023","19,000","19,350","19,500","18,950","3.35M","-1.81%"
"06/22/2023","19,350","19,650","19,650","19,200","2.91M","-0.77%"
"06/21/2023","19,500","18,900","19,500","18,650","7.49M","3.72%"
"06/20/2023","18,800","18,000","18,800","18,000","3.51M","5.03%"
"06/19/2023","17,900","17,850","18,150","17,700","1.98M","0.56%"
"06/16/2023","17,800","18,250","18,550","17,800","4.29M","-1.39%"
