"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","34,300.0","34,500.0","34,750.0","34,300.0","447.80K","-0.15%"
"12/14/2023","34,350.0","35,000.0","35,000.0","34,100.0","441.40K","-1.01%"
"12/13/2023","34,700.0","35,400.0","35,500.0","34,700.0","939.00K","-2.12%"
"12/12/2023","35,450.0","35,650.0","35,700.0","35,100.0","547.30K","-0.56%"
"12/11/2023","35,650.0","35,900.0","35,900.0","35,200.0","371.90K","0.00%"
"12/08/2023","35,650.0","35,150.0","35,650.0","35,100.0","629.60K","1.42%"
"12/07/2023","35,150.0","35,800.0","35,800.0","34,800.0","955.70K","-2.09%"
"12/06/2023","35,900.0","35,350.0","35,950.0","35,350.0","720.70K","0.98%"
"12/05/2023","35,550.0","35,250.0","36,250.0","35,250.0","884.60K","0.14%"
"12/04/2023","35,500.0","35,700.0","35,800.0","35,200.0","934.70K","0.85%"
"12/01/2023","35,200.0","35,100.0","35,800.0","34,800.0","923.20K","0.28%"
"11/30/2023","35,100.0","35,600.0","36,000.0","35,100.0","817.30K","-1.96%"
"11/29/2023","35,800.0","33,850.0","35,800.0","33,850.0","3.14M","6.23%"
"11/28/2023","33,700.0","33,400.0","33,700.0","33,050.0","663.70K","0.30%"
"11/27/2023","33,600.0","33,400.0","34,050.0","33,400.0","630.20K","0.60%"
"11/24/2023","33,400.0","33,400.0","33,600.0","33,000.0","778.40K","-0.89%"
"11/23/2023","33,700.0","34,100.0","34,200.0","33,700.0","874.00K","-1.03%"
"11/22/2023","34,050.0","33,850.0","34,300.0","33,800.0","838.70K","0.74%"
"11/21/2023","33,800.0","33,800.0","33,950.0","33,500.0","910.90K","0.90%"
"11/20/2023","33,500.0","33,200.0","33,850.0","33,200.0","958.30K","0.00%"
"11/17/2023","33,500.0","34,500.0","34,550.0","33,500.0","897.40K","-2.76%"
"11/16/2023","34,450.0","34,200.0","34,650.0","34,000.0","790.40K","1.32%"
"11/15/2023","34,000.0","33,950.0","34,350.0","33,800.0","1.19M","1.49%"
"11/14/2023","33,500.0","33,700.0","33,750.0","33,300.0","729.20K","0.45%"
"11/13/2023","33,350.0","33,500.0","33,600.0","33,200.0","603.70K","0.00%"
"11/10/2023","33,350.0","33,650.0","34,000.0","33,350.0","744.80K","-1.77%"
"11/09/2023","33,950.0","34,300.0","34,500.0","33,950.0","843.30K","-0.73%"
"11/08/2023","34,200.0","33,200.0","34,200.0","32,950.0","968.50K","3.17%"
"11/07/2023","33,150.0","33,250.0","33,950.0","33,000.0","482.20K","-0.30%"
"11/06/2023","33,250.0","33,300.0","33,450.0","33,100.0","367.10K","0.45%"
"11/03/2023","33,100.0","33,450.0","33,500.0","33,000.0","571.80K","-0.90%"
"11/02/2023","33,400.0","32,600.0","33,550.0","32,600.0","768.40K","3.41%"
"11/01/2023","32,300.0","31,550.0","32,500.0","31,300.0","633.20K","1.25%"
"10/31/2023","31,900.0","33,300.0","33,300.0","31,500.0","980.30K","-2.89%"
"10/30/2023","32,850.0","33,000.0","33,300.0","32,850.0","267.10K","-0.45%"
"10/27/2023","33,000.0","33,000.0","33,500.0","32,200.0","636.40K","0.30%"
"10/26/2023","32,900.0","34,800.0","35,100.0","32,900.0","1.80M","-6.93%"
"10/25/2023","35,350.0","35,450.0","35,650.0","35,250.0","373.90K","-0.42%"
"10/24/2023","35,500.0","35,350.0","35,650.0","35,100.0","303.40K","0.42%"
"10/23/2023","35,350.0","35,800.0","35,850.0","35,000.0","377.00K","-0.14%"
"10/20/2023","35,400.0","35,150.0","35,450.0","34,400.0","610.40K","1.14%"
"10/19/2023","35,000.0","35,050.0","35,650.0","34,900.0","593.10K","0.00%"
"10/18/2023","35,000.0","36,150.0","36,150.0","34,450.0","1.30M","-2.78%"
"10/17/2023","36,000.0","36,800.0","36,850.0","36,000.0","1.01M","-2.17%"
"10/16/2023","36,800.0","37,500.0","37,800.0","36,800.0","1.01M","0.27%"
"10/13/2023","36,700.0","36,700.0","36,850.0","36,500.0","1.30M","0.00%"
"10/12/2023","36,700.0","37,000.0","37,500.0","36,550.0","1.06M","-0.54%"
"10/11/2023","36,900.0","36,250.0","37,000.0","36,100.0","1.35M","2.50%"
"10/10/2023","36,000.0","36,000.0","36,250.0","35,950.0","1.52M","0.84%"
"10/09/2023","35,700.0","35,800.0","35,900.0","35,450.0","1.55M","2.00%"
"10/06/2023","35,000.0","34,900.0","35,500.0","34,350.0","2.19M","1.74%"
"10/05/2023","34,400.0","36,300.0","36,300.0","34,400.0","1.53M","-5.10%"
"10/04/2023","36,250.0","35,150.0","36,400.0","35,150.0","784.60K","0.69%"
"10/03/2023","36,000.0","37,100.0","37,200.0","36,000.0","1.03M","-4.00%"
"10/02/2023","37,500.0","37,500.0","37,900.0","37,250.0","567.90K","0.00%"
"09/29/2023","37,500.0","37,750.0","37,750.0","37,150.0","435.40K","-0.66%"
"09/28/2023","37,750.0","37,050.0","37,750.0","36,800.0","1.13M","3.28%"
"09/27/2023","36,550.0","37,000.0","37,300.0","36,000.0","1.67M","-1.48%"
"09/26/2023","37,100.0","37,500.0","37,950.0","37,100.0","1.06M","-1.07%"
"09/25/2023","37,500.0","39,150.0","39,200.0","37,500.0","1.16M","-4.21%"
"09/22/2023","39,150.0","39,100.0","39,500.0","38,000.0","1.04M","-1.63%"
"09/21/2023","39,800.0","40,000.0","40,200.0","39,600.0","972.50K","-1.49%"
"09/20/2023","40,400.0","40,000.0","40,600.0","39,800.0","1.06M","1.25%"
"09/19/2023","39,900.0","39,800.0","40,000.0","39,300.0","652.80K","0.76%"
"09/18/2023","39,600.0","40,650.0","40,650.0","39,050.0","1.41M","-1.37%"
"09/15/2023","40,150.0","40,450.0","41,300.0","40,100.0","1.81M","0.38%"
"09/14/2023","40,000.0","40,600.0","40,700.0","40,000.0","1.10M","-0.74%"
"09/13/2023","40,300.0","40,300.0","41,150.0","40,000.0","2.27M","0.75%"
"09/12/2023","40,000.0","40,000.0","40,250.0","39,700.0","685.40K","0.38%"
"09/11/2023","39,850.0","39,500.0","40,600.0","39,500.0","2.04M","1.14%"
"09/08/2023","39,400.0","39,300.0","39,700.0","39,200.0","972.30K","0.13%"
"09/07/2023","39,350.0","39,400.0","39,850.0","39,250.0","832.10K","0.13%"
"09/06/2023","39,300.0","39,600.0","39,600.0","39,200.0","743.40K","0.38%"
"09/05/2023","39,150.0","39,200.0","39,450.0","39,000.0","1.24M","1.56%"
"08/31/2023","38,550.0","38,400.0","38,650.0","38,400.0","729.50K","0.39%"
"08/30/2023","38,400.0","38,300.0","38,950.0","38,300.0","803.90K","0.92%"
"08/29/2023","38,050.0","38,250.0","38,300.0","38,000.0","798.00K","-0.26%"
"08/28/2023","38,150.0","37,500.0","38,400.0","37,500.0","936.30K","1.60%"
"08/25/2023","37,550.0","37,800.0","37,900.0","37,550.0","933.80K","-0.66%"
"08/24/2023","37,800.0","37,400.0","37,800.0","37,400.0","583.80K","1.07%"
"08/23/2023","37,400.0","38,100.0","38,100.0","36,900.0","1.21M","-0.80%"
"08/22/2023","37,700.0","38,000.0","38,050.0","37,000.0","1.25M","0.53%"
"08/21/2023","37,500.0","37,200.0","37,850.0","37,150.0","877.80K","0.40%"
"08/18/2023","37,350.0","39,750.0","39,900.0","37,500.0","2.49M","-6.04%"
"08/17/2023","39,750.0","40,200.0","40,350.0","39,750.0","1.62M","-1.24%"
"08/16/2023","40,250.0","40,400.0","40,750.0","40,050.0","1.01M","-0.25%"
"08/15/2023","40,350.0","40,650.0","40,650.0","40,200.0","1.21M","-0.49%"
"08/14/2023","40,550.0","40,750.0","40,800.0","40,400.0","1.20M","-0.25%"
"08/11/2023","40,650.0","40,950.0","41,200.0","40,000.0","1.14M","-0.37%"
"08/10/2023","40,800.0","40,900.0","41,900.0","40,800.0","2.43M","0.25%"
"08/09/2023","40,700.0","41,200.0","41,200.0","40,600.0","1.24M","-0.49%"
"08/08/2023","40,900.0","40,650.0","41,150.0","40,650.0","2.95M","0.99%"
"08/07/2023","40,500.0","40,600.0","40,700.0","40,300.0","1.47M","0.50%"
"08/04/2023","40,300.0","40,600.0","40,600.0","40,000.0","1.48M","0.50%"
"08/03/2023","40,100.0","41,000.0","41,100.0","40,100.0","2.02M","-2.08%"
"08/02/2023","40,950.0","41,350.0","41,350.0","40,850.0","1.35M","-0.12%"
"08/01/2023","41,000.0","42,200.0","42,200.0","40,850.0","3.00M","-1.20%"
"07/31/2023","41,500.0","40,300.0","41,500.0","40,300.0","2.75M","3.62%"
