"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","11,200.0","11,350.0","11,400.0","11,200.0","6.93M","-0.88%"
"12/14/2023","11,300.0","11,450.0","11,500.0","11,250.0","3.18M","-0.88%"
"12/13/2023","11,400.0","11,600.0","11,600.0","11,400.0","4.45M","-1.72%"
"12/12/2023","11,600.0","11,650.0","11,700.0","11,500.0","3.00M","0.00%"
"12/11/2023","11,600.0","11,700.0","11,750.0","11,550.0","2.42M","-0.43%"
"12/08/2023","11,650.0","11,600.0","11,850.0","11,550.0","6.57M","1.30%"
"12/07/2023","11,500.0","11,550.0","11,700.0","11,450.0","5.04M","-0.43%"
"12/06/2023","11,550.0","11,500.0","11,600.0","11,450.0","2.32M","0.87%"
"12/05/2023","11,450.0","11,550.0","11,650.0","11,450.0","3.69M","-0.87%"
"12/04/2023","11,550.0","11,350.0","11,600.0","11,300.0","5.67M","2.21%"
"12/01/2023","11,300.0","11,350.0","11,350.0","11,200.0","2.53M","0.44%"
"11/30/2023","11,250.0","11,400.0","11,450.0","11,200.0","4.39M","-0.44%"
"11/29/2023","11,300.0","11,350.0","11,400.0","11,300.0","3.55M","0.00%"
"11/28/2023","11,300.0","11,300.0","11,350.0","11,150.0","4.29M","0.00%"
"11/27/2023","11,300.0","11,400.0","11,450.0","11,300.0","2.24M","-0.88%"
"11/24/2023","11,400.0","11,450.0","11,500.0","11,200.0","6.31M","-0.44%"
"11/23/2023","11,450.0","11,700.0","11,700.0","11,450.0","5.68M","-1.72%"
"11/22/2023","11,650.0","11,700.0","11,700.0","11,500.0","4.81M","-0.43%"
"11/21/2023","11,700.0","11,700.0","11,800.0","11,600.0","2.91M","0.43%"
"11/20/2023","11,650.0","11,550.0","11,700.0","11,450.0","4.70M","0.00%"
"11/17/2023","11,650.0","11,850.0","11,950.0","11,600.0","5.79M","-1.69%"
"11/16/2023","11,850.0","11,800.0","11,850.0","11,650.0","3.79M","0.85%"
"11/15/2023","11,750.0","11,950.0","12,100.0","11,750.0","9.81M","-0.84%"
"11/14/2023","11,850.0","12,000.0","12,000.0","11,700.0","6.81M","-0.42%"
"11/13/2023","11,900.0","11,850.0","12,100.0","11,800.0","12.25M","1.71%"
"11/10/2023","11,700.0","11,750.0","12,000.0","11,600.0","12.13M","1.30%"
"11/09/2023","11,550.0","11,500.0","11,800.0","11,400.0","10.91M","0.43%"
"11/08/2023","11,500.0","11,200.0","11,500.0","11,100.0","5.09M","3.14%"
"11/07/2023","11,150.0","11,200.0","11,300.0","11,100.0","3.18M","-0.89%"
"11/06/2023","11,250.0","11,150.0","11,250.0","11,100.0","4.85M","1.35%"
"11/03/2023","11,100.0","11,150.0","11,200.0","11,000.0","4.79M","0.00%"
"11/02/2023","11,100.0","10,800.0","11,150.0","10,800.0","4.83M","3.74%"
"11/01/2023","10,700.0","10,650.0","10,700.0","10,550.0","3.33M","0.94%"
"10/31/2023","10,600.0","10,900.0","10,950.0","10,600.0","5.34M","-2.30%"
"10/30/2023","10,850.0","10,900.0","11,000.0","10,850.0","2.48M","-1.36%"
"10/27/2023","11,000.0","10,900.0","11,000.0","10,750.0","3.61M","1.85%"
"10/26/2023","10,800.0","11,150.0","11,150.0","10,750.0","8.78M","-3.57%"
"10/25/2023","11,200.0","11,200.0","11,350.0","11,150.0","2.85M","0.00%"
"10/24/2023","11,200.0","11,050.0","11,200.0","10,950.0","3.88M","1.36%"
"10/23/2023","11,050.0","11,200.0","11,250.0","10,950.0","3.29M","-1.34%"
"10/20/2023","11,200.0","11,100.0","11,200.0","10,950.0","3.87M","1.36%"
"10/19/2023","11,050.0","11,150.0","11,200.0","10,950.0","3.04M","-1.78%"
"10/18/2023","11,250.0","11,250.0","11,300.0","10,900.0","6.95M","0.00%"
"10/17/2023","11,250.0","11,350.0","11,450.0","11,250.0","3.32M","-0.88%"
"10/16/2023","11,350.0","11,400.0","11,500.0","11,250.0","3.08M","-0.44%"
"10/13/2023","11,400.0","11,250.0","11,450.0","11,200.0","4.78M","-0.44%"
"10/12/2023","11,450.0","11,550.0","11,550.0","11,400.0","3.24M","-0.43%"
"10/11/2023","11,500.0","11,650.0","11,650.0","11,350.0","3.94M","0.44%"
"10/10/2023","11,450.0","11,250.0","11,450.0","11,250.0","5.12M","2.23%"
"10/09/2023","11,200.0","11,000.0","11,200.0","11,000.0","9.55M","0.00%"
"10/06/2023","11,200.0","10,950.0","11,250.0","10,900.0","5.14M","2.75%"
"10/05/2023","10,900.0","11,250.0","11,300.0","10,900.0","8.24M","-3.11%"
"10/04/2023","11,250.0","11,200.0","11,400.0","11,100.0","5.55M","0.45%"
"10/03/2023","11,200.0","11,700.0","11,750.0","11,200.0","7.91M","-4.68%"
"10/02/2023","11,750.0","11,650.0","11,850.0","11,600.0","2.86M","1.29%"
"09/29/2023","11,600.0","11,950.0","11,950.0","11,600.0","5.50M","0.87%"
"09/28/2023","11,500.0","11,750.0","11,800.0","11,500.0","4.86M","-2.13%"
"09/27/2023","11,750.0","11,700.0","11,750.0","11,500.0","4.55M","0.86%"
"09/26/2023","11,650.0","11,850.0","11,950.0","11,650.0","7.57M","-1.27%"
"09/25/2023","11,800.0","12,350.0","12,400.0","11,800.0","7.94M","-4.07%"
"09/22/2023","12,300.0","12,600.0","12,650.0","12,150.0","9.84M","-3.15%"
"09/21/2023","12,700.0","12,800.0","12,900.0","12,650.0","5.69M","-0.78%"
"09/20/2023","12,800.0","12,750.0","12,850.0","12,700.0","3.63M","0.39%"
"09/19/2023","12,750.0","12,700.0","12,850.0","12,500.0","5.47M","0.79%"
"09/18/2023","12,650.0","12,850.0","12,850.0","12,600.0","5.67M","-0.78%"
"09/15/2023","12,750.0","12,800.0","13,050.0","12,750.0","6.49M","0.00%"
"09/14/2023","12,750.0","13,000.0","13,000.0","12,750.0","6.69M","-1.54%"
"09/13/2023","12,950.0","12,950.0","13,200.0","12,900.0","10.78M","0.39%"
"09/12/2023","12,900.0","12,800.0","12,950.0","12,700.0","3.27M","1.57%"
"09/11/2023","12,700.0","13,000.0","13,050.0","12,700.0","8.20M","-1.17%"
"09/08/2023","12,850.0","12,900.0","13,000.0","12,850.0","10.41M","-0.39%"
"09/07/2023","12,900.0","13,100.0","13,150.0","12,900.0","8.43M","-0.77%"
"09/06/2023","13,000.0","13,000.0","13,100.0","12,850.0","6.74M","0.00%"
"09/05/2023","13,000.0","12,850.0","13,050.0","12,800.0","9.23M","1.56%"
"08/31/2023","12,800.0","12,750.0","12,800.0","12,700.0","7.26M","0.79%"
"08/30/2023","12,700.0","12,650.0","12,800.0","12,600.0","5.48M","0.79%"
"08/29/2023","12,600.0","12,700.0","12,750.0","12,500.0","8.65M","-0.79%"
"08/28/2023","12,700.0","12,600.0","12,700.0","12,500.0","4.82M","1.60%"
"08/25/2023","12,500.0","12,550.0","12,700.0","12,450.0","6.76M","-0.79%"
"08/24/2023","12,600.0","12,500.0","12,650.0","12,350.0","8.29M","2.02%"
"08/23/2023","12,350.0","12,850.0","12,950.0","12,350.0","13.19M","-3.52%"
"08/22/2023","12,800.0","13,000.0","13,000.0","12,300.0","13.99M","-1.54%"
"08/21/2023","13,000.0","13,050.0","13,150.0","12,700.0","9.02M","-0.38%"
"08/18/2023","13,050.0","14,050.0","14,050.0","13,050.0","18.01M","-6.79%"
"08/17/2023","14,000.0","13,900.0","14,100.0","13,800.0","14.96M","0.72%"
"08/16/2023","13,900.0","14,000.0","14,000.0","13,750.0","8.36M","0.00%"
"08/15/2023","13,900.0","13,800.0","14,150.0","13,650.0","12.49M","1.09%"
"08/14/2023","13,750.0","13,800.0","13,850.0","13,650.0","8.76M","0.73%"
"08/11/2023","13,650.0","13,800.0","13,900.0","13,550.0","10.60M","-1.09%"
"08/10/2023","13,800.0","13,950.0","14,000.0","13,750.0","14.46M","-0.72%"
"08/09/2023","13,900.0","14,200.0","14,200.0","13,850.0","10.28M","-1.42%"
"08/08/2023","14,100.0","13,750.0","14,150.0","13,750.0","27.97M","2.92%"
"08/07/2023","13,700.0","13,650.0","13,800.0","13,550.0","11.57M","0.74%"
