"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","62,800","63,100","63,600","62,800","844.70K","-0.32%"
"12/14/2023","63,000","64,400","64,900","63,000","427.10K","-1.56%"
"12/13/2023","64,000","65,200","65,800","64,000","745.90K","-1.54%"
"12/12/2023","65,000","65,500","65,900","64,900","360.80K","-0.76%"
"12/11/2023","65,500","65,700","66,100","65,100","383.50K","-0.15%"
"12/08/2023","65,600","66,000","66,000","65,100","555.90K","0.00%"
"12/07/2023","65,600","65,900","65,900","65,000","626.20K","0.61%"
"12/06/2023","65,200","64,000","65,300","64,000","288.50K","1.88%"
"12/05/2023","64,000","65,500","65,500","64,000","401.70K","-1.08%"
"12/04/2023","64,700","65,000","65,900","64,200","552.50K","-0.46%"
"12/01/2023","65,000","65,000","65,200","64,100","288.00K","0.00%"
"11/30/2023","65,000","65,800","66,400","65,000","549.90K","-1.81%"
"11/29/2023","66,200","64,900","66,800","64,200","770.20K","2.00%"
"11/28/2023","64,900","64,500","64,900","63,400","497.10K","0.93%"
"11/27/2023","64,300","62,500","64,400","62,400","946.00K","2.06%"
"11/24/2023","63,000","60,500","63,000","60,500","764.10K","4.30%"
"11/23/2023","60,400","63,600","63,900","60,400","617.60K","-4.88%"
"11/22/2023","63,500","63,100","63,900","63,100","474.90K","0.63%"
"11/21/2023","63,100","63,200","63,800","62,900","563.60K","0.16%"
"11/20/2023","63,000","62,700","63,600","62,500","659.50K","-1.10%"
"11/17/2023","63,700","64,300","65,400","63,400","978.30K","-0.78%"
"11/16/2023","64,200","63,700","64,600","63,200","740.90K","1.58%"
"11/15/2023","63,200","63,200","64,500","63,100","1.32M","1.94%"
"11/14/2023","62,000","61,800","63,300","61,700","734.80K","1.14%"
"11/13/2023","61,300","62,400","63,500","61,100","573.50K","-1.76%"
"11/10/2023","62,400","63,800","63,800","62,300","740.70K","-2.35%"
"11/09/2023","63,900","65,500","65,800","63,600","1.04M","-1.84%"
"11/08/2023","65,100","65,500","65,500","62,600","924.80K","0.00%"
"11/07/2023","65,100","66,300","66,800","64,900","441.80K","-1.66%"
"11/06/2023","66,200","64,500","66,200","63,900","571.80K","3.60%"
"11/03/2023","63,900","61,400","64,700","61,400","745.60K","4.07%"
"11/02/2023","61,400","57,900","61,400","57,900","719.70K","6.97%"
"11/01/2023","57,400","57,000","57,800","54,900","735.70K","1.23%"
"10/31/2023","56,700","60,900","61,000","56,700","840.80K","-6.74%"
"10/30/2023","60,800","63,100","63,100","60,800","379.90K","-3.65%"
"10/27/2023","63,100","65,900","65,900","62,100","997.30K","-4.68%"
"10/26/2023","66,200","68,000","68,500","66,000","389.10K","-4.34%"
"10/25/2023","69,200","69,000","69,700","68,500","223.50K","0.14%"
"10/24/2023","69,100","67,700","69,800","67,700","175.10K","1.92%"
"10/23/2023","67,800","70,000","70,000","67,800","315.20K","-3.14%"
"10/20/2023","70,000","68,400","70,000","68,000","209.50K","2.49%"
"10/19/2023","68,300","68,300","68,800","67,800","289.50K","0.00%"
"10/18/2023","68,300","69,900","69,900","67,500","511.40K","-2.29%"
"10/17/2023","69,900","71,500","71,600","69,900","352.50K","-1.41%"
"10/16/2023","70,900","70,100","71,800","70,100","664.20K","1.14%"
"10/13/2023","70,100","68,700","70,400","68,200","605.60K","1.74%"
"10/12/2023","68,900","68,400","68,900","68,200","526.20K","1.32%"
