"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","10,800.0","10,850.0","10,950.0","10,750.0","18.98M","0.00%"
"12/14/2023","10,800.0","10,950.0","11,000.0","10,800.0","20.16M","-0.92%"
"12/13/2023","10,900.0","11,150.0","11,200.0","10,900.0","20.47M","-1.80%"
"12/12/2023","11,100.0","11,150.0","11,250.0","11,100.0","20.44M","-0.45%"
"12/11/2023","11,150.0","11,050.0","11,200.0","11,000.0","21.55M","1.36%"
"12/08/2023","11,000.0","11,050.0","11,200.0","10,950.0","18.86M","-0.45%"
"12/07/2023","11,050.0","11,050.0","11,300.0","10,950.0","35.30M","0.45%"
"12/06/2023","11,000.0","11,000.0","11,050.0","10,950.0","14.12M","0.46%"
"12/05/2023","10,950.0","11,150.0","11,200.0","10,950.0","14.94M","-1.35%"
"12/04/2023","11,100.0","10,900.0","11,200.0","10,850.0","28.18M","2.30%"
"12/01/2023","10,850.0","10,850.0","10,900.0","10,700.0","8.20M","0.46%"
"11/30/2023","10,800.0","10,900.0","11,000.0","10,800.0","10.15M","-0.46%"
"11/29/2023","10,850.0","10,900.0","10,950.0","10,800.0","7.75M","0.00%"
"11/28/2023","10,850.0","10,800.0","10,900.0","10,600.0","9.99M","0.93%"
"11/27/2023","10,750.0","10,950.0","11,000.0","10,700.0","11.09M","-1.83%"
"11/24/2023","10,950.0","11,050.0","11,050.0","10,650.0","17.19M","0.00%"
"11/23/2023","10,950.0","11,300.0","11,400.0","10,950.0","15.37M","-3.10%"
"11/22/2023","11,300.0","11,200.0","11,300.0","11,150.0","12.00M","0.44%"
"11/21/2023","11,250.0","11,300.0","11,350.0","11,150.0","8.85M","0.45%"
"11/20/2023","11,200.0","10,900.0","11,350.0","10,900.0","17.13M","0.00%"
"11/17/2023","11,200.0","11,600.0","11,700.0","11,100.0","26.96M","-3.45%"
"11/16/2023","11,600.0","11,500.0","11,600.0","11,400.0","11.15M","0.43%"
"11/15/2023","11,550.0","11,650.0","11,850.0","11,450.0","31.70M","0.87%"
"11/14/2023","11,450.0","11,200.0","11,750.0","11,100.0","32.22M","3.62%"
"11/13/2023","11,050.0","11,150.0","11,300.0","10,950.0","12.02M","-0.90%"
"11/10/2023","11,150.0","11,200.0","11,300.0","11,050.0","18.14M","-0.89%"
"11/09/2023","11,250.0","11,400.0","11,500.0","11,200.0","20.23M","-0.88%"
"11/08/2023","11,350.0","10,900.0","11,350.0","10,750.0","24.20M","4.61%"
"11/07/2023","10,850.0","11,000.0","11,050.0","10,850.0","13.52M","-1.36%"
"11/06/2023","11,000.0","10,800.0","11,050.0","10,700.0","17.26M","2.80%"
"11/03/2023","10,700.0","10,950.0","10,950.0","10,700.0","14.07M","-1.83%"
"11/02/2023","10,900.0","10,450.0","10,900.0","10,350.0","19.00M","5.31%"
"11/01/2023","10,350.0","10,200.0","10,400.0","10,100.0","13.70M","2.48%"
"10/31/2023","10,100.0","10,200.0","10,300.0","10,100.0","11.48M","-0.49%"
"10/30/2023","10,150.0","10,250.0","10,300.0","10,150.0","5.74M","-1.46%"
"10/27/2023","10,300.0","10,150.0","10,300.0","10,050.0","11.62M","2.49%"
"10/26/2023","10,050.0","10,400.0","10,450.0","9,990.0","29.07M","-4.74%"
"10/25/2023","10,550.0","10,650.0","10,700.0","10,500.0","7.66M","-0.47%"
"10/24/2023","10,600.0","10,350.0","10,700.0","10,350.0","12.19M","2.91%"
"10/23/2023","10,300.0","10,450.0","10,500.0","10,250.0","10.82M","-1.44%"
"10/20/2023","10,450.0","10,300.0","10,500.0","10,150.0","12.15M","1.46%"
"10/19/2023","10,300.0","10,400.0","10,600.0","10,250.0","12.09M","-0.96%"
"10/18/2023","10,400.0","10,600.0","10,650.0","10,250.0","16.58M","-1.89%"
"10/17/2023","10,600.0","10,650.0","10,750.0","10,600.0","6.01M","0.00%"
"10/16/2023","10,600.0","10,750.0","10,850.0","10,600.0","8.10M","-1.85%"
"10/13/2023","10,800.0","10,850.0","10,850.0","10,700.0","10.67M","-0.46%"
"10/12/2023","10,850.0","10,900.0","11,050.0","10,850.0","9.66M","-0.46%"
"10/11/2023","10,900.0","10,900.0","10,950.0","10,800.0","5.61M","0.46%"
"10/10/2023","10,850.0","10,800.0","11,000.0","10,800.0","9.84M","0.93%"
"10/09/2023","10,750.0","10,700.0","10,800.0","10,650.0","8.03M","0.47%"
"10/06/2023","10,700.0","10,500.0","10,800.0","10,500.0","10.54M","1.90%"
"10/05/2023","10,500.0","10,700.0","10,800.0","10,500.0","9.20M","-1.41%"
"10/04/2023","10,650.0","10,450.0","10,750.0","10,400.0","10.57M","0.95%"
"10/03/2023","10,550.0","11,000.0","11,000.0","10,400.0","22.39M","-4.52%"
"10/02/2023","11,050.0","11,100.0","11,200.0","11,000.0","9.45M","-0.45%"
"09/29/2023","11,100.0","11,050.0","11,300.0","11,000.0","9.41M","1.37%"
"09/28/2023","10,950.0","11,100.0","11,150.0","10,850.0","13.80M","-1.35%"
"09/27/2023","11,100.0","10,850.0","11,100.0","10,600.0","17.67M","2.78%"
"09/26/2023","10,800.0","11,000.0","11,300.0","10,800.0","22.00M","-1.82%"
"09/25/2023","11,000.0","11,800.0","11,850.0","11,000.0","25.60M","-6.78%"
"09/22/2023","11,800.0","11,900.0","11,950.0","11,500.0","35.09M","-2.07%"
"09/21/2023","12,050.0","12,200.0","12,250.0","12,000.0","17.85M","-1.23%"
"09/20/2023","12,200.0","12,050.0","12,250.0","12,050.0","15.62M","1.24%"
"09/19/2023","12,050.0","12,100.0","12,150.0","11,950.0","25.80M","-0.41%"
"09/18/2023","12,100.0","12,250.0","12,350.0","12,050.0","18.75M","-0.82%"
"09/15/2023","12,200.0","12,400.0","12,500.0","12,200.0","24.92M","-0.81%"
