"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","22,600.00","22,550.00","22,600.00","22,400.00","1.23M","0.00%"
"12/14/2023","22,600.00","22,600.00","22,700.00","22,500.00","1.03M","0.00%"
"12/13/2023","22,600.00","22,650.00","22,700.00","22,500.00","1.12M","-0.22%"
"12/12/2023","22,650.00","22,650.00","22,650.00","22,500.00","1.17M","0.00%"
"12/11/2023","22,650.00","22,600.00","22,700.00","22,500.00","1.08M","-0.22%"
"12/08/2023","22,700.00","22,700.00","22,700.00","22,500.00","1.42M","0.00%"
"12/07/2023","22,700.00","22,650.00","22,700.00","22,500.00","1.39M","0.00%"
"12/06/2023","22,700.00","22,650.00","22,700.00","22,550.00","1.10M","0.00%"
"12/05/2023","22,700.00","22,700.00","22,750.00","22,500.00","977.50K","-0.22%"
"12/04/2023","22,750.00","22,700.00","22,800.00","22,450.00","1.27M","0.22%"
"12/01/2023","22,700.00","22,450.00","22,900.00","22,400.00","1.14M","0.44%"
"11/30/2023","22,600.00","22,900.00","23,000.00","22,600.00","1.41M","-1.95%"
"11/29/2023","23,050.00","23,000.00","23,050.00","22,650.00","1.62M","0.00%"
"11/28/2023","23,050.00","22,650.00","23,050.00","22,600.00","1.43M","0.00%"
"11/27/2023","23,050.00","22,600.00","23,100.00","22,600.00","1.41M","-0.22%"
"11/24/2023","23,100.00","22,850.00","23,100.00","22,300.00","2.33M","0.43%"
"11/23/2023","23,000.00","22,750.00","23,000.00","22,650.00","1.35M","-0.43%"
"11/22/2023","23,100.00","23,050.00","23,100.00","22,600.00","1.39M","-0.22%"
"11/21/2023","23,150.00","23,000.00","23,150.00","22,550.00","1.52M","0.00%"
"11/20/2023","23,150.00","22,850.00","23,150.00","22,300.00","2.12M","0.00%"
"11/17/2023","23,150.00","23,500.00","23,500.00","22,550.00","1.59M","-1.28%"
"11/16/2023","23,450.00","23,350.00","23,500.00","23,000.00","1.65M","-0.21%"
"11/15/2023","23,500.00","23,150.00","23,750.00","23,150.00","1.46M","1.51%"
"11/14/2023","23,150.00","23,000.00","23,500.00","22,750.00","1.66M","0.65%"
"11/13/2023","23,000.00","23,050.00","23,400.00","22,950.00","1.51M","-3.36%"
"11/10/2023","23,800.00","24,250.00","24,550.00","23,800.00","1.38M","-2.86%"
"11/09/2023","24,500.00","24,950.00","24,950.00","24,500.00","1.26M","-1.80%"
"11/08/2023","24,950.00","24,400.00","24,950.00","24,100.00","1.08M","2.25%"
"11/07/2023","24,400.00","25,000.00","25,350.00","24,350.00","1.44M","-3.56%"
"11/06/2023","25,300.00","24,700.00","25,500.00","24,700.00","994.00K","4.12%"
"11/03/2023","24,300.00","25,950.00","26,000.00","24,300.00","2.03M","-6.36%"
"11/02/2023","25,950.00","25,900.00","26,000.00","25,750.00","1.03M","0.19%"
"11/01/2023","25,900.00","25,800.00","26,000.00","25,750.00","1.20M","0.39%"
"10/31/2023","25,800.00","25,200.00","25,800.00","25,150.00","1.09M","1.78%"
"10/30/2023","25,350.00","25,550.00","25,600.00","25,350.00","1.00M","-0.78%"
"10/27/2023","25,550.00","25,550.00","25,650.00","25,250.00","1.19M","0.20%"
"10/26/2023","25,500.00","25,900.00","25,900.00","25,350.00","1.20M","-1.54%"
"10/25/2023","25,900.00","25,850.00","25,950.00","25,700.00","1.12M","0.39%"
"10/24/2023","25,800.00","24,900.00","25,800.00","24,850.00","1.64M","4.03%"
"10/23/2023","24,800.00","24,550.00","24,800.00","24,550.00","1.42M","1.43%"
"10/20/2023","24,450.00","24,600.00","24,900.00","24,400.00","1.10M","-0.61%"
"10/19/2023","24,600.00","24,700.00","24,800.00","24,200.00","1.15M","-0.40%"
"10/18/2023","24,700.00","24,650.00","24,850.00","24,600.00","1.23M","-0.20%"
"10/17/2023","24,750.00","24,800.00","24,900.00","24,650.00","877.60K","-0.20%"
"10/16/2023","24,800.00","24,700.00","25,000.00","24,200.00","809.70K","0.00%"
"10/13/2023","24,800.00","24,600.00","24,800.00","24,100.00","1.13M","0.20%"
"10/12/2023","24,750.00","24,800.00","25,000.00","24,650.00","1.12M","0.00%"
"10/11/2023","24,750.00","24,650.00","24,750.00","24,500.00","825.40K","0.61%"
"10/10/2023","24,600.00","24,600.00","24,700.00","24,450.00","1.01M","0.20%"
"10/09/2023","24,550.00","24,550.00","24,650.00","24,050.00","907.00K","0.20%"
"10/06/2023","24,500.00","24,500.00","24,650.00","24,350.00","1.18M","0.00%"
"10/05/2023","24,500.00","24,300.00","24,600.00","24,050.00","898.50K","0.20%"
