"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","16,950.0","17,000.0","17,050.0","16,850.0","3.38M","0.30%"
"12/14/2023","16,900.0","17,100.0","17,200.0","16,850.0","3.33M","-0.59%"
"12/13/2023","17,000.0","17,400.0","17,400.0","17,000.0","3.33M","-2.02%"
"12/12/2023","17,350.0","17,400.0","17,450.0","17,250.0","2.42M","0.00%"
"12/11/2023","17,350.0","17,450.0","17,550.0","17,350.0","4.33M","-0.57%"
"12/08/2023","17,450.0","17,500.0","17,700.0","17,400.0","4.74M","-0.57%"
"12/07/2023","17,550.0","17,500.0","17,600.0","17,250.0","15.08M","0.57%"
"12/06/2023","17,450.0","17,100.0","17,600.0","17,050.0","14.00M","2.35%"
"12/05/2023","17,050.0","17,250.0","17,250.0","17,050.0","4.49M","-0.87%"
"12/04/2023","17,200.0","17,150.0","17,450.0","17,100.0","11.16M","0.58%"
"12/01/2023","17,100.0","17,050.0","17,150.0","16,850.0","9.19M","0.59%"
"11/30/2023","17,000.0","16,750.0","17,100.0","16,750.0","8.68M","0.89%"
"11/29/2023","16,850.0","16,750.0","16,950.0","16,700.0","2.47M","0.60%"
"11/28/2023","16,750.0","16,650.0","16,850.0","16,500.0","2.51M","0.60%"
"11/27/2023","16,650.0","16,950.0","17,000.0","16,650.0","3.11M","-2.06%"
"11/24/2023","17,000.0","17,050.0","17,050.0","16,750.0","3.55M","0.00%"
"11/23/2023","17,000.0","17,200.0","17,400.0","17,000.0","6.95M","-0.58%"
"11/22/2023","17,100.0","17,050.0","17,200.0","17,000.0","2.30M","0.29%"
"11/21/2023","17,050.0","17,200.0","17,400.0","17,000.0","2.62M","-0.87%"
"11/20/2023","17,200.0","16,700.0","17,400.0","16,650.0","4.72M","1.18%"
"11/17/2023","17,000.0","17,500.0","17,650.0","16,900.0","7.43M","-2.86%"
"11/16/2023","17,500.0","17,600.0","17,600.0","17,250.0","5.22M","-1.13%"
"11/15/2023","17,700.0","17,450.0","17,900.0","17,400.0","9.71M","1.72%"
