"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","39,900","40,450","40,550","39,850","6.80M","-0.99%"
"12/14/2023","40,300","41,100","41,250","40,250","4.70M","-1.10%"
"12/13/2023","40,750","41,200","41,650","40,650","9.94M","-0.73%"
"12/12/2023","41,050","41,000","41,300","40,750","6.17M","0.12%"
"12/11/2023","41,000","40,150","41,300","40,100","8.70M","3.40%"
"12/08/2023","39,650","39,700","40,100","39,450","9.89M","-0.13%"
"12/07/2023","39,700","40,450","40,550","39,400","11.34M","-1.85%"
"12/06/2023","40,450","40,500","40,550","39,650","10.85M","-0.12%"
"12/05/2023","40,500","41,500","41,500","40,500","8.30M","-1.94%"
"12/04/2023","41,300","40,950","41,500","40,850","8.14M","0.98%"
"12/01/2023","40,900","41,300","41,400","40,400","6.97M","-0.97%"
"11/30/2023","41,300","41,200","41,350","40,600","7.74M","0.24%"
"11/29/2023","41,200","41,050","41,300","40,750","4.21M","1.10%"
"11/28/2023","40,750","39,800","40,750","39,650","7.38M","2.39%"
"11/27/2023","39,800","39,100","40,000","39,100","5.71M","1.79%"
"11/24/2023","39,100","39,000","39,200","38,050","7.38M","0.26%"
"11/23/2023","39,000","39,350","39,950","39,000","7.66M","0.00%"
"11/22/2023","39,000","39,400","39,600","38,850","4.81M","-0.26%"
"11/21/2023","39,100","39,750","39,750","38,900","4.79M","0.39%"
"11/20/2023","38,950","38,500","39,500","38,300","4.90M","0.00%"
"11/17/2023","38,950","41,300","41,750","38,500","16.31M","-5.35%"
"11/16/2023","41,150","41,400","41,650","40,800","5.39M","-0.72%"
"11/15/2023","41,450","41,800","42,600","41,350","8.59M","1.10%"
"11/14/2023","41,000","41,850","41,900","40,750","7.50M","-0.85%"
"11/13/2023","41,350","42,600","42,600","41,300","7.23M","-2.25%"
"11/10/2023","42,300","42,500","43,200","42,300","6.52M","-1.40%"
"11/09/2023","42,900","41,600","43,050","41,450","15.46M","4.63%"
"11/08/2023","41,000","39,950","41,500","39,200","7.70M","2.50%"
"11/07/2023","40,000","40,900","40,950","40,000","4.44M","-2.44%"
"11/06/2023","41,000","40,650","41,400","40,600","6.34M","1.23%"
"11/03/2023","40,500","40,450","40,550","39,950","8.27M","1.38%"
"11/02/2023","39,950","38,450","40,000","37,700","9.14M","3.90%"
"11/01/2023","38,450","38,900","39,000","36,750","9.75M","-1.41%"
"10/31/2023","39,000","39,200","39,700","38,000","7.71M","-0.51%"
"10/30/2023","39,200","39,000","40,000","37,750","6.76M","0.00%"
"10/27/2023","39,200","40,000","41,500","38,900","18.17M","-6.22%"
"10/26/2023","41,800","41,800","41,800","41,800","6.09M","-6.90%"
"10/25/2023","44,900","45,400","45,950","44,750","3.92M","0.67%"
"10/24/2023","44,600","44,900","45,000","44,000","3.18M","0.22%"
"10/23/2023","44,500","44,500","45,300","44,000","5.69M","0.00%"
"10/20/2023","44,500","42,500","44,800","41,700","3.19M","4.71%"
"10/19/2023","42,500","43,450","43,450","42,500","3.73M","-1.85%"
"10/18/2023","43,300","44,600","45,800","43,000","3.86M","-2.70%"
"10/17/2023","44,500","45,600","45,900","44,500","2.40M","-2.31%"
"10/16/2023","45,550","46,900","47,000","45,550","3.27M","-2.88%"
"10/13/2023","46,900","47,050","47,200","46,500","2.58M","-1.37%"
"10/12/2023","47,550","47,600","48,000","47,350","2.45M","0.32%"
"10/11/2023","47,400","47,700","47,800","46,850","2.92M","-1.25%"
"10/10/2023","48,000","47,150","48,000","46,900","4.83M","2.13%"
"10/09/2023","47,000","46,100","47,500","46,050","3.86M","2.06%"
"10/06/2023","46,050","44,850","46,150","44,550","3.43M","3.37%"
"10/05/2023","44,550","44,700","45,250","44,250","2.70M","-0.11%"
"10/04/2023","44,600","43,250","45,400","43,250","3.47M","1.25%"
"10/03/2023","44,050","45,000","45,250","44,050","4.66M","-3.72%"
"10/02/2023","45,750","45,600","46,200","45,200","1.82M","0.55%"
"09/29/2023","45,500","45,000","47,500","45,000","7.29M","2.25%"
"09/28/2023","44,500","45,100","45,500","44,050","3.41M","-1.33%"
"09/27/2023","45,100","45,000","45,800","43,850","6.50M","0.22%"
"09/26/2023","45,000","47,000","47,800","45,000","4.07M","-4.26%"
"09/25/2023","47,000","48,000","48,750","46,000","5.32M","-2.08%"
"09/22/2023","48,000","49,400","49,450","47,850","7.96M","-4.38%"
"09/21/2023","50,200","51,000","51,400","50,000","5.19M","-0.99%"
"09/20/2023","50,700","49,700","50,900","49,500","4.52M","2.74%"
"09/19/2023","49,350","50,000","50,700","49,000","7.52M","0.82%"
"09/18/2023","48,950","50,100","50,500","48,700","5.10M","-3.07%"
"09/15/2023","50,500","49,600","50,500","49,400","10.52M","3.06%"
"09/14/2023","49,000","52,100","52,300","49,000","11.64M","-5.95%"
"09/13/2023","52,100","53,800","53,800","52,100","11.95M","-2.62%"
"09/12/2023","53,500","52,800","53,500","52,000","7.42M","1.90%"
"09/11/2023","52,500","54,600","54,900","52,500","8.47M","-2.78%"
"09/08/2023","54,000","55,000","55,500","54,000","10.43M","-2.00%"
"09/07/2023","55,100","56,500","56,600","54,900","8.73M","-1.43%"
"09/06/2023","55,900","55,500","57,000","55,400","9.77M","1.08%"
"09/05/2023","55,300","55,200","55,500","54,400","9.06M","1.10%"
"08/31/2023","54,700","54,800","55,900","54,700","6.42M","0.18%"
"08/30/2023","54,600","54,600","55,100","54,100","5.03M","0.00%"
"08/29/2023","54,600","55,000","55,800","54,400","5.31M","-0.18%"
"08/28/2023","54,700","54,500","55,300","54,200","5.22M","1.11%"
"08/25/2023","54,100","55,500","55,500","54,000","5.13M","-2.35%"
"08/24/2023","55,400","54,900","56,100","54,400","4.65M","1.65%"
"08/23/2023","54,500","56,900","56,900","54,400","6.68M","-1.80%"
"08/22/2023","55,500","56,800","56,800","54,500","4.57M","-0.89%"
"08/21/2023","56,000","56,800","57,200","55,700","5.23M","-1.41%"
"08/18/2023","56,800","60,800","60,800","56,800","8.98M","-6.89%"
"08/17/2023","61,000","62,100","62,600","61,000","5.44M","-3.02%"
"08/16/2023","62,900","63,000","64,100","62,300","6.37M","1.94%"
"08/15/2023","61,700","61,200","62,500","60,900","5.69M","0.82%"
"08/14/2023","61,200","60,900","61,800","60,800","6.22M","0.49%"
"08/11/2023","60,900","62,300","62,500","59,800","4.79M","0.50%"
"08/10/2023","60,600","60,700","61,600","60,600","4.74M","0.00%"
"08/09/2023","60,600","62,300","62,700","60,600","5.59M","-3.50%"
"08/08/2023","62,800","62,900","63,800","62,500","5.30M","-0.16%"
"08/07/2023","62,900","63,700","63,700","61,600","3.40M","-0.16%"
"08/04/2023","63,000","60,900","63,800","60,600","4.72M","4.83%"
"08/03/2023","60,100","62,000","62,200","60,100","2.94M","-2.91%"
"08/02/2023","61,900","62,600","62,900","61,900","3.44M","-1.43%"
"08/01/2023","62,800","63,900","66,200","62,800","6.55M","-0.32%"
