"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","18,800","18,850","19,050","18,800","1.78M","-0.53%"
"12/14/2023","18,900","19,200","19,200","18,900","3.05M","-0.79%"
"12/13/2023","19,050","19,200","19,400","19,050","3.33M","-0.78%"
"12/12/2023","19,200","19,300","19,300","19,050","2.26M","0.00%"
"12/11/2023","19,200","19,400","19,400","19,100","2.21M","-0.78%"
"12/08/2023","19,350","19,300","19,450","19,250","4.54M","0.26%"
"12/07/2023","19,300","19,300","19,500","19,100","7.03M","0.52%"
"12/06/2023","19,200","19,200","19,300","19,100","4.69M","0.26%"
"12/05/2023","19,150","19,200","19,200","19,000","2.57M","0.00%"
"12/04/2023","19,150","19,150","19,200","19,000","8.28M","1.06%"
"12/01/2023","18,950","18,800","19,000","18,650","1.74M","1.34%"
"11/30/2023","18,700","18,800","18,950","18,600","1.31M","-0.53%"
"11/29/2023","18,800","18,800","18,900","18,650","1.76M","0.53%"
"11/28/2023","18,700","18,450","18,700","18,300","1.62M","1.36%"
"11/27/2023","18,450","18,800","18,800","18,450","2.54M","-1.86%"
"11/24/2023","18,800","18,800","18,900","18,550","2.66M","0.00%"
"11/23/2023","18,800","19,300","19,350","18,800","2.60M","-2.08%"
"11/22/2023","19,200","19,100","19,250","18,850","2.34M","0.79%"
"11/21/2023","19,050","19,100","19,350","19,050","2.03M","0.26%"
"11/20/2023","19,000","19,050","19,150","18,750","3.19M","-0.78%"
"11/17/2023","19,150","19,600","19,700","19,100","4.53M","-2.30%"
"11/16/2023","19,600","19,550","19,650","19,400","2.60M","-0.25%"
"11/15/2023","19,650","19,950","20,000","19,600","5.37M","0.26%"
"11/14/2023","19,600","19,250","19,700","19,200","6.81M","2.08%"
"11/13/2023","19,200","19,200","19,350","18,900","2.97M","1.05%"
"11/10/2023","19,000","19,000","19,350","18,950","3.97M","-1.55%"
"11/09/2023","19,300","19,500","19,550","19,200","3.01M","-0.52%"
"11/08/2023","19,400","18,700","19,400","18,650","3.58M","3.74%"
"11/07/2023","18,700","19,000","19,000","18,550","2.33M","-1.06%"
"11/06/2023","18,900","18,950","18,950","18,700","2.53M","1.61%"
"11/03/2023","18,600","18,900","18,900","18,550","3.34M","0.27%"
"11/02/2023","18,550","18,150","18,600","18,000","3.08M","3.06%"
"11/01/2023","18,000","17,900","18,000","17,600","2.41M","0.56%"
"10/31/2023","17,900","17,600","18,000","17,550","3.63M","1.70%"
"10/30/2023","17,600","18,100","18,200","17,600","1.74M","-2.76%"
"10/27/2023","18,100","17,800","18,100","17,500","2.49M","4.32%"
"10/26/2023","17,350","18,100","18,100","17,300","6.12M","-5.19%"
"10/25/2023","18,300","18,500","18,650","18,300","2.27M","-1.08%"
"10/24/2023","18,500","18,150","18,650","18,150","2.06M","2.49%"
"10/23/2023","18,050","18,350","18,450","18,050","2.71M","-1.63%"
"10/20/2023","18,350","18,200","18,500","18,100","4.01M","0.55%"
"10/19/2023","18,250","18,400","18,450","18,000","4.22M","-1.08%"
"10/18/2023","18,450","18,700","18,800","18,300","3.45M","-1.07%"
"10/17/2023","18,650","19,000","19,100","18,650","2.71M","-1.06%"
"10/16/2023","18,850","19,300","19,300","18,850","3.52M","-2.58%"
"10/13/2023","19,350","19,100","19,500","19,100","2.01M","-1.53%"
"10/12/2023","19,650","19,600","19,750","19,550","2.66M","0.26%"
"10/11/2023","19,600","19,400","19,600","19,250","2.06M","1.03%"
"10/10/2023","19,400","19,100","19,500","19,000","4.14M","2.37%"
"10/09/2023","18,950","18,700","18,950","18,550","3.44M","1.34%"
"10/06/2023","18,700","18,550","18,900","18,400","3.19M","1.08%"
"10/05/2023","18,500","19,100","19,100","18,500","3.40M","-2.12%"
"10/04/2023","18,900","18,700","19,150","18,600","2.22M","0.53%"
"10/03/2023","18,800","19,250","19,350","18,700","6.56M","-3.34%"
"10/02/2023","19,450","19,350","19,600","19,300","2.04M","0.52%"
"09/29/2023","19,350","19,500","19,700","19,300","2.51M","0.00%"
"09/28/2023","19,350","19,700","19,700","19,150","4.04M","-1.02%"
"09/27/2023","19,550","19,250","19,600","18,950","4.43M","1.56%"
"09/26/2023","19,250","19,500","19,700","19,150","5.08M","1.05%"
"09/25/2023","19,050","20,300","20,350","19,050","7.55M","-6.16%"
