"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","1,097.40","1,104.94","1,107.15","1,097.40","180.85K","-0.64%"
"12/14/2023","1,104.49","1,111.12","1,113.01","1,102.67","155.39K","-0.21%"
"12/13/2023","1,106.83","1,123.34","1,124.71","1,105.71","190.65K","-1.28%"
"12/12/2023","1,121.21","1,119.26","1,121.21","1,114.98","141.87K","0.35%"
"12/11/2023","1,117.34","1,118.79","1,120.07","1,111.73","149.51K","0.22%"
"12/08/2023","1,114.89","1,111.28","1,118.81","1,109.67","209.97K","0.32%"
"12/07/2023","1,111.35","1,109.67","1,115.24","1,096.22","299.70K","0.19%"
"12/06/2023","1,109.27","1,101.65","1,109.27","1,100.14","157.26K","0.80%"
"12/05/2023","1,100.42","1,108.02","1,109.48","1,097.05","155.06K","-0.61%"
"12/04/2023","1,107.16","1,094.42","1,111.90","1,093.85","261.89K","1.54%"
"12/01/2023","1,090.39","1,088.07","1,091.17","1,077.33","123.45K","0.80%"
"11/30/2023","1,081.70","1,091.44","1,097.22","1,081.70","141.11K","-1.05%"
"11/29/2023","1,093.16","1,090.14","1,097.42","1,087.95","122.22K","0.43%"
"11/28/2023","1,088.51","1,078.86","1,089.40","1,068.24","132.91K","0.94%"
"11/27/2023","1,078.42","1,086.89","1,088.03","1,076.62","127.26K","-0.82%"
"11/24/2023","1,087.34","1,085.26","1,087.34","1,068.59","188.23K","0.43%"
"11/23/2023","1,082.68","1,111.93","1,114.87","1,082.68","170.08K","-2.44%"
"11/22/2023","1,109.80","1,109.31","1,112.98","1,098.21","152.39K","0.11%"
"11/21/2023","1,108.60","1,103.60","1,113.69","1,102.33","128.42K","0.52%"
"11/20/2023","1,102.85","1,091.66","1,114.63","1,085.74","172.46K","-0.06%"
"11/17/2023","1,103.53","1,135.52","1,137.73","1,096.44","260.94K","-2.57%"
"11/16/2023","1,132.60","1,128.57","1,132.60","1,123.29","140.29K","0.06%"
"11/15/2023","1,131.90","1,130.53","1,144.88","1,128.64","271.85K","1.13%"
"11/14/2023","1,119.28","1,112.37","1,124.76","1,109.79","222.67K","1.13%"
"11/13/2023","1,106.72","1,109.14","1,114.41","1,099.18","185.21K","-0.21%"
"11/10/2023","1,109.05","1,113.38","1,123.66","1,107.51","205.94K","-1.24%"
"11/09/2023","1,122.95","1,130.64","1,137.05","1,122.72","231.99K","-0.62%"
"11/08/2023","1,129.95","1,092.51","1,129.95","1,086.85","233.46K","3.41%"
"11/07/2023","1,092.71","1,100.40","1,101.70","1,091.38","133.87K","-0.98%"
"11/06/2023","1,103.52","1,094.14","1,104.04","1,093.62","169.81K","1.60%"
"11/03/2023","1,086.19","1,088.31","1,095.71","1,082.83","203.95K","-0.12%"
"11/02/2023","1,087.50","1,052.14","1,087.50","1,052.14","195.22K","3.41%"
"11/01/2023","1,051.65","1,038.90","1,051.65","1,034.04","166.56K","1.18%"
"10/31/2023","1,039.38","1,049.56","1,053.05","1,034.12","192.35K","-0.79%"
"10/30/2023","1,047.63","1,063.14","1,066.38","1,047.63","130.43K","-1.87%"
"10/27/2023","1,067.57","1,070.98","1,074.01","1,050.32","169.71K","0.25%"
"10/26/2023","1,064.95","1,092.56","1,094.96","1,056.32","311.84K","-4.34%"
"10/25/2023","1,113.32","1,117.92","1,124.85","1,113.28","105.62K","-0.34%"
"10/24/2023","1,117.12","1,109.18","1,121.39","1,102.05","111.13K","0.93%"
"10/23/2023","1,106.85","1,122.73","1,123.28","1,099.34","131.29K","-1.50%"
"10/20/2023","1,123.69","1,104.83","1,125.63","1,094.78","154.96K","1.70%"
"10/19/2023","1,104.89","1,126.67","1,126.86","1,104.89","166.99K","-1.84%"
"10/18/2023","1,125.56","1,143.95","1,144.89","1,108.68","233.69K","-1.36%"
"10/17/2023","1,141.03","1,157.63","1,160.30","1,141.03","141.76K","-1.06%"
"10/16/2023","1,153.21","1,165.75","1,168.02","1,151.13","173.24K","-1.15%"
"10/13/2023","1,166.66","1,158.34","1,167.61","1,152.58","149.21K","0.10%"
"10/12/2023","1,165.49","1,167.62","1,172.14","1,162.00","142.88K","-0.15%"
"10/11/2023","1,167.29","1,161.87","1,167.29","1,154.45","113.75K","0.60%"
"10/10/2023","1,160.28","1,153.05","1,163.47","1,153.05","155.50K","0.86%"
"10/09/2023","1,150.37","1,139.07","1,150.37","1,135.67","146.63K","0.93%"
"10/06/2023","1,139.78","1,125.62","1,141.93","1,120.28","137.58K","1.36%"
"10/05/2023","1,124.48","1,141.22","1,143.34","1,124.48","131.35K","-1.23%"
"10/04/2023","1,138.54","1,129.15","1,146.21","1,118.74","159.11K","0.68%"
"10/03/2023","1,130.89","1,156.86","1,158.38","1,128.54","260.26K","-3.11%"
"10/02/2023","1,167.13","1,166.64","1,173.06","1,159.16","119.87K","0.07%"
"09/29/2023","1,166.26","1,169.26","1,176.77","1,165.15","144.90K","0.16%"
"09/28/2023","1,164.45","1,167.96","1,168.09","1,144.47","193.65K","-0.36%"
