"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","22,550.0","22,850.0","23,050.0","22,550.0","4.26M","-1.31%"
"12/14/2023","22,850.0","23,250.0","23,300.0","22,700.0","3.51M","-0.65%"
"12/13/2023","23,000.0","23,650.0","23,700.0","22,950.0","4.32M","-2.75%"
"12/12/2023","23,650.0","23,700.0","23,800.0","23,400.0","3.06M","0.00%"
"12/11/2023","23,650.0","23,450.0","23,750.0","23,450.0","3.77M","1.28%"
"12/08/2023","23,350.0","22,800.0","23,450.0","22,700.0","5.57M","2.41%"
"12/07/2023","22,800.0","22,950.0","23,200.0","22,650.0","5.05M","-0.44%"
"12/06/2023","22,900.0","22,850.0","23,000.0","22,700.0","3.75M","0.22%"
"12/05/2023","22,850.0","23,000.0","23,100.0","22,800.0","2.46M","-0.65%"
"12/04/2023","23,000.0","22,900.0","23,250.0","22,650.0","4.69M","0.88%"
"12/01/2023","22,800.0","22,650.0","22,900.0","22,450.0","2.55M","3.17%"
"11/30/2023","22,100.0","23,100.0","23,200.0","22,100.0","3.94M","-4.74%"
"11/29/2023","23,200.0","22,900.0","23,350.0","22,800.0","4.08M","1.75%"
"11/28/2023","22,800.0","22,600.0","22,800.0","22,350.0","1.97M","0.88%"
"11/27/2023","22,600.0","22,600.0","22,950.0","22,550.0","2.22M","0.00%"
"11/24/2023","22,600.0","22,550.0","22,600.0","22,000.0","4.01M","0.00%"
"11/23/2023","22,600.0","22,900.0","23,450.0","22,600.0","5.35M","-0.88%"
"11/22/2023","22,800.0","22,700.0","22,850.0","22,500.0","3.40M","0.88%"
"11/21/2023","22,600.0","22,900.0","22,950.0","22,500.0","4.60M","0.22%"
"11/20/2023","22,550.0","22,550.0","23,200.0","22,550.0","4.06M","-1.10%"
"11/17/2023","22,800.0","24,000.0","24,150.0","22,500.0","8.23M","-4.40%"
"11/16/2023","23,850.0","24,000.0","24,050.0","23,650.0","4.28M","-1.04%"
"11/15/2023","24,100.0","24,500.0","24,750.0","24,100.0","3.94M","0.42%"
"11/14/2023","24,000.0","23,850.0","24,100.0","23,500.0","3.67M","2.13%"
"11/13/2023","23,500.0","24,000.0","24,200.0","23,450.0","3.84M","-1.88%"
"11/10/2023","23,950.0","23,850.0","24,400.0","23,850.0","4.35M","-1.44%"
"11/09/2023","24,300.0","24,000.0","24,600.0","23,950.0","5.77M","2.53%"
"11/08/2023","23,700.0","23,200.0","23,850.0","22,850.0","5.85M","2.38%"
"11/07/2023","23,150.0","23,700.0","24,000.0","23,050.0","5.32M","-3.54%"
"11/06/2023","24,000.0","24,300.0","24,500.0","23,700.0","5.41M","-1.64%"
"11/03/2023","24,400.0","23,500.0","24,400.0","23,200.0","12.59M","4.95%"
"11/02/2023","23,250.0","23,000.0","23,300.0","22,450.0","5.80M","2.42%"
"11/01/2023","22,700.0","22,300.0","22,700.0","21,600.0","6.24M","2.25%"
"10/31/2023","22,200.0","23,300.0","23,700.0","22,200.0","5.81M","-3.90%"
"10/30/2023","23,100.0","22,600.0","24,100.0","22,100.0","5.40M","0.87%"
"10/27/2023","22,900.0","24,600.0","24,650.0","22,900.0","12.96M","-6.91%"
"10/26/2023","24,600.0","25,900.0","25,900.0","24,600.0","9.25M","-6.99%"
"10/25/2023","26,450.0","26,800.0","27,000.0","26,450.0","2.81M","-0.56%"
"10/24/2023","26,600.0","26,000.0","26,800.0","26,000.0","2.11M","2.31%"
"10/23/2023","26,000.0","26,500.0","26,500.0","25,950.0","2.25M","-2.26%"
"10/20/2023","26,600.0","26,500.0","27,050.0","25,850.0","1.94M","0.76%"
"10/19/2023","26,400.0","26,400.0","27,000.0","25,800.0","2.84M","-0.38%"
"10/18/2023","26,500.0","27,100.0","27,100.0","25,900.0","2.94M","-1.85%"
"10/17/2023","27,000.0","26,650.0","27,600.0","26,550.0","3.25M","1.12%"
"10/16/2023","26,700.0","27,100.0","27,250.0","26,700.0","1.71M","-2.38%"
"10/13/2023","27,350.0","27,100.0","27,500.0","27,000.0","1.65M","0.55%"
"10/12/2023","27,200.0","27,350.0","27,450.0","27,050.0","1.74M","0.74%"
"10/11/2023","27,000.0","27,100.0","27,300.0","26,900.0","1.09M","0.00%"
"10/10/2023","27,000.0","27,100.0","27,300.0","26,950.0","2.64M","-0.18%"
"10/09/2023","27,050.0","27,200.0","27,200.0","26,850.0","2.02M","-1.46%"
"10/06/2023","27,450.0","27,000.0","27,450.0","26,750.0","1.95M","2.43%"
"10/05/2023","26,800.0","27,000.0","27,400.0","26,700.0","1.98M","-0.74%"
